Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
11	1	-1691.632	-1791.453	99.82163	0.109667	0.131592	0.0791363	0.0597692	0.0841372	0.0075344	0.0119858	0.0121367	0.0115536	0.00699797	0.187696	0.373721	0.188546	0.0811386	0.168899	0.117201	0.143577	0.091273	0.0713228	0.0911352	0.0059215	0.000301676	0.00826112	0.0117333	0.0051834	0.0217543	0.00910435	0.00307186	0.0104526	0.00111757	0.00033954	0.00703168	0.00123723	0.00843143	0.00972164	0.000373715	0.000739535	0.000846343	0.00609935	0.0015738
12	0	-1658.405	-1752.924	94.51845	0.0904821	0.1457	0.0861558	0.0542089	0.079444	0.00635022	0.00693529	0.00684837	0.00689269	0.00592306	0.220588	0.0440318	0.45612	0.247045	0.0322142	0.0968323	0.152635	0.0930042	0.0611016	0.085367	0.0138726	0.000668052	0.00162965	0.00643604	0.0145631	0.00282931	0.00157745	0.0305509	8.67156e-05	0.003339	0.000303949	0.0131592	0.0227596	0.00311676	0.00401381	0.011952	0.021404	0.00970532	0.000802077	0.00728287
13	1	-1690.964	-1790.358	99.39405	0.122704	0.130458	0.0929336	0.0603724	0.0723538	0.0066224	0.0131199	0.0139481	0.0109505	0.00756144	0.187696	0.373721	0.188546	0.0811386	0.168899	0.129326	0.143577	0.106882	0.0713228	0.0799152	0.0059215	0.000330439	0.00756101	0.0134429	0.00507104	0.0227661	0.00898708	0.00314475	0.0120392	0.00112388	0.000324455	0.00612197	0.00138265	0.00746785	0.00946965	0.000318961	0.000745722	0.000816991	0.00608315	0.00150698
14	0	-1650.56	-1745.878	95.3185	0.0974506	0.146448	0.0760805	0.0469508	0.0659288	0.00686083	0.00738264	0.00618276	0.00636402	0.0050954	0.220588	0.0440318	0.45612	0.247045	0.0322142	0.104311	0.15383	0.0822633	0.0533149	0.0710242	0.0134112	0.000735993	0.00178156	0.00606056	0.015524	0.00291447	0.00219855	0.0259613	9.08554e-05	0.00395131	0.000301223	0.013297	0.0221008	0.00337224	0.00406638	0.0101682	0.0236589	0.0104275	0.000774405	0.00741682
15	1	-1680.65	-1780.333	99.68237	0.121251	0.13713	0.103944	0.0641308	0.0730049	0.00807522	0.0129724	0.0145882	0.0117824	0.00691029	0.187696	0.373721	0.188546	0.0811386	0.168899	0.129326	0.150103	0.118532	0.0759132	0.0799152	0.00589284	0.000308865	0.00702898	0.0123113	0.00589509	0.0177088	0.00898708	0.00306641	0.0133091	0.00101761	0.000310497	0.00612197	0.00140251	0.00497708	0.0101612	0.000307608	0.000802981	0.00085384	0.00709081	0.00174757
16	0	-1651.613	-1747.74	96.12722	0.0964285	0.146358	0.08009	0.0550552	0.0629971	0.00664666	0.007472	0.00556948	0.00655455	0.00492357	0.220588	0.0440318	0.45612	0.247045	0.0322142	0.103075	0.15383	0.0856595	0.0616097	0.0679207	0.0120118	0.000704229	0.00178156	0.00537001	0.0137529	0.00221542	0.00192765	0.0243951	9.79702e-05	0.00427504	0.000325281	0.0122312	0.0200447	0.0036806	0.00417396	0.0114638	0.024223	0.0104194	0.000796029	0.00829397
17	1	-1663.255	-1762.838	99.58216	0.125159	0.175183	0.106299	0.0677032	0.0849367	0.0103038	0.0124432	0.0134387	0.0101701	0.00649163	0.172967	0.457943	0.17375	0.0747714	0.120569	0.135463	0.187626	0.119737	0.0778733	0.0914283	0.00560546	0.000279854	0.00721549	0.0115967	0.00589509	0.0169642	0.00896245	0.00297926	0.0137222	0.000899133	0.000316947	0.0063708	0.00145819	0.00471704	0.00953575	0.000307608	0.000833805	0.000885859	0.00731295	0.00157951
18	0	-1638.56	-1735.593	97.03283	0.0957586	0.161431	0.074932	0.0451052	0.0594741	0.00731657	0.00790344	0.00513157	0.00615051	0.00514015	0.220588	0.0440318	0.45612	0.247045	0.0322142	0.103075	0.169334	0.0800635	0.0512557	0.0646142	0.0119569	0.00065383	0.00183016	0.00441408	0.0153498	0.00246966	0.00175822	0.0202346	8.78039e-05	0.00412187	0.00034168	0.0106305	0.0205795	0.00394629	0.00425976	0.0111362	0.022358	0.00952251	0.000928895	0.010009
19	1	-1662.313	-1761.731	99.41732	0.12643	0.174573	0.110451	0.0598851	0.105468	0.00903304	0.0130531	0.0128378	0.0109049	0.00637398	0.12533	0.331821	0.125897	0.329589	0.0873627	0.135463	0.187626	0.123289	0.07079	0.111842	0.00611934	0.000299369	0.00683784	0.0113464	0.00589509	0.0175726	0.00873509	0.00349995	0.0151428	0.000924481	0.00032679	0.00624713	0.00160587	0.00453148	0.0081854	0.000284456	0.0007848	0.000640994	0.00762324	0.00163708
20	0	-1627.984	-1724.338	96.35401	0.105865	0.18178	0.0785114	0.0463213	0.055636	0.00768637	0.00735949	0.00513157	0.00605012	0.0065888	0.220588	0.0440318	0.45612	0.247045	0.0322142	0.113552	0.18914	0.0836429	0.0523714	0.0622248	0.0120061	0.000716236	0.00194708	0.00429159	0.0160432	0.00256459	0.0017986	0.0219205	8.98e-05	0.00439268	0.000389118	0.0102931	0.0184363	0.00386993	0.00450112	0.0103156	0.0242601	0.00947128	0.00101894	0.010009
