Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
11	-1646.563	-1745.242	98.67973	0.139625	0.214645	0.174694	0.0627269	0.0871627	0.00874722	0.0115817	0.0125077	0.00957258	0.00731741	0.134127	0.35511	0.0645472	0.352722	0.0934944	0.148372	0.226226	0.187202	0.0722995	0.0944801	0.00737832	0.00025393	0.007918	0.00975003	0.00598328	0.0149271	0.00925261	0.00305048	0.0173714	0.000950963	0.000314574	0.00731714	0.00137974	0.00571065	0.0067582	0.000289485	0.00094626	0.000675762	0.00899791	0.00169642
12	-1637.453	-1736.924	99.47015	0.137278	0.240822	0.180413	0.0629338	0.0764921	0.0089198	0.00985237	0.0125077	0.00797408	0.00669738	0.134127	0.35511	0.0645472	0.352722	0.0934944	0.146198	0.250674	0.192921	0.0709079	0.0831895	0.00733377	0.000232372	0.00813837	0.00811205	0.00714603	0.0140311	0.00925261	0.00348122	0.0167953	0.000961039	0.000292729	0.00727047	0.00133232	0.0054945	0.00615466	0.000273755	0.00094626	0.000745071	0.00879285	0.00153785
13	-1641.655	-1741.319	99.66402	0.119802	0.223991	0.215835	0.0611849	0.0674494	0.0093976	0.011918	0.0111228	0.0075334	0.00669738	0.134127	0.35511	0.0645472	0.352722	0.0934944	0.129199	0.235909	0.226957	0.0687183	0.0741467	0.00806692	0.000224885	0.00815145	0.00880844	0.00701489	0.0154572	0.00826248	0.00352068	0.014482	0.000961039	0.000287936	0.00734537	0.00135119	0.00502024	0.00647233	0.000258902	0.00090694	0.000754259	0.00867949	0.00159693
14	-1633.897	-1733.391	99.49408	0.152664	0.268231	0.242638	0.0521985	0.0737665	0.00877569	0.013227	0.0117116	0.00668283	0.00712887	0.0810956	0.214706	0.0390265	0.213262	0.45191	0.161439	0.281458	0.25435	0.0588813	0.0808953	0.00806692	0.000210652	0.00685324	0.00981078	0.00701489	0.0139279	0.00929877	0.0036312	0.0129518	0.000960788	0.000273618	0.00739507	0.00133107	0.00542544	0.00651904	0.000246278	0.000806676	0.000661053	0.00867949	0.00127676
15	-1629.554	-1729.268	99.71376	0.150053	0.290441	0.230077	0.0585151	0.0811368	0.00900761	0.0116546	0.0117118	0.00602217	0.00826996	0.13597	0.35999	0.0654343	0.357569	0.0810364	0.159061	0.302096	0.241789	0.0645372	0.0894067	0.00941415	0.000169209	0.00685324	0.00813517	0.00690078	0.0131769	0.0101136	0.00355861	0.0117792	0.00118149	0.000226571	0.00649507	0.00116578	0.00567136	0.00638728	0.000307272	0.000807665	0.000644985	0.00834527	0.00131748
16	-1627.481	-1726.873	99.3921	0.158316	0.333406	0.258674	0.0537545	0.0806533	0.0111642	0.0104957	0.0132349	0.00679542	0.00875342	0.134208	0.355325	0.077544	0.352936	0.0799864	0.16948	0.343902	0.271909	0.0605499	0.0894067	0.00916376	0.000160834	0.00626117	0.00776996	0.00752709	0.0126996	0.00940014	0.0036157	0.0114098	0.00128893	0.000222331	0.00652721	0.00116578	0.00499939	0.00557307	0.000330576	0.00085828	0.000650179	0.0092105	0.00131887
17	-1626.87	-1726.19	99.32001	0.175823	0.329821	0.268354	0.0504508	0.0773349	0.0112145	0.00970284	0.0140313	0.00685096	0.00926112	0.134208	0.355325	0.077544	0.352936	0.0799864	0.187038	0.339524	0.282386	0.0573018	0.0865961	0.0095731	0.000154683	0.00644028	0.0070838	0.00769201	0.0126996	0.00987001	0.00368698	0.0102692	0.00122473	0.000225391	0.00707071	0.00110812	0.00449891	0.00527634	0.00031348	0.00106085	0.000650179	0.00969771	0.00145787
18	-1621.364	-1721.108	99.74374	0.166258	0.324426	0.243507	0.046901	0.0684821	0.0101935	0.0101849	0.0135479	0.00710508	0.00950555	0.15184	0.283567	0.0747949	0.399303	0.0904947	0.176452	0.334611	0.257055	0.054006	0.0779876	0.0103727	0.000141879	0.00620991	0.00601527	0.00825806	0.0109888	0.00982855	0.00364546	0.0109218	0.00166694	0.000234129	0.00685588	0.00110812	0.00449844	0.00490166	0.000324408	0.0012024	0.000657962	0.0101275	0.00154625
19	-1621.64	-1721.302	99.66241	0.178908	0.337898	0.295863	0.0397317	0.0637984	0.0107637	0.0106729	0.0143858	0.0067584	0.00848561	0.15184	0.283567	0.0747949	0.399303	0.0904947	0.189671	0.348571	0.310249	0.0464901	0.072284	0.010055	0.000152141	0.00637706	0.00611404	0.00862696	0.0108085	0.00982855	0.00350596	0.0101468	0.00154726	0.000241153	0.00710253	0.00115925	0.00425599	0.00471322	0.000311862	0.00133674	0.000671702	0.0109388	0.0016741
20	-1617.779	-1717.541	99.76164	0.172348	0.330238	0.301548	0.0348874	0.0762951	0.0109197	0.0106354	0.0154747	0.00634183	0.00740529	0.15184	0.283567	0.0747949	0.399303	0.0904947	0.183268	0.340873	0.317023	0.0412292	0.0837004	0.0097066	0.000165341	0.00534935	0.00570987	0.0102996	0.0094682	0.011476	0.00344768	0.00981986	0.00154726	0.000243507	0.00711963	0.00119768	0.00414345	0.00461102	0.000282562	0.00136999	0.000740779	0.0111834	0.00187433
21	-1618.051	-1717.736	99.68552	0.185753	0.320493	0.328953	0.0486635	0.0777349	0.0113832	0.0085409	0.0149996	0.00561851	0.00778705	0.312631	0.22981	0.0606155	0.323605	0.073339	0.197137	0.329033	0.343953	0.054282	0.0855219	0.0104573	0.000174117	0.00491397	0.00551859	0.00992649	0.0101171	0.011476	0.00300262	0.0100554	0.00174175	0.000239041	0.00738432	0.00137825	0.00386516	0.00462322	0.0002473	0.00136999	0.000880856	0.00998869	0.00194964
22	-1616.786	-1717.493	100.7076	0.180518	0.333484	0.336847	0.050374	0.0822263	0.0100482	0.0085409	0.0149918	0.00475327	0.00781863	0.312631	0.22981	0.0606155	0.323605	0.073339	0.190566	0.342024	0.351839	0.0551273	0.090045	0.010982	0.000168224	0.00512646	0.00551859	0.00948276	0.00928431	0.0104342	0.00294276	0.00924235	0.00179813	0.000244016	0.00656019	0.0013658	0.00368391	0.00502773	0.000301452	0.00133904	0.000801368	0.00725754	0.00157095
23	-1613.981	-1714.776	100.7953	0.131639	0.290532	0.356185	0.052342	0.087284	0.0107432	0.00790442	0.0155314	0.00459862	0.00886077	0.312631	0.22981	0.0606155	0.323605	0.073339	0.142383	0.298436	0.371717	0.0569406	0.0961448	0.0117242	0.000192217	0.00482344	0.00562878	0.00948276	0.00861122	0.00943309	0.00332188	0.0101705	0.00195921	0.000310614	0.00631695	0.0013658	0.00370632	0.0055141	0.000285364	0.00144515	0.000801368	0.00678891	0.00177551
24	-1612.907	-1712.875	99.96803	0.142826	0.318224	0.366913	0.0593867	0.0928154	0.0111794	0.00810439	0.013494	0.00448267	0.00982305	0.312631	0.22981	0.0606155	0.323605	0.073339	0.154006	0.326328	0.380407	0.0638694	0.102638	0.0118507	0.000198397	0.00487961	0.00633115	0.0104379	0.0086055	0.00936936	0.00331916	0.0114044	0.00202203	0.000326427	0.00534106	0.00124858	0.00371614	0.00603362	0.000352678	0.00145666	0.000772758	0.00764477	0.0017363
25	-1610.68	-1711.289	100.6089	0.14688	0.293294	0.300387	0.0573913	0.089962	0.0107203	0.00777528	0.0162592	0.004286	0.00793555	0.312631	0.22981	0.0606155	0.323605	0.073339	0.157601	0.301069	0.316647	0.0616773	0.0978975	0.0116298	0.000201049	0.00465831	0.00639286	0.0111549	0.00786327	0.00835156	0.00306311	0.0127474	0.00183894	0.000362849	0.00553109	0.00127017	0.00364497	0.00580747	0.000374528	0.00150079	0.000776197	0.00672413	0.00194157
26	-1610.611	-1711.065	100.4535	0.149725	0.311311	0.372058	0.0560562	0.0781196	0.0108939	0.00820554	0.0154135	0.00468824	0.0080752	0.312631	0.22981	0.0606155	0.323605	0.073339	0.160619	0.319517	0.387472	0.0607444	0.0861948	0.0108429	0.000201015	0.0046198	0.00569346	0.0111549	0.00851405	0.00705467	0.00306311	0.0133997	0.00177892	0.000473246	0.00606964	0.00134135	0.00423796	0.0054045	0.000345077	0.00146508	0.000878484	0.00661994	0.00188613
27	-1608.944	-1709.021	100.0762	0.164484	0.305733	0.354585	0.0556896	0.0899889	0.0117083	0.00765474	0.0127071	0.00438157	0.0080121	0.312631	0.22981	0.0606155	0.323605	0.073339	0.176192	0.313388	0.367292	0.0600712	0.098001	0.0128414	0.000192171	0.0045804	0.00617235	0.0118004	0.00834911	0.00706264	0.00352543	0.0125481	0.00158926	0.0004634	0.00558946	0.00134135	0.00511945	0.00581105	0.000366721	0.00136535	0.00104991	0.00718121	0.00187229
28	-1608.323	-1708.001	99.67765	0.132712	0.310127	0.498544	0.0562192	0.0879024	0.0124578	0.00772662	0.0124171	0.00449186	0.00774431	0.312631	0.22981	0.0606155	0.323605	0.073339	0.14517	0.317853	0.510961	0.060711	0.0956468	0.0138396	0.000195398	0.0045804	0.00650171	0.0119449	0.00802526	0.00784303	0.00396919	0.0136744	0.00158926	0.000487814	0.00464609	0.00132479	0.00470458	0.00567519	0.000351694	0.00148379	0.0010575	0.00685185	0.00173498
29	-1609.524	-1708.982	99.45716	0.120905	0.306353	0.481083	0.0641348	0.0903435	0.0124578	0.00767878	0.0139874	0.00468259	0.00820533	0.312631	0.22981	0.0606155	0.323605	0.073339	0.133363	0.314032	0.495071	0.0688174	0.0985488	0.0138396	0.000195222	0.00541538	0.00693463	0.0130113	0.00782393	0.00969694	0.00350081	0.0115533	0.00152496	0.000672052	0.00454097	0.0012914	0.00446917	0.00545706	0.000325315	0.00154975	0.000905167	0.00579707	0.00183939
30	-1607.821	-1707.607	99.78616	0.133709	0.347071	0.57778	0.0581739	0.0847026	0.0119194	0.00868216	0.0155658	0.00419993	0.00865418	0.215461	0.158382	0.493611	0.0820017	0.0505443	0.145628	0.355753	0.593346	0.0623738	0.0933567	0.0133248	0.000177682	0.00516358	0.00599467	0.0130113	0.0059855	0.0107096	0.0032037	0.0100482	0.0016114	0.000584983	0.00454097	0.00130672	0.00525459	0.00434752	0.000297252	0.00168981	0.000966463	0.00508342	0.00181632
31	-1606.038	-1705.193	99.15558	0.134064	0.346705	0.555628	0.0532572	0.0761733	0.0134149	0.00904813	0.0155658	0.00418411	0.00916231	0.215461	0.158382	0.493611	0.0820017	0.0505443	0.147479	0.355753	0.571194	0.0574413	0.0853357	0.0156609	0.000159937	0.00625126	0.006487	0.0139025	0.00573423	0.0108277	0.0031094	0.0105619	0.0014898	0.000534745	0.00419198	0.00147211	0.00530406	0.00384282	0.000292441	0.0018402	0.00100122	0.00525969	0.00178586
32	-1603.88	-1703.212	99.33215	0.129903	0.310188	0.531224	0.0579537	0.0635127	0.0135094	0.0088883	0.0148573	0.00432619	0.00982688	0.252638	0.0131643	0.578781	0.0961507	0.0592655	0.143413	0.319076	0.546081	0.0622799	0.0733396	0.0156609	0.000165647	0.00608659	0.0061942	0.0150742	0.00570786	0.0108243	0.00297177	0.0106657	0.00157374	0.000535452	0.00438406	0.0014324	0.00505611	0.00303381	0.000282905	0.00172678	0.00101606	0.00530686	0.00223244
33	-1604.564	-1703.581	99.01667	0.122994	0.352906	0.516158	0.0599486	0.0609248	0.0151666	0.00889896	0.0138145	0.00443348	0.0110869	0.133242	0.0152674	0.671245	0.111511	0.0687335	0.138161	0.361805	0.529972	0.0643821	0.0720118	0.0153834	0.000167902	0.00563888	0.00625988	0.0154844	0.00518417	0.0108243	0.00290064	0.0119462	0.00134205	0.000515476	0.00422765	0.00126872	0.00593204	0.00299567	0.00036636	0.00165572	0.00103739	0.0048951	0.00230008
