"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_males_only","maturation_females_only","maturation_both","maturation_none","all_color_traits","superfamily"
"Lepilemur_mustelinus","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lemuriformes"
"Cheirogaleus_medius","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lemuriformes"
"Cheirogaleus_major","Cheirogaleidae",0,"maybe","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lemuriformes"
"Microcebus_myoxinus","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lemuriformes"
"Microcebus_rufus","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lemuriformes"
"Microcebus_murinus","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lemuriformes"
"Allocebus_trichotis","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lemuriformes"
"Tarsius_syrichta","Tarsiidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Tarsiiformes"
"Tarsius_bancanus","Tarsiidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Tarsiiformes"
"Tarsius_tarsier","Tarsiidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Tarsiiformes"
"Tarsius_dentatus","Tarsiidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Tarsiiformes"
"Tarsius_pumilus","Tarsiidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Tarsiiformes"
"Callicebus_cupreus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_moloch","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_hoffmannsi","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_donacophilus","Cebidae",0,NA,"none",0,0,0,0,"Partial",0,1,1,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_caligatus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_personatus","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Platyrrhini"
"Callicebus_dubius","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_brunneus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_cinerascens","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callicebus_torquatus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Pithecia_albicans","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Platyrrhini"
"Pithecia_aequatorialis","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Platyrrhini"
"Pithecia_monachus","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Pithecia_irrorata","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Pithecia_pithecia","Cebidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,0,0,0,1,"Platyrrhini"
"Chiropotes_chiropotes","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Platyrrhini"
"Chiropotes_albinasus","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Chiropotes_satanas","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Platyrrhini"
"Cacajao_calvus","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Cacajao_melanocephalus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callithrix_aurita","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callithrix_kuhlii","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Mico_mauesi","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Callithrix_flaviceps","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Mico_humeralifer","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callithrix_penicillata","Callitrichidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Platyrrhini"
"Mico_nigriceps","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callithrix_jacchus","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Callithrix_geoffroyi","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Callimico_goeldii","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Leontopithecus_chrysomelas","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Leontopithecus_caissara","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Leontopithecus_rosalia","Callitrichidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Platyrrhini"
"Leontopithecus_chrysopygus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Saguinus_mystax","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Saguinus_labiatus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Saguinus_inustus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Saguinus_imperator","Callitrichidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Platyrrhini"
"Saguinus_midas","Callitrichidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Platyrrhini"
"Saguinus_oedipus","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Saguinus_geoffroyi","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Saguinus_bicolor","Callitrichidae",0,"no","none",0,0,0,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Platyrrhini"
"Saguinus_leucopus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Leontocebus_nigricollis","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Leontocebus_tripartitus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
