"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_males_only","maturation_females_only","maturation_both","maturation_none","all_color_traits","superfamily"
"Procolobus_verus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Procolobus_preussi","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Procolobus_badius","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Colobus_angolensis","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Colobus_vellerosus","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Colobus_satanas","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Colobus_guereza","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Colobus_polykomos","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Macaca_sylvanus","Cercopithecidae",0,"maybe","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Cercopithecoidea"
"Macaca_sinica","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_nigrescens","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_tonkeana","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_hecki","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_maura","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_ochreata","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_silenus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_nemestrina","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_radiata","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_assamensis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_thibetana","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_mulatta","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_fuscata","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_nigra","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_cyclopis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Macaca_arctoides","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Macaca_fascicularis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Lophocebus_aterrimus","Cercopithecidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Cercopithecoidea"
"Papio_ursinus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Papio_cynocephalus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Papio_papio","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Papio_hamadryas","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Complete",1,0,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Papio_anubis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Theropithecus_gelada","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Mandrillus_sphinx","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Mandrillus_leucophaeus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercocebus_atys","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Lophocebus_albigena","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercocebus_torquatus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercocebus_agilis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercocebus_galeritus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_hamlyni","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Cercopithecus_neglectus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_diana","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_mona","Cercopithecidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Cercopithecoidea"
"Cercopithecus_pogonias","Cercopithecidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_campbelli","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Erythrocebus_patas","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Chlorocebus_aethiops","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Cercopithecus_sclateri","Cercopithecidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Cercopithecoidea"
"Cercopithecus_dryas","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_solatus","Cercopithecidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Cercopithecoidea"
"Cercopithecus_lhoesti","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_preussi","Cercopithecidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_cephus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_erythrotis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_ascanius","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_petaurista","Cercopithecidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Cercopithecoidea"
"Cercopithecus_erythrogaster","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_mitis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Cercopithecus_nictitans","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Miopithecus_talapoin","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Allenopithecus_nigroviridis","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
