Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	diversification[6]	diversification[7]	diversification[8]	diversification[9]	diversification[10]	diversification[11]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	rate_category_prior[9]	rate_category_prior[10]	rate_category_prior[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]	transition_rates[21]	transition_rates[22]	transition_rates[23]	transition_rates[24]	transition_rates[25]	transition_rates[26]	transition_rates[27]	transition_rates[28]	transition_rates[29]	transition_rates[30]	transition_rates[31]	transition_rates[32]	transition_rates[33]	transition_rates[34]	transition_rates[35]	transition_rates[36]	transition_rates[37]	transition_rates[38]	transition_rates[39]	transition_rates[40]	transition_rates[41]	transition_rates[42]	transition_rates[43]	transition_rates[44]	transition_rates[45]	transition_rates[46]	transition_rates[47]	transition_rates[48]	transition_rates[49]	transition_rates[50]	transition_rates[51]	transition_rates[52]	transition_rates[53]	transition_rates[54]	transition_rates[55]	transition_rates[56]	transition_rates[57]	transition_rates[58]	transition_rates[59]	transition_rates[60]	transition_rates[61]	transition_rates[62]	transition_rates[63]	transition_rates[64]	transition_rates[65]	transition_rates[66]	transition_rates[67]	transition_rates[68]	transition_rates[69]	transition_rates[70]	transition_rates[71]	transition_rates[72]	transition_rates[73]	transition_rates[74]	transition_rates[75]	transition_rates[76]	transition_rates[77]	transition_rates[78]	transition_rates[79]	transition_rates[80]	transition_rates[81]	transition_rates[82]	transition_rates[83]	transition_rates[84]	transition_rates[85]	transition_rates[86]	transition_rates[87]	transition_rates[88]	transition_rates[89]	transition_rates[90]	transition_rates[91]	transition_rates[92]	transition_rates[93]	transition_rates[94]	transition_rates[95]	transition_rates[96]	transition_rates[97]	transition_rates[98]	transition_rates[99]	transition_rates[100]	transition_rates[101]	transition_rates[102]	transition_rates[103]	transition_rates[104]	transition_rates[105]	transition_rates[106]	transition_rates[107]	transition_rates[108]	transition_rates[109]	transition_rates[110]
0	-1640.2	-2123.838	483.6382	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0122806	0.00344702	0.0172868	0.00727873	0.000606329	0.00321197	0.00236571	0.0101273	0.0212015	0.00426355	0.00220413	0.00194836	0.00296876	0.0127202	0.00753249	0.00448589	0.00291038	0.0269123	0.0105436	0.0131561	0.00492716	0.00577929	0.0185969	0.00257824	0.00113502	0.00794298	0.00136606	0.00555846	0.00861198	0.00147274	0.0193616	0.000127787	0.00238713	0.00173443	0.000364827	0.0131774	0.00611779	0.0302906	0.00222247	0.00517544	0.00155795	0.00443647	0.0111477	0.00520162	0.0137859	0.002982	0.00222184	0.000416533	0.00163402	0.00256423	0.00714752	0.00935138	0.00623986	0.00160871	0.00637632	0.00408938	0.00768674	0.00362728	0.00827956	0.0246607	0.00753319	0.000411063	0.00341754	0.00137322	0.0219123	0.000260406	0.00219461	0.0147041	0.015438	0.00303129	0.00239272	0.0146572	0.00978492	0.00522443	0.00581081	0.00669707	0.00250042	0.00221307	0.00127846	0.00262209	0.00860553	0.000858766	0.00283002	0.00130105	0.00336015	0.00626826	0.00149273	0.0214119	0.00101533	0.00498707	0.0046813	0.0112723	0.00216916	0.00538064	0.00118545	0.00262212	0.0147797	0.00562382	0.00906308	0.006753	0.0224641	0.00556289	0.00134497	0.0186042	0.0229797	0.00329199	0.00597673	0.00257043	0.0117769	0.023861
1	-1627.55	-2107.996	480.4458	0.0694055	0.078721	0.0761493	0.0627142	0.077708	0.0692174	0.0764677	0.0831177	0.0635108	0.0751451	0.070085	0.00881441	0.00720135	0.00856072	0.0108988	0.00818367	0.00712118	0.00942287	0.00868279	0.00790712	0.00787651	0.00881835	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0782199	0.0859223	0.08471	0.0736129	0.0858917	0.0763386	0.0858905	0.0918005	0.071418	0.0830216	0.0789034	0.0125561	0.00407478	0.016484	0.00760955	0.00057223	0.00447294	0.00226429	0.011998	0.0223297	0.0038672	0.00231	0.00209716	0.00274353	0.015317	0.00818655	0.00461673	0.00286509	0.0240977	0.0115765	0.0141032	0.00436379	0.00606867	0.0181437	0.00244292	0.00115753	0.00745243	0.00156365	0.00508738	0.00831195	0.00166435	0.0178632	0.000136103	0.00238713	0.00166604	0.00031248	0.0139009	0.00600532	0.0294015	0.00245173	0.00596568	0.00129687	0.00401403	0.00998503	0.00452939	0.0117707	0.00250458	0.00222184	0.000448789	0.00153462	0.00268864	0.0071909	0.009965	0.00623986	0.00164482	0.00681563	0.00422887	0.00797834	0.00384449	0.00780787	0.0282598	0.00685564	0.000412774	0.00333589	0.00142803	0.0212598	0.000252765	0.00219461	0.0133527	0.0176911	0.00327232	0.00263377	0.0145165	0.0122861	0.00574745	0.00491562	0.00733428	0.00250042	0.00228614	0.00135431	0.00292769	0.00884744	0.000858766	0.00283002	0.00151262	0.00405603	0.00558506	0.00165607	0.0288687	0.000929435	0.00463938	0.00433596	0.0121579	0.00209686	0.00467675	0.00107271	0.00279942	0.0163068	0.00598414	0.00839306	0.00644249	0.0210698	0.00563967	0.00123924	0.0186274	0.0239021	0.00263636	0.00572371	0.00233798	0.0106284	0.026697
2	-1625.402	-2105.734	480.3315	0.0721299	0.074151	0.0928677	0.0600749	0.0653837	0.06017	0.0751915	0.0719759	0.0666625	0.0739131	0.0916586	0.0080908	0.00739951	0.00789474	0.0112017	0.00809264	0.00645603	0.010699	0.0109324	0.00824257	0.00967447	0.00972498	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0802207	0.0815505	0.100762	0.0712765	0.0734763	0.066626	0.0858905	0.0829082	0.0749051	0.0835876	0.101384	0.0134544	0.00394188	0.0154958	0.00923018	0.000592167	0.00421211	0.00212378	0.0125609	0.0256386	0.00433369	0.00289392	0.00246292	0.0027026	0.0159747	0.00826798	0.00454423	0.00276276	0.0235181	0.0132279	0.0153945	0.00490343	0.00598941	0.0161147	0.00216975	0.00103409	0.00847657	0.00154736	0.00524093	0.00890799	0.00171791	0.0152869	0.000138746	0.0025184	0.00136103	0.000282684	0.0144754	0.00556403	0.0225435	0.00211536	0.00546845	0.00130591	0.00410067	0.00933741	0.00452939	0.0118567	0.00250458	0.00202293	0.0003537	0.00174618	0.00269152	0.00703042	0.010709	0.00794761	0.00149978	0.00649755	0.00371604	0.00691963	0.00331714	0.00712575	0.0268618	0.00666899	0.000394244	0.0033352	0.00174419	0.0230716	0.000244559	0.00229817	0.0128054	0.0169935	0.00368502	0.00263377	0.0133047	0.0112865	0.00600918	0.00515316	0.00684259	0.00247628	0.00265051	0.00133753	0.00281075	0.00745486	0.00111029	0.00297125	0.00162237	0.00457618	0.00537638	0.00167957	0.0228885	0.000940788	0.00495574	0.00455591	0.0121111	0.00257659	0.0044779	0.000893262	0.00297178	0.0168492	0.00662758	0.00773292	0.00686888	0.021752	0.0064075	0.00115431	0.0200023	0.0191382	0.00211744	0.00510949	0.00256358	0.0115344	0.0356126
3	-1616.668	-2095.787	479.1188	0.0672507	0.0747249	0.0813574	0.0603917	0.0605625	0.0566024	0.0797359	0.08035	0.0677528	0.0813116	0.0764241	0.0107814	0.00749072	0.00885911	0.0112942	0.00766675	0.00652897	0.00986128	0.0100604	0.00795143	0.00965103	0.0102669	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0780321	0.0822156	0.0902165	0.0716859	0.0682293	0.0631314	0.0895972	0.0904104	0.0757042	0.0909626	0.086691	0.0124243	0.00410674	0.0161328	0.00928022	0.000517481	0.00418672	0.00251318	0.0132091	0.026555	0.00459776	0.00289392	0.00218119	0.00241726	0.0157217	0.00797033	0.00428991	0.0028787	0.0217553	0.0143205	0.0130746	0.00525366	0.00630522	0.0161353	0.00253294	0.00114803	0.00864718	0.00179647	0.00499302	0.0093758	0.00196681	0.0155792	0.000146257	0.00269857	0.00130418	0.00026554	0.012852	0.00564468	0.0233942	0.00192563	0.00517284	0.00137784	0.00554668	0.00900406	0.00408966	0.0167065	0.00249156	0.00215649	0.0003537	0.00185596	0.00266164	0.00754867	0.010709	0.00791977	0.00194128	0.00589046	0.00316882	0.00637438	0.00331714	0.00735475	0.0312791	0.00723506	0.000434644	0.00334335	0.00178498	0.0219426	0.000186427	0.00241253	0.0130089	0.0170012	0.00382543	0.00276592	0.0122007	0.0112865	0.00538117	0.00518118	0.00684259	0.00287735	0.00265051	0.00149202	0.00312721	0.00690346	0.00125614	0.00314461	0.00140063	0.0045249	0.00551094	0.00150409	0.0245498	0.00111446	0.00488777	0.00528331	0.0125635	0.00216201	0.00469751	0.000957003	0.00276143	0.0180774	0.00644323	0.00781699	0.00617073	0.0214121	0.00758991	0.00107435	0.0170889	0.019461	0.00213542	0.00466818	0.00264093	0.0101787	0.0374724
4	-1610.205	-2087.516	477.3107	0.0658706	0.077257	0.0869865	0.0614288	0.0415521	0.0563547	0.0813269	0.0974315	0.0734385	0.0813116	0.0839103	0.010233	0.00798073	0.00774037	0.0102571	0.00707376	0.00677667	0.00827029	0.011018	0.00945902	0.00965103	0.0114101	0.154574	0.0849306	0.0637944	0.0113025	0.0574538	0.0652722	0.084555	0.202262	0.0150959	0.100976	0.159783	0.0761036	0.0852377	0.0947268	0.0716859	0.0486259	0.0631314	0.0895972	0.10845	0.0828975	0.0909626	0.0953203	0.0122245	0.0038798	0.0178074	0.00975806	0.000591485	0.00383759	0.00247744	0.0115694	0.022921	0.00436482	0.00280096	0.00222921	0.0026565	0.017088	0.00757601	0.00433764	0.0026088	0.0219359	0.0157705	0.0125434	0.00623946	0.00669362	0.0174234	0.00272444	0.000848162	0.00830953	0.00184684	0.00534235	0.0095649	0.00200932	0.0147449	0.000146257	0.00296869	0.00147067	0.000289031	0.0121503	0.00506387	0.0223209	0.00177825	0.00512934	0.00137784	0.00553191	0.00896057	0.00473558	0.0183515	0.00249156	0.00237878	0.000379136	0.00235324	0.00258199	0.00886674	0.0102992	0.00858026	0.00162677	0.00534763	0.00270248	0.00630667	0.00326061	0.00731757	0.0321847	0.00714784	0.000476748	0.00320289	0.00222186	0.0218608	0.000198416	0.00241253	0.0133473	0.016243	0.0038979	0.00256614	0.0126688	0.0110083	0.00568716	0.00564891	0.00641022	0.00273526	0.00335954	0.00157473	0.00307894	0.00648512	0.00116788	0.0030929	0.0014792	0.00475045	0.00629275	0.00134516	0.0233351	0.00101891	0.0055028	0.00517499	0.0128693	0.00234411	0.00492554	0.000923374	0.00249864	0.017751	0.00675533	0.00781699	0.00624616	0.0207795	0.00661907	0.0012321	0.0174104	0.0217081	0.00192555	0.00466818	0.00252265	0.00943552	0.0481859
5	-1604.871	-2082.147	477.276	0.0696913	0.0848666	0.0923255	0.0730498	0.0422819	0.0515283	0.080799	0.10786	0.0668316	0.0817148	0.0984986	0.0125213	0.00851418	0.00737393	0.00996147	0.00784731	0.00848111	0.00884355	0.011017	0.0107744	0.00949697	0.0110209	0.154574	0.0849306	0.0637944	0.0113025	0.0574538	0.0652722	0.084555	0.202262	0.0150959	0.100976	0.159783	0.0822125	0.0933807	0.0996994	0.0830113	0.0501292	0.0600094	0.0896426	0.118877	0.077606	0.0912117	0.109519	0.0120077	0.00460884	0.0212773	0.00851907	0.000584267	0.00354669	0.00247744	0.010584	0.0233713	0.00444821	0.00267094	0.00203483	0.00280594	0.0188892	0.00844975	0.0043879	0.0026088	0.0199839	0.0162627	0.0148066	0.00678406	0.00759506	0.0119453	0.00301348	0.000857313	0.00976314	0.00168897	0.00544189	0.00879224	0.00215959	0.0174141	0.000134508	0.0026254	0.00150975	0.000304634	0.0120261	0.00574403	0.0189673	0.00167193	0.00473324	0.00142324	0.00432487	0.00886656	0.00486313	0.0165455	0.00268925	0.00205433	0.000351068	0.00264026	0.00247312	0.0107598	0.0100414	0.00818948	0.00194723	0.00693671	0.00270248	0.00613865	0.00320677	0.0078337	0.0321847	0.00718471	0.000462874	0.00270645	0.00240862	0.0183988	0.000171514	0.00275587	0.0133272	0.015986	0.00426284	0.00267013	0.011919	0.0112034	0.00552974	0.00518905	0.00583373	0.00251662	0.00352589	0.00160121	0.0029557	0.00621853	0.0012105	0.00323212	0.00174504	0.0052483	0.00590789	0.00138017	0.0243655	0.000949758	0.00528171	0.00505255	0.0126857	0.00221509	0.00618518	0.00101116	0.00276872	0.0184777	0.00560973	0.00744004	0.00576213	0.0190693	0.00653712	0.00130575	0.0177156	0.0177927	0.00199566	0.00468652	0.00280802	0.00879897	0.0474272
6	-1596.245	-2071.513	475.268	0.0690741	0.0848551	0.0933426	0.0777799	0.0428758	0.0527527	0.0888071	0.115527	0.0642847	0.0884762	0.104197	0.0132667	0.00761463	0.00835739	0.0103079	0.00774793	0.00799846	0.00884355	0.0106135	0.00996232	0.0098695	0.0120169	0.17398	0.0955934	0.0718036	0.0127215	0.064667	0.0734669	0.0951706	0.102109	0.0169911	0.113653	0.179844	0.0823409	0.0924697	0.1017	0.0880878	0.0506238	0.0607511	0.0976506	0.12614	0.074247	0.0983457	0.116214	0.0107402	0.00475952	0.0212773	0.00750989	0.000563997	0.00378029	0.00261656	0.010584	0.0235867	0.00483733	0.00278536	0.00214045	0.00286229	0.0189549	0.00714318	0.005248	0.00280236	0.0179733	0.0191617	0.0175338	0.00634822	0.00838335	0.0121656	0.00313878	0.00079912	0.0104252	0.00222318	0.0054274	0.00860557	0.00196723	0.018046	0.000145765	0.0023566	0.00155305	0.000272501	0.00988633	0.00561513	0.0171876	0.00180627	0.00447532	0.00142324	0.00509323	0.00810702	0.00415851	0.0151391	0.00292875	0.00204028	0.000410099	0.00320544	0.00237831	0.0117291	0.0109725	0.00818948	0.00177895	0.00661877	0.00243671	0.00619699	0.00269398	0.0068611	0.0317599	0.00700421	0.000610408	0.00258825	0.00255831	0.0199525	0.000172842	0.00292757	0.0138187	0.0166328	0.00452972	0.00249625	0.0106002	0.0106169	0.0066712	0.00609145	0.00528375	0.00255759	0.00356007	0.00144299	0.00277293	0.00696348	0.0010734	0.00267342	0.00181947	0.00529218	0.00647801	0.00129718	0.024524	0.000935023	0.00488918	0.00466608	0.0150545	0.00223034	0.00671883	0.0012411	0.0030409	0.0200529	0.00530435	0.00724626	0.00572489	0.0203657	0.00665088	0.00143039	0.0204088	0.0169832	0.00191116	0.00552599	0.00353102	0.00904822	0.0495895
7	-1595.14	-2068.077	472.9373	0.0730367	0.0913155	0.09883	0.0776841	0.0446074	0.0621706	0.0885377	0.115835	0.0624574	0.0922631	0.112986	0.0131061	0.00645242	0.00781465	0.0103079	0.00601635	0.00860982	0.00911288	0.0108504	0.00975753	0.0099587	0.011717	0.17398	0.0955934	0.0718036	0.0127215	0.064667	0.0734669	0.0951706	0.102109	0.0169911	0.113653	0.179844	0.0861428	0.0977679	0.106645	0.087992	0.0506238	0.0707804	0.0976506	0.126686	0.072215	0.102222	0.124703	0.0135883	0.00495933	0.0230205	0.00641935	0.000559684	0.00313119	0.00260022	0.0109638	0.0230271	0.00457914	0.00264706	0.00206299	0.00294985	0.0232055	0.00702019	0.00465899	0.00280236	0.0169947	0.0198097	0.0198508	0.00650593	0.00876092	0.0117302	0.00302542	0.000858325	0.010791	0.00221038	0.00556935	0.00817772	0.00173812	0.0208302	0.000151426	0.00245011	0.00135374	0.00025938	0.00948688	0.00573565	0.0191964	0.00170702	0.00495535	0.00149639	0.00544541	0.00917342	0.0035113	0.0120824	0.00319099	0.00198965	0.000418798	0.00274982	0.00242158	0.0124658	0.0107595	0.00843616	0.00153025	0.0069244	0.00265789	0.0066562	0.00259082	0.0067629	0.0357463	0.00771729	0.000673348	0.00258825	0.002343	0.0199525	0.000160327	0.00272423	0.0149226	0.0160152	0.00455863	0.00271518	0.0106798	0.0112199	0.00628105	0.00667408	0.00472318	0.00255223	0.00358105	0.00155357	0.00295028	0.00740041	0.0011291	0.00259139	0.0018372	0.00504555	0.00633089	0.00129718	0.0252971	0.000834482	0.00520387	0.00498653	0.0140943	0.0024606	0.00765931	0.00130154	0.00301047	0.0200529	0.0055404	0.00716017	0.00634133	0.0164088	0.00570937	0.00165192	0.0186279	0.0190236	0.00173438	0.00460246	0.0030982	0.00917157	0.0533897
8	-1582.408	-2053.432	471.0234	0.0863484	0.0995421	0.10877	0.081558	0.0407108	0.0684951	0.091911	0.138804	0.0594999	0.100772	0.12478	0.0136783	0.00733579	0.00796963	0.0104969	0.00550315	0.00745685	0.0101786	0.0100594	0.00875243	0.0105152	0.0114996	0.248258	0.0869974	0.0653468	0.0115775	0.058852	0.0668606	0.0866126	0.0929268	0.0154632	0.103433	0.163672	0.100027	0.106878	0.11674	0.0920549	0.046214	0.0759519	0.10209	0.148864	0.0682524	0.111287	0.13628	0.0122925	0.00495933	0.0239764	0.00494618	0.000545132	0.00414314	0.00253218	0.0115611	0.0247557	0.00466908	0.00245814	0.00212593	0.00354381	0.019863	0.00718452	0.00477528	0.00221195	0.0153983	0.0215409	0.0198508	0.00618473	0.0103493	0.0112955	0.00302542	0.000852386	0.0103431	0.00263499	0.0052711	0.0089541	0.0017955	0.0257339	0.00015181	0.00276863	0.00135491	0.000220381	0.0111595	0.00612629	0.0214744	0.00152062	0.00487664	0.00142456	0.00537489	0.0100579	0.0040143	0.012036	0.00300961	0.00203795	0.000421298	0.0026858	0.0023178	0.0116221	0.00939505	0.00985869	0.00155785	0.00703142	0.00234716	0.00639473	0.00300701	0.00701949	0.0332043	0.00765596	0.000602068	0.0026407	0.002343	0.0211339	0.000162856	0.00306404	0.014916	0.014174	0.00474703	0.00302866	0.00967797	0.0114241	0.00637681	0.00627938	0.0053433	0.00274826	0.00405553	0.00165402	0.00266504	0.00682959	0.00111576	0.00298515	0.00171311	0.00517471	0.00742245	0.00144834	0.0225977	0.000807456	0.00480296	0.00508732	0.0149394	0.00259219	0.00781398	0.00133708	0.00300616	0.0219311	0.0055404	0.00658934	0.00681435	0.0183141	0.00680429	0.00159234	0.0210728	0.0217944	0.00160837	0.0054227	0.00340587	0.00910726	0.0460199
9	-1568.013	-2039.791	471.7772	0.100618	0.112875	0.11278	0.0931839	0.044038	0.0543984	0.0910137	0.165624	0.0778609	0.107766	0.126898	0.0133396	0.00714841	0.00744436	0.00938317	0.00453906	0.00692448	0.00978391	0.00702075	0.00803749	0.0121397	0.0105275	0.155225	0.0543955	0.0408584	0.381985	0.0367975	0.0418049	0.0541549	0.0581029	0.00966846	0.0646721	0.102336	0.113957	0.120024	0.120224	0.102567	0.048577	0.0613229	0.100798	0.172645	0.0858984	0.119906	0.137425	0.0117414	0.00466755	0.0302589	0.00414076	0.000545132	0.00397781	0.00268174	0.011141	0.0243276	0.00456197	0.00248648	0.00210691	0.00434501	0.0191001	0.00777806	0.0043176	0.00302771	0.0153983	0.0205148	0.021791	0.00602118	0.00993033	0.0100035	0.00263363	0.000907258	0.00944553	0.00241756	0.0054882	0.00900979	0.00182755	0.0234068	0.00017352	0.00327633	0.00130512	0.000214703	0.0103032	0.00585349	0.0187971	0.00128724	0.00531207	0.00181324	0.00452866	0.0103782	0.00392827	0.0138032	0.00297225	0.00203795	0.000388074	0.00254248	0.00236051	0.0100248	0.00815028	0.00847354	0.00155858	0.00638437	0.00223031	0.00584761	0.00326693	0.00843729	0.0316552	0.0100249	0.000696392	0.00308565	0.00251839	0.0184106	0.000134582	0.00350276	0.0137833	0.0152207	0.00474703	0.00368252	0.00944074	0.011796	0.00570283	0.00643378	0.00525513	0.00288025	0.00413975	0.0015859	0.00267896	0.00715891	0.00110514	0.00332921	0.00151822	0.00502729	0.00762602	0.0015677	0.0272227	0.00089526	0.00551554	0.00434753	0.00912826	0.00210945	0.00831132	0.00134551	0.00316655	0.0230273	0.00572803	0.00648065	0.00663853	0.0219756	0.00715593	0.00171803	0.0167357	0.0201802	0.00153479	0.0058236	0.0032935	0.00910726	0.0491347
