Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
0	-3630.767	-3718.385	87.61792	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.0770897	0.190564	0.362607	0.11772	0.252019	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.018177	0.00365586	0.000623822	0.00413576	0.000621703	0.00183872	0.00513982	8.96289e-05	0.0081009	0.0223394	0.0180419	0.0557021	0.00895257	0.0205818	0.00210679	0.0245944	0.00147219	0.0107625	0.00446392	0.00983221
1	-3607.466	-3694.931	87.46489	0.0854244	0.0707424	0.0744505	0.0721635	0.0619101	0.00682012	0.0080227	0.00861711	0.00893447	0.00813747	0.0579236	0.143185	0.345594	0.0884523	0.364845	0.0922446	0.0787651	0.0830676	0.081098	0.0700475	0.0190044	0.00357904	0.000714975	0.00402482	0.000587075	0.001734	0.00528952	0.000105487	0.00700893	0.0219862	0.0212362	0.050203	0.0099866	0.0198312	0.00239572	0.0271705	0.0011123	0.0106418	0.00529445	0.00863381
2	-3576.829	-3663.456	86.62672	0.0922812	0.0784158	0.103742	0.0753217	0.0621256	0.00802345	0.00819627	0.0103535	0.00852412	0.00792192	0.0579236	0.143185	0.345594	0.0884523	0.364845	0.100305	0.0866121	0.114095	0.0838458	0.0700475	0.0195884	0.00357002	0.000839631	0.00382968	0.000694416	0.001734	0.00609913	0.000108865	0.00637855	0.0241503	0.0215782	0.0514666	0.00984045	0.0195196	0.00280389	0.0244443	0.00111768	0.00969995	0.00526544	0.0079238
3	-3560.932	-3647.853	86.92145	0.0916214	0.0870981	0.11981	0.0831219	0.0552918	0.00868321	0.00826316	0.00980425	0.00815925	0.0080555	0.0579236	0.143185	0.345594	0.0884523	0.364845	0.100305	0.0953613	0.129614	0.0912812	0.0633473	0.0195884	0.00336572	0.000752312	0.00382968	0.000609957	0.00184918	0.0054958	9.2219e-05	0.00594368	0.0222374	0.0194087	0.0514666	0.0108303	0.0202576	0.00304393	0.0245361	0.001039	0.00942897	0.00515434	0.00792913
4	-3551.202	-3639.521	88.3189	0.0945178	0.0867222	0.124847	0.0879067	0.0577094	0.00820047	0.00863909	0.010991	0.00758373	0.00949177	0.0579236	0.143185	0.345594	0.0884523	0.364845	0.102718	0.0953613	0.135837	0.0954904	0.0672012	0.0195241	0.00253001	0.000752312	0.00346315	0.000732545	0.0019384	0.00467162	8.33434e-05	0.00586499	0.0242178	0.0181398	0.044073	0.0113304	0.0155714	0.00320291	0.0221384	0.000888984	0.0102301	0.00594873	0.00839158
5	-3540.778	-3628.336	87.55783	0.0933839	0.0857192	0.137633	0.0877587	0.0545117	0.00933436	0.0108853	0.012049	0.00769767	0.00834343	0.059396	0.146825	0.354379	0.0652797	0.37412	0.102718	0.0966046	0.149682	0.0954564	0.0628551	0.0213233	0.00251569	0.000627055	0.00298461	0.000961499	0.00192769	0.00449523	7.19934e-05	0.00627034	0.0252199	0.0181149	0.0422048	0.0122571	0.0167442	0.00351305	0.0214649	0.0010279	0.0106273	0.00673041	0.00744478
6	-3516.206	-3603.341	87.13515	0.094833	0.0940489	0.134331	0.0799096	0.0543119	0.00898273	0.0115345	0.0114638	0.00690961	0.00958381	0.059396	0.146825	0.354379	0.0652797	0.37412	0.103816	0.105583	0.145795	0.0868192	0.0638957	0.0246505	0.00250757	0.000627055	0.00281003	0.00104935	0.00174536	0.00457336	7.22423e-05	0.00710074	0.0227513	0.0209652	0.0394721	0.0162784	0.0178795	0.00407934	0.0201095	0.000948976	0.0101038	0.00614065	0.00585175
7	-3492.368	-3578.367	85.99889	0.111637	0.0950903	0.153195	0.0754398	0.0562729	0.00821116	0.0104931	0.0111259	0.00643994	0.00928411	0.226952	0.12067	0.291251	0.0536509	0.307475	0.119848	0.105583	0.164321	0.0818797	0.065557	0.0298395	0.00236391	0.000707535	0.00256899	0.00109928	0.00174608	0.00500245	5.80544e-05	0.00701616	0.0194424	0.0202896	0.0398662	0.017293	0.0169584	0.00414266	0.0265993	0.000977526	0.00948026	0.00690491	0.00648031
8	-3465.44	-3550.257	84.81779	0.127306	0.106096	0.130648	0.0802114	0.0527059	0.00695682	0.0109437	0.0117072	0.00663164	0.00889599	0.156034	0.0829628	0.20024	0.0368859	0.523878	0.134262	0.117039	0.142356	0.086843	0.0616019	0.0314767	0.00277136	0.000707535	0.00256899	0.0011386	0.00160354	0.0044589	5.30597e-05	0.00727476	0.0194424	0.0212119	0.0435989	0.0154524	0.0181096	0.00353702	0.0284429	0.00101253	0.0112806	0.00725326	0.00637575
9	-3450.918	-3536.504	85.58633	0.12779	0.116467	0.126592	0.0780531	0.0486699	0.00647222	0.0103034	0.0135652	0.00601311	0.00789449	0.256147	0.136193	0.328717	0.0605525	0.21839	0.134262	0.12677	0.140158	0.0840662	0.0565644	0.0298412	0.00242421	0.000686998	0.00278587	0.00122308	0.00168274	0.0048283	5.79276e-05	0.00714684	0.0202443	0.0218505	0.0349152	0.0176044	0.020529	0.00345794	0.0275757	0.00101253	0.0122347	0.00639742	0.00744864
10	-3438.011	-3522.375	84.36313	0.128558	0.12883	0.108174	0.0715029	0.0468661	0.00570443	0.00929283	0.0164808	0.00621355	0.00804688	0.251914	0.133942	0.323284	0.0760805	0.21478	0.134262	0.138123	0.124655	0.0777165	0.054913	0.0295541	0.00236539	0.000861132	0.00253695	0.00125077	0.00174412	0.00447732	5.43458e-05	0.00803834	0.0192824	0.0216921	0.0382818	0.0175769	0.0221354	0.00370953	0.0318432	0.000901424	0.0130442	0.00766053	0.00697692
11	-3411.059	-3495.563	84.50396	0.141853	0.149862	0.105651	0.0711503	0.0428009	0.00571681	0.00832085	0.0194123	0.00621355	0.00670376	0.251914	0.133942	0.323284	0.0760805	0.21478	0.14757	0.158183	0.125063	0.0773638	0.0495047	0.0295541	0.00221025	0.000885616	0.00249532	0.00128814	0.00164891	0.00447732	5.02809e-05	0.00794874	0.0192824	0.0251149	0.0376182	0.0178497	0.0228436	0.00390164	0.0274994	0.000901424	0.0134589	0.00702885	0.00689389
12	-3389.263	-3472.136	82.8727	0.147819	0.172247	0.0718026	0.0710372	0.0416048	0.00533936	0.00832085	0.027529	0.00632665	0.00768727	0.251914	0.133942	0.323284	0.0760805	0.21478	0.153158	0.180568	0.0993317	0.0773638	0.049292	0.0312507	0.00223571	0.000975192	0.00253991	0.00148098	0.00191449	0.00518183	4.8394e-05	0.00794874	0.0202933	0.0244977	0.0396176	0.0186579	0.025226	0.00420136	0.026577	0.000861509	0.0130956	0.00790478	0.00784608
13	-3376.164	-3459.834	83.67048	0.154735	0.191206	0.0755995	0.0674517	0.0400376	0.00540492	0.00748639	0.0280184	0.00715016	0.00730498	0.251914	0.133942	0.323284	0.0760805	0.21478	0.16014	0.198693	0.103618	0.0746018	0.0473426	0.0283339	0.00233887	0.000972436	0.00251648	0.00163174	0.00184689	0.00614435	5.50677e-05	0.00794874	0.018687	0.0236818	0.0354298	0.0186579	0.0276693	0.00425909	0.0254915	0.000799595	0.0127571	0.00765924	0.00876692
14	-3364.845	-3447.696	82.85142	0.166592	0.206526	0.0624993	0.0705441	0.0369526	0.00530271	0.00831349	0.0284906	0.00663079	0.00653912	0.250554	0.133219	0.340281	0.07567	0.200275	0.171895	0.214839	0.0909899	0.0771749	0.0434917	0.0283339	0.0025086	0.000908216	0.00259119	0.00170328	0.00178761	0.00516993	4.87224e-05	0.00874514	0.0224228	0.0217783	0.0342091	0.0199763	0.0311228	0.00417042	0.0265781	0.000764931	0.0131269	0.00790802	0.00876692
