Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
11	1	-1740.582	-1838.246	97.6631	0.126543	0.10135	0.0461034	0.0729171	0.0896776	0.00664704	0.005726	0.00830499	0.00972281	0.00952926	0.16197	0.060215	0.0266099	0.0514548	0.69975	0.13319	0.107076	0.0544084	0.0826399	0.0992068	0.012669	0.00407477	0.0131077	0.00343943	0.000119776	0.00133635	0.0232947	0.00853096	0.00548848	0.00295673	0.00688305	0.00231175	0.000221962	0.00266538	0.00527834	0.0221872	0.0158687	0.00289459	0.00341601	0.00427601
12	0	-1687.399	-1779.487	92.08879	0.102536	0.143954	0.0823753	0.0542845	0.0794576	0.00675328	0.00455965	0.00826597	0.00688526	0.00639295	0.284265	0.233148	0.367111	0.00292594	0.11255	0.109289	0.148514	0.0906413	0.0611697	0.0858505	0.0276258	0.00347811	0.00374847	0.00919767	0.000985352	0.005138	0.00649254	0.00160869	0.00631551	0.00400297	0.00768545	0.00551172	0.00188503	0.00408571	0.013487	0.0288165	0.00287936	0.00720069	0.0119205	0.0362608
13	1	-1733.848	-1831.792	97.94384	0.138537	0.105934	0.0475122	0.0761016	0.0896776	0.00664704	0.00615759	0.00906476	0.0103959	0.00952926	0.16197	0.060215	0.0266099	0.0514548	0.69975	0.145184	0.112092	0.056577	0.0864975	0.0992068	0.0118897	0.00414025	0.0132454	0.00343943	0.000122697	0.00142826	0.0203766	0.00746318	0.00548848	0.00295673	0.00706368	0.00190694	0.000225943	0.00299147	0.00544474	0.0216033	0.0154636	0.00257906	0.00341601	0.00436988
14	0	-1678.637	-1771.082	92.44463	0.113425	0.144722	0.0656322	0.0484965	0.0848955	0.00725891	0.00457385	0.00888891	0.00759955	0.00508514	0.284265	0.233148	0.367111	0.00292594	0.11255	0.120684	0.149295	0.0745211	0.0560961	0.0899806	0.0300321	0.00367432	0.00358753	0.00807494	0.00105033	0.00458769	0.00605839	0.0017227	0.00624909	0.00357983	0.0079966	0.00581139	0.00189711	0.00359863	0.0146081	0.0301097	0.00261312	0.00717668	0.0119985	0.0320891
15	1	-1728.065	-1825.036	96.97031	0.154168	0.106421	0.0514911	0.0863208	0.0831605	0.00683596	0.00567062	0.0102154	0.00947496	0.00960061	0.236316	0.0878541	0.038824	0.0750729	0.561933	0.161004	0.112092	0.0617064	0.0957958	0.0927611	0.0129647	0.00390556	0.0148602	0.0034151	0.000110374	0.00152457	0.0201412	0.00766638	0.00502547	0.00295673	0.00584053	0.00176728	0.000235046	0.00325742	0.00578828	0.0226824	0.0195457	0.0023576	0.00336764	0.00393694
16	0	-1673.577	-1765.786	92.20869	0.121571	0.144178	0.0748594	0.0619023	0.0865132	0.00656306	0.00511695	0.00927349	0.0072793	0.00549803	0.391853	0.32139	0.127576	0.00403334	0.155148	0.128134	0.149295	0.0841329	0.0691816	0.0920112	0.0335617	0.00358277	0.00312001	0.00667194	0.00105033	0.00393877	0.00578371	0.00164765	0.00624909	0.00357983	0.00750072	0.00581139	0.00203538	0.00368517	0.0155951	0.0301097	0.00266499	0.00633604	0.0115871	0.0300195
17	1	-1719.845	-1817.001	97.15592	0.154162	0.110717	0.0429208	0.0892127	0.0814649	0.0068425	0.00634896	0.0109835	0.00929896	0.00979731	0.236316	0.0878541	0.038824	0.0750729	0.561933	0.161004	0.117066	0.0539043	0.0985117	0.0912622	0.0138299	0.0036807	0.0148602	0.00363261	0.000135936	0.00124724	0.0160749	0.00815615	0.00537316	0.00295673	0.00620256	0.00151712	0.00024682	0.00351255	0.00535564	0.0243544	0.0183062	0.00202298	0.00358649	0.00410714
18	0	-1670.718	-1762.962	92.24443	0.125095	0.152816	0.0768301	0.0608672	0.0918926	0.00636684	0.0052124	0.00927349	0.00810959	0.00585999	0.391853	0.32139	0.127576	0.00403334	0.155148	0.131462	0.158029	0.0861036	0.0689768	0.0977526	0.0292965	0.00309411	0.00342932	0.00595967	0.000992084	0.00435478	0.00646487	0.00164765	0.00693257	0.00357983	0.00760558	0.00661186	0.00174117	0.00382547	0.015301	0.030422	0.00224877	0.0069611	0.0115871	0.0297983
19	1	-1697.321	-1794.847	97.52633	0.178985	0.138361	0.0448613	0.0882037	0.0837038	0.00717074	0.0050807	0.00904305	0.00965092	0.0112786	0.236316	0.0878541	0.038824	0.0750729	0.561933	0.186156	0.143442	0.0539043	0.0978546	0.0949824	0.0138299	0.00325541	0.0119152	0.00370032	0.00015001	0.00143291	0.0156154	0.00758354	0.00589589	0.00308087	0.00542285	0.00181983	0.000246381	0.00370795	0.00543259	0.0225886	0.0199699	0.00202298	0.00342112	0.00389301
20	0	-1652.933	-1745.564	92.63101	0.122426	0.211695	0.0692407	0.067488	0.0895568	0.00636263	0.00554013	0.00853839	0.00810959	0.00609085	0.283993	0.508181	0.0924601	0.00292314	0.112442	0.128789	0.217236	0.0777791	0.0755976	0.0956477	0.029419	0.0032727	0.00336543	0.00688735	0.00106559	0.00450295	0.00601063	0.00149752	0.0064036	0.00390977	0.00778703	0.00661186	0.00186574	0.00382547	0.0156578	0.0305435	0.00233228	0.00673543	0.00808733	0.0270833
21	1	-1685.98	-1783.991	98.01162	0.184795	0.153941	0.0478419	0.0877081	0.0745163	0.00691103	0.0050807	0.00928556	0.00965092	0.0111078	0.236316	0.0878541	0.038824	0.0750729	0.561933	0.191706	0.159021	0.0571275	0.097359	0.0856241	0.0155791	0.00333085	0.0130652	0.00370032	0.00015042	0.00135932	0.0150313	0.00595778	0.00600427	0.00284149	0.00544976	0.00171431	0.000268457	0.00363049	0.00458283	0.0194908	0.0192108	0.00222475	0.00339316	0.00396053
22	0	-1654.667	-1747.069	92.4014	0.121412	0.211695	0.0762984	0.0607764	0.0917159	0.0073762	0.00554013	0.00851336	0.0065888	0.00668112	0.283993	0.508181	0.0924601	0.00292314	0.112442	0.128789	0.217236	0.0848117	0.0673652	0.098397	0.0274225	0.00375577	0.00360983	0.00729936	0.00112119	0.00492012	0.00602482	0.00175383	0.00615348	0.0040979	0.00749948	0.00624827	0.00190843	0.00384068	0.015878	0.0315407	0.00215702	0.00707048	0.00870943	0.0273473
23	1	-1679.537	-1776.139	96.60213	0.175464	0.164402	0.0595199	0.059648	0.0714712	0.00744918	0.00628381	0.00878497	0.00998491	0.012302	0.140282	0.45853	0.0230468	0.0445649	0.333576	0.182913	0.170685	0.0683049	0.0696329	0.0837732	0.0188596	0.00325693	0.0138329	0.00407569	0.000161614	0.00124539	0.017767	0.00698391	0.00601338	0.00282614	0.00512533	0.00191563	0.000239447	0.00340405	0.00458283	0.0192281	0.0199331	0.0026052	0.00357045	0.00423996
24	0	-1644.976	-1736.855	91.87951	0.132522	0.241419	0.0761496	0.0530222	0.0941874	0.00790376	0.00554013	0.00783996	0.00688321	0.00728852	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.140425	0.246959	0.0839895	0.0599054	0.101476	0.0275178	0.00389097	0.00368716	0.00635519	0.00124509	0.00546391	0.00643387	0.00174636	0.00622135	0.00396186	0.00760875	0.00632235	0.00229146	0.00378513	0.0151117	0.0311304	0.00249291	0.00983223	0.00925167	0.0261422
25	1	-1679.259	-1774.74	95.48108	0.181799	0.162191	0.0602037	0.0607295	0.0729278	0.00668666	0.0084942	0.00979349	0.0117648	0.0135787	0.140282	0.45853	0.0230468	0.0445649	0.333576	0.188486	0.170685	0.0699972	0.0724943	0.0865065	0.019703	0.00310215	0.0133576	0.0045523	0.000155307	0.00124539	0.0169982	0.00631049	0.00532783	0.00336379	0.00501698	0.00194882	0.000255492	0.00379468	0.00452838	0.0233445	0.0195158	0.0027682	0.0033774	0.00440329
