Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
11	-3458.625	-3558.02	99.39536	0.160151	0.131098	0.0684003	0.0402317	0.0881621	0.00916313	0.00735486	0.00499168	0.00792322	0.0077236	0.125095	0.147868	0.687202	0.027411	0.0124242	0.169315	0.138453	0.073392	0.0481549	0.0958857	0.00821255	0.000818423	0.00107111	0.000365777	0.00215544	0.00265929	0.0196375	0.0076533	0.00425271	0.0113332	0.0229231	0.000275684	0.0062694	0.00662702	0.000947244	0.00738979	0.00922066	0.00750932	0.00250066	0.00724806
12	-3437.654	-3536.873	99.21885	0.17219	0.142022	0.0682827	0.0402055	0.0950683	0.0084018	0.00681651	0.00510934	0.00823007	0.00834563	0.125095	0.147868	0.687202	0.027411	0.0124242	0.180592	0.148839	0.073392	0.0484355	0.103414	0.00842418	0.000733834	0.00108024	0.000293696	0.00229871	0.00263881	0.0166074	0.00702919	0.00407609	0.00934628	0.0264225	0.000264289	0.00704102	0.00653969	0.000845194	0.00855752	0.00996677	0.00750305	0.00250066	0.00676902
13	-3423.343	-3521.525	98.18144	0.204842	0.151142	0.0705198	0.037503	0.121769	0.0108347	0.00654199	0.00538091	0.00870647	0.00761445	0.0464492	0.16116	0.748975	0.029875	0.013541	0.215677	0.157684	0.0759007	0.0462095	0.129384	0.00861648	0.000773895	0.000962231	0.000283464	0.00255991	0.00253678	0.0166074	0.00675205	0.00407609	0.00946009	0.0283185	0.000286396	0.00737597	0.00634933	0.000845194	0.00804469	0.010965	0.00656217	0.00297693	0.00728589
14	-3398.06	-3496.172	98.1118	0.20478	0.169624	0.0676483	0.0295361	0.115338	0.00970172	0.0062717	0.00629334	0.0102768	0.00876839	0.0464492	0.16116	0.748975	0.029875	0.013541	0.214482	0.175895	0.0739416	0.0398129	0.124106	0.00945622	0.000761427	0.000933593	0.000298625	0.00279349	0.00253678	0.0152027	0.00584465	0.0038261	0.0100622	0.0283185	0.000281107	0.00826258	0.0054227	0.000899228	0.00804469	0.0113236	0.00682982	0.00250615	0.00707769
15	-3390.698	-3489.694	98.99556	0.226864	0.170204	0.0705648	0.0245784	0.121179	0.0086749	0.00569174	0.00649206	0.0107531	0.00837528	0.0464492	0.16116	0.748975	0.029875	0.013541	0.235539	0.175895	0.0770568	0.0353315	0.129555	0.0112089	0.000737038	0.000816791	0.000299075	0.00271124	0.00236504	0.0116537	0.00607638	0.00355932	0.0100622	0.026736	0.000293617	0.00826744	0.00467539	0.000936567	0.00778192	0.0106481	0.00632257	0.00216661	0.00766552
16	-3372.225	-3470.238	98.01299	0.204806	0.180321	0.0681377	0.016926	0.13004	0.00721763	0.00688177	0.00653648	0.0114035	0.00782051	0.0464492	0.16116	0.748975	0.029875	0.013541	0.212024	0.187203	0.0746742	0.0283295	0.13786	0.0136212	0.00074653	0.000752215	0.000340591	0.00290345	0.0024434	0.0112021	0.00638391	0.00369873	0.0108859	0.0301058	0.000295582	0.00821526	0.00516184	0.000924213	0.00799849	0.0118849	0.00615393	0.00225585	0.00805601
17	-3361.834	-3458.849	97.01492	0.184501	0.202846	0.0769023	0.0163513	0.14216	0.0079051	0.00687059	0.00703457	0.00928286	0.00747401	0.0464492	0.16116	0.748975	0.029875	0.013541	0.192407	0.209717	0.0839369	0.0256342	0.149634	0.0136212	0.000688978	0.000724972	0.000374661	0.00275777	0.00243264	0.0106587	0.00638391	0.00323748	0.0151794	0.0300237	0.000350168	0.00917629	0.00561985	0.00089366	0.00906506	0.0127238	0.00633212	0.00211739	0.00891182
18	-3349.562	-3445.299	95.7378	0.198334	0.235771	0.0735781	0.0191156	0.165787	0.00798513	0.00685176	0.00831565	0.00945533	0.00686927	0.201253	0.238898	0.529174	0.0211076	0.00956712	0.20632	0.242623	0.0818937	0.0285709	0.172657	0.0145133	0.000744095	0.000726732	0.000386137	0.00265105	0.00261297	0.0105486	0.00598461	0.00364502	0.0145796	0.0333342	0.000391556	0.00977516	0.00468233	0.000949098	0.00893053	0.0139274	0.00648968	0.00203371	0.0097836
19	-3339.196	-3435.093	95.89658	0.19888	0.270092	0.0819791	0.0190421	0.17441	0.00743985	0.00712804	0.00784115	0.0105166	0.00598397	0.201253	0.238898	0.529174	0.0211076	0.00956712	0.20632	0.27722	0.0898202	0.0295587	0.180394	0.0152867	0.00079753	0.000628937	0.000346458	0.00267743	0.00271671	0.00914227	0.00618969	0.00359743	0.014166	0.0325654	0.000330134	0.0114683	0.00372342	0.0011352	0.0096566	0.0121407	0.00554524	0.00200126	0.010032
20	-3337.004	-3433.093	96.08859	0.180321	0.270272	0.0992813	0.0177871	0.202412	0.00677445	0.00694881	0.00828759	0.00950688	0.00610668	0.201253	0.238898	0.529174	0.0211076	0.00956712	0.187095	0.27722	0.107569	0.0272939	0.208518	0.0152867	0.000811733	0.000674924	0.00033944	0.00283098	0.00270485	0.00869923	0.00531247	0.00348608	0.0139646	0.0326626	0.000357212	0.0110853	0.00328474	0.000967707	0.00900855	0.0124757	0.00609161	0.00247777	0.0101685
21	-3332.502	-3428.658	96.15573	0.193176	0.278996	0.100044	0.0196723	0.229166	0.00707539	0.00696331	0.00876785	0.00872169	0.00611485	0.201253	0.238898	0.529174	0.0211076	0.00956712	0.200251	0.28596	0.108812	0.028394	0.235281	0.0168798	0.00087819	0.000679123	0.00033944	0.00287385	0.00284063	0.00807734	0.00614269	0.0039621	0.0125698	0.0308111	0.000377478	0.011786	0.00277023	0.00106813	0.00949183	0.0111612	0.00657498	0.00252501	0.00823391
22	-3326.628	-3422.859	96.2309	0.178627	0.31712	0.0958037	0.0154838	0.206372	0.00653474	0.00710512	0.0082793	0.00860006	0.0055512	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.185162	0.324225	0.104083	0.0240838	0.211923	0.017441	0.000894536	0.000639188	0.000346326	0.00293525	0.00282935	0.00809933	0.00577189	0.0039273	0.0137511	0.0302074	0.00040153	0.0122672	0.00355853	0.0010365	0.00913162	0.0123469	0.00643719	0.00240283	0.00874105
23	-3325.159	-3421.359	96.2004	0.179206	0.351216	0.111181	0.0130461	0.1594	0.00667884	0.0078802	0.00867065	0.00784541	0.00529216	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.185885	0.359096	0.119852	0.0208915	0.164692	0.0178485	0.00103434	0.000528699	0.000346326	0.00293525	0.00266203	0.00806084	0.00523353	0.00369366	0.0103777	0.0313131	0.000382906	0.0133974	0.0037626	0.00096062	0.00954647	0.0140146	0.00627285	0.00229068	0.00959171
24	-3317.652	-3413.728	96.07653	0.174035	0.320361	0.127103	0.0128986	0.185214	0.00593673	0.0079115	0.00867065	0.00672821	0.00467318	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.179972	0.328272	0.135774	0.0196268	0.189887	0.0185579	0.000953993	0.000521503	0.000359603	0.00368352	0.00270978	0.00827656	0.00564212	0.00405972	0.0104619	0.0318165	0.000420394	0.01433	0.0032807	0.00112433	0.0089894	0.0158926	0.00600357	0.00234426	0.00805665
25	-3304.711	-3400.708	95.99683	0.178912	0.342784	0.126964	0.0121108	0.17098	0.00612225	0.00803729	0.00880985	0.00674692	0.00472072	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.185034	0.350822	0.135774	0.0188578	0.175701	0.0201663	0.000953993	0.000479625	0.000365814	0.00492096	0.00254331	0.00789676	0.00470816	0.00390112	0.00936222	0.0321056	0.000491435	0.0176096	0.00286282	0.00103627	0.00851652	0.0128652	0.00551193	0.00232219	0.00907255
26	-3297.337	-3392.311	94.97392	0.197586	0.34185	0.128776	0.0127102	0.157255	0.00632195	0.0089715	0.00812659	0.00639331	0.00442572	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.203908	0.350822	0.136903	0.0191035	0.161681	0.0219173	0.000953993	0.000458206	0.000332019	0.00589005	0.00265969	0.0069326	0.00409679	0.00442413	0.0111366	0.0319533	0.000480901	0.0198575	0.00283138	0.00108301	0.00876729	0.0155685	0.00489918	0.00203288	0.00921109
27	-3290.572	-3384.473	93.9009	0.175735	0.340507	0.120115	0.00927141	0.18436	0.00673155	0.010315	0.00865877	0.00813904	0.00436039	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.182466	0.350822	0.128774	0.0174105	0.188721	0.0238677	0.000952799	0.000391524	0.000347788	0.00648758	0.00229571	0.00694461	0.00346706	0.00376167	0.0118074	0.0371504	0.000594949	0.0207175	0.00268266	0.00101914	0.00757561	0.0154921	0.00469138	0.00203288	0.00836247
28	-3289.065	-3382.653	93.58858	0.168613	0.329025	0.098534	0.0090493	0.197698	0.00705374	0.0106792	0.00806692	0.00772665	0.00429215	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.175667	0.339704	0.106601	0.016776	0.201991	0.024281	0.000950138	0.000390433	0.000347788	0.0064118	0.00224236	0.00616865	0.00346706	0.00432268	0.0118074	0.039999	0.000631783	0.0209137	0.00268266	0.000992932	0.00740917	0.0168645	0.00465216	0.00197858	0.00858841
29	-3286.894	-3378.685	91.7912	0.189487	0.298091	0.104422	0.00685575	0.183432	0.00739864	0.0101366	0.00863546	0.00854121	0.00452592	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.196885	0.308228	0.113058	0.015397	0.187958	0.0298834	0.00101351	0.000374895	0.000347427	0.00602942	0.00219569	0.0052573	0.00390792	0.00450537	0.011321	0.0456217	0.000654774	0.0213928	0.00236687	0.00101583	0.00701425	0.0195325	0.00454875	0.0024059	0.00811652
