"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_color_change_numeric","maturation_color_change_letter","all_color_traits","trait_combination","trait_id","trait_id_letter","superfamily"
"Eulemur_fulvus","Lemuridae",1,"con to mom","conspicuous",1,0,1,1,"Partial",0,1,1,0,"Females only",2,"F","conspicuous_Partial_F","conspicuous_Partial_F",5,"E","Lemuriformes"
"Phaner_furcifer","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lepilemur_microdon","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lepilemur_edwardsi","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lepilemur_septentrionalis","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lepilemur_dorsalis","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lepilemur_ruficaudatus","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lepilemur_leucopus","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lepilemur_mustelinus","Megaladapidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Cheirogaleus_medius","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Cheirogaleus_major","Cheirogaleidae",0,"maybe","none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Microcebus_myoxinus","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Microcebus_rufus","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Microcebus_murinus","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Allocebus_trichotis","Cheirogaleidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
