"family","Genus","species","subspecies","Sexual_dimorphism","Sexual_Dimorph_type","...7","Location","Direction","Natal_coat","Natal_Coat_Type","NC_description","Sexual_dichromatism","Sexual_dichromatism_type","Where","Darker","SDC_description"
"callitrichidae","leontopithecus","caissara",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"callitrichidae","leontopithecus","chrysomelas",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"callitrichidae","leontopithecus","chrysopygus",NA,0,NA,NA,NA,0,0,1,"no, treves 17, 20",0,NA,NA,0,NA
"callitrichidae","leontopithecus","rosalia",NA,0,NA,NA,NA,0,1,0,"l.r.rosalia incon to both treves 20, paler than adults, hair “lustrous” yellow at birth",0,NA,NA,0,NA
"megaladapidae","lepilemur","dorsalis",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"megaladapidae","lepilemur","edwardsi",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"megaladapidae","lepilemur","leucopus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"megaladapidae","lepilemur","microdon",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"megaladapidae","lepilemur","mustelinus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"megaladapidae","lepilemur","ruficaudatus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"megaladapidae","lepilemur","septentrionalis",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cercopithecidae","lophocebus","albigena",NA,0,NA,NA,NA,0,1,0,"l.a.johnstoni no treves 28,33,43, in hill this subspecies was uniformly black and got more brown as it aged, infant is darker in zenkeri subspecies, overall the infants are darker with less color variation",1,"Partial","Multiple",1,"F: paler around ears, hind-neck, and mantle, fewer white rings on mantle hairs, underparts reddish black hill"
"cercopithecidae","lophocebus","aterrimus",NA,0,NA,NA,NA,0,0,1,"no treves 28",0,NA,NA,0,NA
"loridae","loris","tardigradus","NC: lydekkerianus, nordicus, nycticeboides, tardigradus",0,NA,NA,NA,0,1,0,"l.t.grandis incon to dad (females and infants darker hill), l.t.lydekkerianus incon to both (silver-gray dorsal, white ventral hill), l.t.nordicus incon to both (infants similar to ydekkerianus hill), l.t.nycticeboides incon to mom (dark gray hill), l.t.tardigradus incon to both (slaty-gray dorsum, white ventral, chestnut patches around the eyes hill)",1,"Complete",NA,3,"nycticeboides F:paler, tardigradus M:russet F: more brown, grandis M:dark grey or brown grey on the dorsum, white ventral F: darker"
"cercopithecidae","macaca","arctoides",NA,1,"males have balding hill (describes the studies by uno), glucksmann, females have shorter dorsal hair fooden",NA,"Head,Body",3,1,4,"neonates are creamy white rowe 650, con to both treves 44, lumbrosacral region turns brown by 1 year fooden, hill",1,"Partial","Body",1,"females may be paler than males hill"
"cercopithecidae","macaca","assamensis",NA,1,"may be a short square-cut beard in females but the side whiskers are not as full hill",NA,"Head",2,1,0,"skin turns red in adults rowe 509, incon to both treves 28, slightly different composition of yellow-reddish-brown to infants and juveniles versus adults hill",0,NA,NA,0,NA
"cercopithecidae","macaca","cyclopis",NA,0,NA,NA,NA,0,1,0,"incon to both treves 28, upper part of newborns slate colored, more golden, different shades of grey, line of dark hairs on forehead hill",1,"Partial","Body",1,"F: dorsal hair more yellow hill"
