Galago_alleni,,,Cercocebus_atys,,,
Galago_gallarum,,,Cercocebus_chrysogaster,,,
Galago_matschiei,,,Cercocebus_galeritus,,,
Galago_moholi,,,Cercocebus_sanjei,,,
Galago_senegalensis,,,Cercocebus_torquatus,,,
Galagoides_demidoff,,,Cercopithecus_ascanius,,,
Galagoides_thomasi,,,Cercopithecus_campbelli,,,
Galagoides_zanzibaricus,,,Cercopithecus_cephus,,,
Gorilla_(Gorilla) Beringei,,,Cercopithecus_diana,,,
Gorilla_gorilla Gorilla,,,Cercopithecus_dryas,,,
Gorilla_gorilla Graueri,,,Cercopithecus_erythrogaster,,,
Hapalemur_aureus,,,Cercopithecus_erythrotis,,,
Hapalemur_griseus,,,Cercopithecus_hamlyni,,,
Hapalemur_simus,,,Cercopithecus_lhoesti,,,
Hylobates_(Bunopithecus) Hoolock,,,Cercopithecus_lomamiensis,,,
Nomascus_concolor,,,Cercopithecus_mitis,,,
Nomascus_gabriellae,,,Cercopithecus_mona,,,
Nomascus_leucogenys,,,Cercopithecus_neglectus,,,
Hylobates_(Symphalangus) Syndactylus,,,Cercopithecus_nictitans,,,
Hylobates_agilis,,,Cercopithecus_petaurista,,,
Hylobates_klossii,,,Cercopithecus_pogonias,,,
Hylobates_lar,,,Cercopithecus_preussi,,,
Hylobates_moloch,,,Cercopithecus_sclateri,,,
Hylobates_muelleri,,,Cercopithecus_solatus,,,
Hylobates_pileatus,,,Cheirogaleus_crossleyi,,,
Indri_indri,,,Cheirogaleus_lavasoensis,,,
Lagothrix_flavicauda,,,Cheirogaleus_major,,,
Lagothrix_lagotricha,,,Cheirogaleus_medius,,,
Lemur_catta,,,Cheirogaleus_minusculus,,,
Leontopithecus_caissara,,,Cheirogaleus_sibreei,,,
Leontopithecus_chrysomelas,,,Chiropotes_albinasus,,,
Leontopithecus_chrysopygus,,,Chiropotes_chiropotes,,,
Leontopithecus_na,,,Chiropotes_satanas,,,
Leontopithecus_rosalia,,,Chiropotes_utahickae,,,
Lepilemur_dorsalis,,,Chlorocebus_aethiops,,,
Lepilemur_edwardsi,,,Chlorocebus_cynosuros,,,
Lepilemur_leucopus,,,Chlorocebus_djamdjamensis,,,
Lepilemur_microdon,,,Chlorocebus_pygerythrus,,,
Lepilemur_mustelinus,,,Chlorocebus_sabaeus,,,
Lepilemur_ruficaudatus,,,Chlorocebus_tantalus,,,
Lepilemur_septentrionalis,,,Colobus_angolensis,,,
Lophocebus_albigena,,,Colobus_guereza,,,
Lophocebus_aterrimus,,,Colobus_polykomos,,,
Loris_tardigradus,,,Colobus_satanas,,,
Macaca_arctoides,,,Colobus_vellerosus,,,
Macaca_assamensis,,,Daubentonia_madagascariensis,,,
Macaca_cyclopis,,,Erythrocebus_patas,,,
Macaca_fascicularis (Irus),,,Eulemur_albifrons,,,
Macaca_fuscata,,,Eulemur_cinereiceps,,,
Macaca_hecki,,,Eulemur_collaris,,,
Macaca_maura,,,Eulemur_coronatus,,,
Macaca_mulatta,,,Eulemur_flavifrons,,,
Macaca_na,,,Eulemur_fulvus,,,
Macaca_nemestrina,,,Eulemur_macaco,,,
Macaca_nigra,,,Eulemur_mongoz,,,
Macaca_nigrescens,,,Eulemur_rubriventer,,,
Macaca_ochreata,,,Eulemur_rufifrons,,,
Macaca_radiata,,,Eulemur_rufus,,,
Macaca_silenus,,,Eulemur_sanfordi,,,
Macaca_sinica,,,Euoticus_elegantulus,,,
Macaca_sylvanus,,,Euoticus_pallidus,,,
Macaca_thibetana,,,Galago_gallarum,,,
Macaca_tonkeana,,,Galago_matschiei,,,
Mandrillus_leucophaeus,,,Galago_moholi,,,
Mandrillus_na,,,Galago_senegalensis,,,
Mandrillus_sphinx,,,Galagoides_cocos,,,
Microcebus_murinus,,,Galagoides_demidovii,,,
Microcebus_myoxinus,,,Galagoides_granti,,,
Microcebus_rufus,,,Galagoides_nyasae,,,
Mizra_coquereli,,,Galagoides_orinus,,,
Miopithecus_talapoin,,,Galagoides_rondoensis,,,
Nasalis_(Simias) Concolor,,,Galagoides_thomasi,,,
Nasalis_larvatus,,,Galagoides_zanzibaricus,,,
Nycticebus_coucang,,,Gorilla_beringei,,,
Nycticebus_pygmaeus,,,Gorilla_gorilla,,,
Otolemur_crassicaudatus,,,Hapalemur_alaotrensis,,,
Otolemur_garnettii,,,Hapalemur_aureus,,,
Pan_paniscus,,,Hapalemur_griseus,,,
Pan_troglodytes,,,Hapalemur_meridionalis,,,
Papio_hamadryas Anubis,,,Hapalemur_occidentalis,,,
Papio_hamadryas Cynocephalus,,,Homo_denisova,,,
Papio_hamadryas Hamadryas,,,Homo_heidelbergensis,,,
Papio_hamadryas Papio,,,Homo_neanderthalensis,,,
Papio_hamadryas Ursinus,,,Homo_sapiens,,,
Papio_na,,,Hoolock_hoolock,,,
Perodicticus_potto,,,Hoolock_leuconedys,,,
Phaner_furcifer,,,Hylobates_agilis,,,
Pithecia_aequatorialis,,,Hylobates_albibarbis,,,
Pithecia_albicans,,,Hylobates_klossii,,,
Pithecia_irrorata,,,Hylobates_lar,,,
Pithecia_monachus,,,Hylobates_moloch,,,
Pithecia_pithecia,,,Hylobates_muelleri,,,
Pongo_abelii,,,Hylobates_pileatus,,,
Pongo_pygmaeus,,,Indri_indri,,,
Presbytis_comata,,,Lagothrix_cana,,,
Presbytis_femoralis,,,Lagothrix_lagotricha,,,
Presbytis_frontata,,,Lagothrix_lugens,,,
Presbytis_hosei,,,Lagothrix_poeppigii,,,
Presbytis_melalophos,,,Lemur_catta,,,
Presbytis_na,,,Leontocebus_cruzlimai,,,
Presbytis_potenziani,,,Leontocebus_fuscicollis,,,
Presbytis_rubicunda,,,Leontocebus_illigeri,,,
Presbytis_thomasi,,,Leontocebus_lagonotus,,,
Procolobus (Piliocolobus)_Badius,,,Leontocebus_leucogenys,,,
Procolobus (Piliocolobus)_Pennantii,,,Leontocebus_nigricollis,,,
Procolobus (Piliocolobus)_Preussi,,,Leontocebus_nigrifrons,,,
Procolobus (Piliocolobus)_Rufomitratus,,,Leontocebus_tripartitus,,,
Procolobus (Piliocolobus)_Verus,,,Leontocebus_weddelli,,,
Propithecus_diadema,,,Leontopithecus_caissara,,,
Propithecus_na,,,Leontopithecus_chrysomelas,,,
Propithecus_tattersalli,,,Leontopithecus_chrysopygus,,,
Propithecus_verreauxi,,,Leontopithecus_rosalia,,,
Pygathrix_cinerea,,,Lepilemur_aeeclis,,,
Pygathrix_na,,,Lepilemur_ahmansonorum,,,
Pygathrix_nemaeus,,,Lepilemur_ankaranensis,,,
Pygathrix_nigripes,,,Lepilemur_betsileo,,,
"Pygathrix, Rhinopithecus_avunculus",,,Lepilemur_dorsalis,,,
"Pygathrix, Rhinopithecus_bieti",,,Lepilemur_edwardsi,,,
"Pygathrix, Rhinopithecus_brelichi",,,Lepilemur_fleuretae,,,
"Pygathrix, Rhinopithecus_na",,,Lepilemur_grewcockorum,,,
"Pygathrix, Rhinopithecus_roxellana",,,Lepilemur_hollandorum,,,
