state	power	likelihood
260	1.16658e-302	-86.9727
270	1.16658e-302	-101.184
280	1.16658e-302	-87.3412
290	1.16658e-302	-88.6394
300	1.16658e-302	-95.7076
310	1.16658e-302	-93.4098
320	1.16658e-302	-92.7433
330	1.16658e-302	-87.3375
340	1.16658e-302	-139.072
350	1.16658e-302	-89.3601
360	1.16658e-302	-98.435
370	1.16658e-302	-94.1599
380	1.16658e-302	-90.6754
390	1.16658e-302	-132.684
400	1.16658e-302	-87.5455
410	1.16658e-302	-96.2013
420	1.16658e-302	-99.4088
430	1.16658e-302	-87.6945
440	1.16658e-302	-86.9187
450	1.16658e-302	-95.646
460	1.16658e-302	-95.6184
470	1.16658e-302	-86.8983
480	1.16658e-302	-94.6435
490	1.16658e-302	-94.1085
500	1.16658e-302	-91.0452
510	1.16658e-302	-87.78
520	1.16658e-302	-86.9313
530	1.16658e-302	-128.907
540	1.16658e-302	-138.269
550	1.16658e-302	-96.3429
560	1.16658e-302	-118.656
570	1.16658e-302	-87.4441
580	1.16658e-302	-104.018
590	1.16658e-302	-95.6286
600	1.16658e-302	-90.1395
610	1.16658e-302	-99.2656
620	1.16658e-302	-106.716
630	1.16658e-302	-87.0099
640	1.16658e-302	-87.6184
650	1.16658e-302	-94.2083
660	1.16658e-302	-135.28
670	1.16658e-302	-89.1572
680	1.16658e-302	-97.7522
690	1.16658e-302	-96.2448
700	1.16658e-302	-118.009
710	1.16658e-302	-114.452
720	1.16658e-302	-87.5372
730	1.16658e-302	-118.269
740	1.16658e-302	-117.983
750	1.16658e-302	-87.865
760	1.16658e-302	-95.3947
770	1.16658e-302	-109.644
780	1.16658e-302	-122.756
790	1.16658e-302	-93.056
800	1.16658e-302	-89.4622
810	1.16658e-302	-87.881
820	1.16658e-302	-154.576
830	1.16658e-302	-99.3821
840	1.16658e-302	-88.2392
850	1.16658e-302	-123.13
860	1.16658e-302	-148.342
870	1.16658e-302	-90.9874
880	1.16658e-302	-92.878
890	1.16658e-302	-88.7369
900	1.16658e-302	-89.5852
910	1.16658e-302	-99.9187
920	1.16658e-302	-96.3468
930	1.16658e-302	-136.282
940	1.16658e-302	-90.4354
950	1.16658e-302	-171.944
960	1.16658e-302	-123.392
970	1.16658e-302	-133.405
980	1.16658e-302	-97.2175
990	1.16658e-302	-121.797
1000	1.16658e-302	-118.383
