Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]
79	-85.77466	-89.18368	3.40902	0.01110943	0.0111094	0.0111094
80	-85.77466	-89.18368	3.40902	0.01110943	0.0111094	0.0111094
81	-84.40132	-86.84651	2.445183	0.01829995	0.0183	0.0183
82	-84.42635	-87.20335	2.776999	0.0158245	0.0158245	0.0158245
83	-85.1375	-86.92017	1.782676	0.02324246	0.0232425	0.0232425
84	-84.39281	-86.86055	2.467741	0.01813166	0.0181317	0.0181317
85	-84.58454	-87.52897	2.944433	0.0145754	0.0145754	0.0145754
86	-85.2942	-86.98743	1.693227	0.02390978	0.0239098	0.0239098
87	-84.41032	-87.15899	2.748667	0.01603587	0.0160359	0.0160359
88	-84.41048	-87.15946	2.748979	0.01603354	0.0160335	0.0160335
89	-84.74659	-86.79224	2.045646	0.02128062	0.0212806	0.0212806
90	-85.2473	-86.96665	1.719351	0.02371489	0.0237149	0.0237149
91	-84.86004	-87.96813	3.10809	0.01335446	0.0133545	0.0133545
92	-84.37313	-87.0026	2.629468	0.01692513	0.0169251	0.0169251
93	-84.37313	-87.0026	2.629468	0.01692513	0.0169251	0.0169251
94	-84.37313	-87.0026	2.629468	0.01692513	0.0169251	0.0169251
95	-84.48029	-86.78854	2.308246	0.01932154	0.0193215	0.0193215
96	-84.4587	-86.79762	2.338921	0.0190927	0.0190927	0.0190927
97	-84.41731	-86.82715	2.409835	0.01856366	0.0185637	0.0185637
98	-84.81603	-87.90257	3.086534	0.01351528	0.0135153	0.0135153
99	-84.53514	-86.77599	2.240852	0.01982433	0.0198243	0.0198243
100	-84.40735	-87.15013	2.742783	0.01607977	0.0160798	0.0160798
101	-84.37934	-86.89446	2.515125	0.01777816	0.0177782	0.0177782
102	-84.37934	-86.89446	2.515125	0.01777816	0.0177782	0.0177782
103	-85.64318	-87.15541	1.51223	0.02526007	0.0252601	0.0252601
104	-84.44684	-86.8041	2.357255	0.01895592	0.0189559	0.0189559
105	-85.18662	-86.94057	1.753943	0.02345682	0.0234568	0.0234568
106	-84.41139	-87.16213	2.750735	0.01602044	0.0160204	0.0160204
107	-85.01942	-86.87424	1.854824	0.02270422	0.0227042	0.0227042
108	-84.93479	-86.84455	1.909765	0.02229434	0.0222943	0.0222943
109	-84.83385	-87.92926	3.095411	0.01344905	0.0134491	0.0134491
110	-86.22402	-89.73192	3.507897	0.01037178	0.0103718	0.0103718
111	-86.22402	-89.73192	3.507897	0.01037178	0.0103718	0.0103718
112	-86.68245	-90.27498	3.592521	0.009740459	0.00974046	0.00974046
113	-85.92725	-89.37204	3.444782	0.01084263	0.0108426	0.0108426
114	-84.41887	-87.18329	2.76442	0.01591835	0.0159183	0.0159183
115	-84.75368	-86.79376	2.040078	0.02132216	0.0213222	0.0213222
116	-84.39718	-86.8529	2.455727	0.01822129	0.0182213	0.0182213
117	-84.65073	-87.6424	2.991672	0.01422298	0.014223	0.014223
118	-84.65073	-87.6424	2.991672	0.01422298	0.014223	0.014223
119	-84.5942	-86.77301	2.178809	0.02028718	0.0202872	0.0202872
120	-84.38024	-86.89135	2.511104	0.01780817	0.0178082	0.0178082
121	-84.49358	-87.35671	2.863132	0.01518193	0.0151819	0.0151819
122	-85.18577	-88.42527	3.239501	0.0123741	0.0123741	0.0123741
123	-85.18577	-88.42527	3.239501	0.0123741	0.0123741	0.0123741
124	-85.13233	-88.35288	3.220547	0.0125155	0.0125155	0.0125155
125	-84.38679	-87.079	2.692206	0.01645709	0.0164571	0.0164571
126	-84.67891	-86.78014	2.101226	0.02086598	0.020866	0.020866
127	-85.09001	-86.90114	1.811133	0.02303016	0.0230302	0.0230302
128	-85.3474	-87.01159	1.664193	0.02412638	0.0241264	0.0241264
129	-84.43324	-87.22104	2.787803	0.0157439	0.0157439	0.0157439
130	-84.46602	-86.79419	2.328174	0.01917288	0.0191729	0.0191729
131	-84.44314	-86.80639	2.363247	0.01891122	0.0189112	0.0189112
132	-84.37093	-86.95718	2.586255	0.01724751	0.0172475	0.0172475
133	-84.42751	-87.20636	2.778859	0.01581063	0.0158106	0.0158106
134	-84.42751	-87.20636	2.778859	0.01581063	0.0158106	0.0158106
135	-84.37089	-86.96289	2.591998	0.01720467	0.0172047	0.0172047
136	-84.51245	-86.77973	2.267281	0.01962716	0.0196272	0.0196272
137	-84.58974	-86.77296	2.18322	0.02025428	0.0202543	0.0202543
138	-84.53098	-86.77655	2.245569	0.01978913	0.0197891	0.0197891
139	-85.70246	-87.18584	1.483376	0.02547533	0.0254753	0.0254753
140	-86.73887	-87.77155	1.032687	0.02883761	0.0288376	0.0288376
141	-90.80149	-90.44261	-0.3588853	0.03921917	0.0392192	0.0392192
142	-85.08483	-86.89911	1.81428	0.02300669	0.0230067	0.0230067
143	-86.69661	-87.74622	1.049605	0.02871139	0.0287114	0.0287114
144	-86.99422	-87.92653	0.9323119	0.02958644	0.0295864	0.0295864
145	-86.39474	-87.56816	1.173426	0.02778765	0.0277877	0.0277877
146	-86.06956	-87.38322	1.313661	0.02674146	0.0267415	0.0267415
147	-84.42024	-86.82427	2.40403	0.01860697	0.018607	0.018607
148	-84.54527	-87.4576	2.912333	0.01481487	0.0148149	0.0148149
149	-85.25438	-86.96975	1.715373	0.02374456	0.0237446	0.0237446
150	-84.63144	-87.61007	2.978633	0.01432025	0.0143203	0.0143203
151	-84.57866	-86.77302	2.19436	0.02017117	0.0201712	0.0201712
152	-84.57866	-86.77302	2.19436	0.02017117	0.0201712	0.0201712
153	-84.74686	-86.79229	2.045431	0.02128223	0.0212822	0.0212822
154	-85.70281	-87.18602	1.483206	0.0254766	0.0254766	0.0254766
155	-84.38634	-87.0771	2.690767	0.01646782	0.0164678	0.0164678
156	-84.8516	-87.95565	3.104048	0.01338462	0.0133846	0.0133846
157	-84.8804	-86.82722	1.946822	0.02201788	0.0220179	0.0220179
158	-85.66693	-87.16755	1.500612	0.02534674	0.0253467	0.0253467
159	-84.73566	-86.78998	2.054321	0.0212159	0.0212159	0.0212159
160	-84.39707	-86.85308	2.456016	0.01821914	0.0182191	0.0182191
161	-84.4043	-87.14078	2.736476	0.01612682	0.0161268	0.0161268
162	-84.4043	-87.14078	2.736476	0.01612682	0.0161268	0.0161268
163	-84.79881	-86.8044	2.005587	0.02157948	0.0215795	0.0215795
164	-84.73702	-87.78141	3.044383	0.01382974	0.0138297	0.0138297
165	-84.73702	-87.78141	3.044383	0.01382974	0.0138297	0.0138297
166	-84.75473	-86.79399	2.039254	0.02132831	0.0213283	0.0213283
167	-84.48543	-87.33983	2.85439	0.01524714	0.0152471	0.0152471
168	-84.83967	-87.93793	3.098262	0.01342778	0.0134278	0.0134278
169	-84.60705	-87.56839	2.961335	0.0144493	0.0144493	0.0144493
170	-84.95056	-88.09954	3.148989	0.01304935	0.0130493	0.0130493
171	-85.01444	-88.18998	3.175546	0.01285122	0.0128512	0.0128512
172	-84.37313	-86.92535	2.55222	0.01750143	0.0175014	0.0175014
173	-84.37313	-86.92535	2.55222	0.01750143	0.0175014	0.0175014
174	-84.37759	-86.90115	2.523561	0.01771523	0.0177152	0.0177152
175	-84.37338	-86.9235	2.550122	0.01751707	0.0175171	0.0175171
176	-84.66623	-87.668	3.001772	0.01414763	0.0141476	0.0141476
177	-84.56475	-86.77345	2.208709	0.02006412	0.0200641	0.0200641
178	-84.70439	-86.78414	2.079752	0.02102618	0.0210262	0.0210262
179	-84.43038	-86.81545	2.385071	0.01874841	0.0187484	0.0187484
180	-84.48791	-87.34498	2.857077	0.0152271	0.0152271	0.0152271
181	-84.48791	-87.34498	2.857077	0.0152271	0.0152271	0.0152271
182	-85.18336	-86.93919	1.755832	0.02344273	0.0234427	0.0234427
183	-84.5757	-86.77307	2.197368	0.02014873	0.0201487	0.0201487
184	-84.73193	-86.78923	2.057301	0.02119367	0.0211937	0.0211937
185	-84.70283	-87.7273	3.02447	0.0139783	0.0139783	0.0139783
186	-84.8813	-87.99938	3.118083	0.01327991	0.0132799	0.0132799
187	-85.51021	-87.08897	1.578755	0.02476377	0.0247638	0.0247638
188	-84.39985	-86.8487	2.44885	0.0182726	0.0182726	0.0182726
189	-84.43486	-87.22512	2.790257	0.0157256	0.0157256	0.0157256
190	-84.63257	-86.77491	2.142331	0.02055932	0.0205593	0.0205593
191	-84.63257	-86.77491	2.142331	0.02055932	0.0205593	0.0205593
192	-84.63257	-86.77491	2.142331	0.02055932	0.0205593	0.0205593
193	-85.1805	-88.41817	3.237669	0.01238777	0.0123878	0.0123878
194	-84.96892	-88.12572	3.1568	0.01299107	0.0129911	0.0129911
195	-84.37111	-86.97411	2.603001	0.01712258	0.0171226	0.0171226
196	-85.25079	-86.96818	1.717387	0.02372954	0.0237295	0.0237295
197	-84.40681	-86.83905	2.432239	0.01839652	0.0183965	0.0183965
198	-86.31508	-87.52214	1.207053	0.02753679	0.0275368	0.0275368
199	-84.37234	-86.99436	2.622019	0.0169807	0.0169807	0.0169807
200	-84.68249	-86.78066	2.09817	0.02088878	0.0208888	0.0208888
201	-84.68249	-86.78066	2.09817	0.02088878	0.0208888	0.0208888
202	-84.5439	-87.45505	2.911148	0.01482371	0.0148237	0.0148237
203	-84.5439	-87.45505	2.911148	0.01482371	0.0148237	0.0148237
204	-84.37706	-87.03158	2.654515	0.01673827	0.0167383	0.0167383
205	-84.37706	-87.03158	2.654515	0.01673827	0.0167383	0.0167383
206	-85.07334	-86.89463	1.82129	0.02295439	0.0229544	0.0229544
207	-85.27214	-88.54068	3.268535	0.0121575	0.0121575	0.0121575
208	-84.54535	-86.77485	2.229497	0.01990904	0.019909	0.019909
209	-84.66786	-87.67067	3.002818	0.01413983	0.0141398	0.0141398
210	-84.81162	-87.89592	3.084302	0.01353193	0.0135319	0.0135319
211	-84.37763	-86.90097	2.523338	0.01771689	0.0177169	0.0177169
212	-84.38313	-87.06312	2.679987	0.01654825	0.0165482	0.0165482
213	-84.38313	-87.06312	2.679987	0.01654825	0.0165482	0.0165482
214	-84.38313	-87.06312	2.679987	0.01654825	0.0165482	0.0165482
215	-84.83808	-86.81486	1.976776	0.02179441	0.0217944	0.0217944
216	-84.83808	-86.81486	1.976776	0.02179441	0.0217944	0.0217944
217	-86.04784	-87.37117	1.32333	0.02666932	0.0266693	0.0266693
218	-84.58851	-86.77296	2.184442	0.02024516	0.0202452	0.0202452
219	-84.58851	-86.77296	2.184442	0.02024516	0.0202452	0.0202452
220	-84.63487	-86.77509	2.140222	0.02057505	0.0205751	0.0205751
221	-84.98232	-86.86085	1.878532	0.02252735	0.0225273	0.0225273
222	-84.92085	-86.83997	1.919117	0.02222457	0.0222246	0.0222246
223	-84.45035	-87.2625	2.812154	0.01556223	0.0155622	0.0155622
224	-84.39001	-87.09179	2.701773	0.01638571	0.0163857	0.0163857
225	-84.39001	-87.09179	2.701773	0.01638571	0.0163857	0.0163857
226	-84.38607	-87.07597	2.689902	0.01647428	0.0164743	0.0164743
227	-85.52345	-87.09546	1.572014	0.02481407	0.0248141	0.0248141
228	-84.48371	-86.78737	2.303657	0.01935578	0.0193558	0.0193558
229	-86.42287	-87.58452	1.161653	0.02787549	0.0278755	0.0278755
230	-84.83846	-86.81497	1.976505	0.02179643	0.0217964	0.0217964
231	-84.83846	-86.81497	1.976505	0.02179643	0.0217964	0.0217964
232	-84.38514	-86.87718	2.492046	0.01795034	0.0179503	0.0179503
233	-84.9222	-86.84041	1.918209	0.02223135	0.0222313	0.0222313
234	-84.39747	-87.11859	2.721123	0.01624135	0.0162414	0.0162414
235	-84.39747	-87.11859	2.721123	0.01624135	0.0162414	0.0162414
236	-84.38804	-86.87027	2.482229	0.01802358	0.0180236	0.0180236
237	-84.78518	-86.80102	2.015837	0.02150301	0.021503	0.021503
238	-84.78518	-86.80102	2.015837	0.02150301	0.021503	0.021503
239	-85.41631	-88.72954	3.313234	0.01182403	0.011824	0.011824
240	-85.41631	-88.72954	3.313234	0.01182403	0.011824	0.011824
241	-84.37133	-86.94528	2.573943	0.01733936	0.0173394	0.0173394
242	-84.37133	-86.94528	2.573943	0.01733936	0.0173394	0.0173394
243	-84.37133	-86.94528	2.573943	0.01733936	0.0173394	0.0173394
244	-84.53063	-87.42997	2.899339	0.01491181	0.0149118	0.0149118
245	-84.53063	-87.42997	2.899339	0.01491181	0.0149118	0.0149118
246	-84.90056	-86.83347	1.932906	0.0221217	0.0221217	0.0221217
247	-84.85485	-87.96045	3.105608	0.01337298	0.013373	0.013373
248	-84.4296	-87.21179	2.782186	0.0157858	0.0157858	0.0157858
249	-84.82112	-86.81021	1.989092	0.02170254	0.0217025	0.0217025
250	-84.82112	-86.81021	1.989092	0.02170254	0.0217025	0.0217025
251	-84.89174	-88.01463	3.122897	0.013244	0.013244	0.013244
252	-84.38868	-87.08659	2.697916	0.01641448	0.0164145	0.0164145
253	-84.4018	-87.13287	2.731067	0.01616717	0.0161672	0.0161672
254	-84.4018	-87.13287	2.731067	0.01616717	0.0161672	0.0161672
255	-84.76973	-86.79736	2.027623	0.02141508	0.0214151	0.0214151
256	-85.37591	-88.67705	3.301136	0.01191428	0.0119143	0.0119143
257	-84.37162	-86.98471	2.613088	0.01704733	0.0170473	0.0170473
258	-85.62574	-87.14655	1.520807	0.02519609	0.0251961	0.0251961
259	-85.62574	-87.14655	1.520807	0.02519609	0.0251961	0.0251961
260	-85.02274	-88.20162	3.178876	0.01282638	0.0128264	0.0128264
261	-84.48857	-87.34637	2.857797	0.01522172	0.0152217	0.0152217
262	-84.48857	-87.34637	2.857797	0.01522172	0.0152217	0.0152217
263	-85.07345	-88.27211	3.198663	0.01267876	0.0126788	0.0126788
264	-84.5164	-86.77895	2.262544	0.01966249	0.0196625	0.0196625
265	-84.45994	-86.79702	2.337083	0.01910642	0.0191064	0.0191064
266	-84.37882	-86.89633	2.517507	0.0177604	0.0177604	0.0177604
267	-84.37882	-86.89633	2.517507	0.0177604	0.0177604	0.0177604
268	-84.37882	-86.89633	2.517507	0.0177604	0.0177604	0.0177604
269	-84.43005	-86.81571	2.385659	0.01874402	0.018744	0.018744
270	-84.71538	-87.74729	3.031913	0.01392277	0.0139228	0.0139228
271	-86.0148	-87.35292	1.338117	0.026559	0.026559	0.026559
272	-84.37203	-86.99052	2.618488	0.01700705	0.017007	0.017007
273	-84.37203	-86.99052	2.618488	0.01700705	0.017007	0.017007
274	-84.80972	-86.8072	1.997481	0.02163995	0.0216399	0.0216399
275	-84.38962	-87.09027	2.700647	0.01639411	0.0163941	0.0163941
276	-84.44463	-86.80545	2.360817	0.01892935	0.0189294	0.0189294
277	-84.50944	-87.38872	2.879285	0.01506142	0.0150614	0.0150614
278	-84.50944	-87.38872	2.879285	0.01506142	0.0150614	0.0150614
279	-84.80236	-86.8053	2.002936	0.02159925	0.0215993	0.0215993
280	-84.80236	-86.8053	2.002936	0.02159925	0.0215993	0.0215993
281	-84.80236	-86.8053	2.002936	0.02159925	0.0215993	0.0215993
282	-84.80236	-86.8053	2.002936	0.02159925	0.0215993	0.0215993
283	-85.41589	-87.04355	1.627657	0.02439895	0.0243989	0.0243989
284	-84.7312	-86.78909	2.057885	0.02118932	0.0211893	0.0211893
285	-84.6589	-86.77753	2.118633	0.02073612	0.0207361	0.0207361
286	-84.54361	-86.77502	2.231409	0.01989477	0.0198948	0.0198948
287	-87.06957	-87.97283	0.9032594	0.02980318	0.0298032	0.0298032
288	-84.73467	-86.78978	2.055106	0.02121005	0.02121	0.02121
289	-84.86857	-87.9807	3.11213	0.01332433	0.0133243	0.0133243
290	-84.94353	-88.08949	3.14596	0.01307194	0.0130719	0.0130719
291	-84.47726	-86.78964	2.312374	0.01929075	0.0192908	0.0192908
292	-84.47726	-86.78964	2.312374	0.01929075	0.0192908	0.0192908
293	-84.3892	-86.86775	2.478544	0.01805107	0.0180511	0.0180511
294	-84.38254	-87.06041	2.677864	0.01656408	0.0165641	0.0165641
295	-84.40952	-87.15663	2.747111	0.01604748	0.0160475	0.0160475
296	-84.37716	-87.03217	2.655012	0.01673457	0.0167346	0.0167346
297	-85.28712	-86.98426	1.69714	0.02388058	0.0238806	0.0238806
298	-85.28712	-86.98426	1.69714	0.02388058	0.0238806	0.0238806
299	-84.41322	-86.83147	2.418246	0.01850091	0.0185009	0.0185009
300	-84.41322	-86.83147	2.418246	0.01850091	0.0185009	0.0185009
301	-84.41322	-86.83147	2.418246	0.01850091	0.0185009	0.0185009
302	-84.41322	-86.83147	2.418246	0.01850091	0.0185009	0.0185009
303	-84.60127	-86.77317	2.171894	0.02033878	0.0203388	0.0203388
304	-84.79773	-86.80413	2.00639	0.02157348	0.0215735	0.0215735
305	-84.75893	-87.81551	3.056574	0.01373879	0.0137388	0.0137388
306	-85.21674	-86.95339	1.736656	0.02358578	0.0235858	0.0235858
307	-85.08985	-86.90108	1.811226	0.02302947	0.0230295	0.0230295
308	-84.41127	-87.16177	2.750504	0.01602217	0.0160222	0.0160222
309	-84.81175	-87.89611	3.084368	0.01353144	0.0135314	0.0135314
310	-84.40711	-86.83866	2.431549	0.01840167	0.0184017	0.0184017
311	-85.72954	-89.12748	3.39794	0.0111921	0.0111921	0.0111921
312	-85.72954	-89.12748	3.39794	0.0111921	0.0111921	0.0111921
313	-84.72896	-87.76875	3.039788	0.01386402	0.013864	0.013864
314	-84.37802	-86.89939	2.521371	0.01773156	0.0177316	0.0177316
315	-84.41739	-87.17919	2.761803	0.01593787	0.0159379	0.0159379
316	-84.54126	-87.4501	2.908838	0.01484095	0.0148409	0.0148409
317	-84.54126	-87.4501	2.908838	0.01484095	0.0148409	0.0148409
318	-84.77278	-86.79807	2.025284	0.02143253	0.0214325	0.0214325
319	-86.04363	-87.36884	1.32521	0.0266553	0.0266553	0.0266553
320	-84.56055	-87.48582	2.925268	0.01471837	0.0147184	0.0147184
321	-84.70266	-86.78385	2.081191	0.02101545	0.0210154	0.0210154
322	-84.70266	-86.78385	2.081191	0.02101545	0.0210154	0.0210154
323	-84.70266	-86.78385	2.081191	0.02101545	0.0210154	0.0210154
324	-84.40676	-86.83911	2.432354	0.01839567	0.0183957	0.0183957
325	-84.4035	-87.13825	2.734754	0.01613967	0.0161397	0.0161397
326	-84.4035	-87.13825	2.734754	0.01613967	0.0161397	0.0161397
327	-85.36855	-88.66745	3.298897	0.01193098	0.011931	0.011931
328	-85.36855	-88.66745	3.298897	0.01193098	0.011931	0.011931
329	-85.36855	-88.66745	3.298897	0.01193098	0.011931	0.011931
330	-84.39581	-86.85519	2.459378	0.01819406	0.0181941	0.0181941
331	-84.39581	-86.85519	2.459378	0.01819406	0.0181941	0.0181941
332	-86.13862	-87.42181	1.283191	0.02696877	0.0269688	0.0269688
333	-84.52874	-87.42635	2.897609	0.01492471	0.0149247	0.0149247
334	-85.37412	-87.02395	1.649831	0.02423353	0.0242335	0.0242335
335	-85.37412	-87.02395	1.649831	0.02423353	0.0242335	0.0242335
336	-85.37412	-87.02395	1.649831	0.02423353	0.0242335	0.0242335
337	-84.46476	-87.29529	2.830532	0.01542514	0.0154251	0.0154251
338	-84.46476	-87.29529	2.830532	0.01542514	0.0154251	0.0154251
339	-84.81075	-87.89462	3.083864	0.0135352	0.0135352	0.0135352
340	-84.81075	-87.89462	3.083864	0.0135352	0.0135352	0.0135352
341	-84.38534	-87.07289	2.68755	0.01649182	0.0164918	0.0164918
342	-85.64755	-89.0247	3.377149	0.0113472	0.0113472	0.0113472
343	-85.64755	-89.0247	3.377149	0.0113472	0.0113472	0.0113472
344	-84.40124	-86.84663	2.445393	0.01829839	0.0182984	0.0182984
345	-84.40124	-86.84663	2.445393	0.01829839	0.0182984	0.0182984
346	-85.15829	-88.38815	3.229857	0.01244604	0.012446	0.012446
347	-84.51103	-86.78002	2.268995	0.01961437	0.0196144	0.0196144
348	-84.37147	-86.9821	2.61063	0.01706567	0.0170657	0.0170657
349	-84.3929	-86.86037	2.467467	0.01813371	0.0181337	0.0181337
350	-84.3929	-86.86037	2.467467	0.01813371	0.0181337	0.0181337
351	-84.37142	-86.9437	2.572274	0.01735182	0.0173518	0.0173518
352	-84.37142	-86.9437	2.572274	0.01735182	0.0173518	0.0173518
353	-84.37142	-86.9437	2.572274	0.01735182	0.0173518	0.0173518
354	-86.35859	-87.54722	1.188634	0.0276742	0.0276742	0.0276742
355	-86.35859	-87.54722	1.188634	0.0276742	0.0276742	0.0276742
356	-84.41532	-86.8292	2.413874	0.01853353	0.0185335	0.0185335
357	-84.99557	-86.86557	1.870004	0.02259096	0.022591	0.022591
358	-84.99557	-86.86557	1.870004	0.02259096	0.022591	0.022591
359	-84.37621	-86.90717	2.530961	0.01766002	0.01766	0.01766
360	-84.37621	-86.90717	2.530961	0.01766002	0.01766	0.01766
361	-85.88791	-87.28379	1.395874	0.02612813	0.0261281	0.0261281
362	-84.54901	-86.77451	2.225504	0.01993883	0.0199388	0.0199388
363	-84.46366	-86.79526	2.331596	0.01914735	0.0191473	0.0191473
364	-84.60731	-86.77337	2.166067	0.02038224	0.0203822	0.0203822
365	-84.60731	-86.77337	2.166067	0.02038224	0.0203822	0.0203822
366	-84.3736	-86.92196	2.548363	0.0175302	0.0175302	0.0175302
367	-85.54993	-87.10853	1.558606	0.02491409	0.0249141	0.0249141
368	-84.60987	-87.57325	2.963383	0.01443402	0.014434	0.014434
369	-84.60823	-87.57043	2.962194	0.01444289	0.0144429	0.0144429
370	-86.02937	-87.36096	1.331584	0.02660775	0.0266077	0.0266077
371	-86.02937	-87.36096	1.331584	0.02660775	0.0266077	0.0266077
372	-84.95907	-86.85275	1.893687	0.02241429	0.0224143	0.0224143
373	-85.55644	-88.90941	3.352967	0.01152761	0.0115276	0.0115276
374	-84.88106	-86.82742	1.94636	0.02202133	0.0220213	0.0220213
375	-84.3829	-87.06209	2.679183	0.01655424	0.0165542	0.0165542
376	-84.37166	-86.98533	2.613667	0.01704301	0.017043	0.017043
377	-85.71167	-87.1906	1.478936	0.02550846	0.0255085	0.0255085
