Iteration	Posterior	Likelihood	Prior	rate_gain[1]	rate_gain[2]	rate_gain_median	rate_gain_sd	rate_loss[1]	rate_loss[2]	rate_loss_median	rate_loss_sd	rf[1]	rf[2]	rf[3]	rf[4]	switch_fast_slow	switch_slow_fast
0	-85.41859	-100.8085	15.3899	0.000999686	0.00160853	0.001268081	0.3525908	0.00718396	0.0269703	0.01391954	0.9806562	0.402558	0.30236	0.285084	0.00999914	0.005302087	0.0152366
1	-82.3783	-95.53566	13.15736	0.00139016	0.00198811	0.00166247	0.2652113	0.0139333	0.0362316	0.02246829	0.7084258	0.486591	0.0508459	0.437184	0.0253791	0.006854215	0.02596398
2	-79.66031	-91.66002	11.99971	0.00163869	0.00211537	0.001861833	0.1892778	0.0199385	0.0512751	0.03197423	0.7001965	0.285105	0.0708003	0.608756	0.0353391	0.006854215	0.02596398
3	-81.60084	-91.6937	10.09286	0.0015161	0.00248969	0.001942837	0.3676989	0.0203001	0.0522049	0.032554	0.7001965	0.350672	0.117502	0.482958	0.0488676	0.01912396	0.02499318
4	-79.4451	-87.00654	7.561441	0.00132935	0.00283945	0.001942837	0.5625916	0.0355262	0.0746883	0.05151111	0.550826	0.35141	0.117749	0.483974	0.0468676	0.0129893	0.03047772
5	-76.44904	-84.4999	8.050864	0.00106988	0.00352806	0.001942837	0.88452	0.034805	0.0860264	0.05471881	0.6707986	0.390814	0.130952	0.415988	0.0622457	0.008298122	0.02269761
6	-71.17895	-80.65442	9.475463	0.00146673	0.00955673	0.003743949	1.389353	0.0245109	0.0551425	0.03676398	0.6010495	0.175191	0.0587022	0.738204	0.027903	0.008298122	0.02269761
7	-70.2233	-79.09173	8.868426	0.00146673	0.00955673	0.003743949	1.389353	0.0250447	0.0776846	0.04410879	0.8391495	0.134311	0.0556985	0.565949	0.244042	0.01000049	0.01515514
8	-69.70245	-77.41131	7.708863	0.00234275	0.0192567	0.006716666	1.561577	0.0239507	0.0742912	0.04218206	0.8391495	0.134311	0.0556985	0.565949	0.244042	0.01616038	0.01441264
9	-70.30349	-78.08492	7.781434	0.0027493	0.0202116	0.007454389	1.478829	0.0290084	0.0613384	0.04218206	0.5551025	0.138966	0.382601	0.225934	0.252499	0.01141776	0.02253459
10	-70.77809	-78.8412	8.063109	0.00318396	0.0456643	0.01205792	1.974225	0.0265838	0.0525202	0.03736556	0.5047497	0.128956	0.355044	0.281688	0.234312	0.01141776	0.01499392
11	-73.20927	-76.65282	3.443547	0.00330283	0.0546895	0.01343987	2.080752	0.0506522	0.100071	0.07119564	0.5047497	0.181571	0.0854085	0.400161	0.33286	0.008684278	0.0156258
12	-70.37254	-75.462	5.08946	0.00572907	0.0229849	0.01147528	1.029877	0.0528094	0.104333	0.07422778	0.5047497	0.517203	0.0692196	0.324312	0.0892654	0.008684278	0.0156258
13	-69.95797	-76.36094	6.402971	0.00456277	0.0137475	0.007920026	0.8176017	0.0491811	0.104782	0.07178635	0.5606975	0.783568	0.104868	0.0788116	0.0327517	0.006040291	0.01645273
14	-68.48584	-76.39585	7.910013	0.00624638	0.0157174	0.009908434	0.6840494	0.0416959	0.0935326	0.06244941	0.5989026	0.783568	0.104868	0.0788116	0.0327517	0.003356773	0.01645273
15	-68.59974	-79.14881	10.54907	0.0129021	0.020625	0.01631272	0.3477556	0.0364619	0.0626307	0.04778742	0.4010345	0.755118	0.137369	0.0759501	0.0315625	0.003030436	0.01213266
16	-66.98914	-77.52845	10.53931	0.00963102	0.0128871	0.01114071	0.2158928	0.0259812	0.0878959	0.04778742	0.9034843	0.595664	0.0820611	0.28526	0.0370151	0.003568662	0.01213266
17	-67.47355	-76.77752	9.303969	0.0104815	0.0212751	0.01493304	0.5247839	0.0280214	0.0947983	0.0515401	0.9034843	0.2134	0.373018	0.324112	0.0894706	0.001912657	0.01153662
