state	power	likelihood
260	1.0318e-06	-95.1678
270	1.0318e-06	-95.8753
280	1.0318e-06	-96.3229
290	1.0318e-06	-129.935
300	1.0318e-06	-91.0541
310	1.0318e-06	-84.9309
320	1.0318e-06	-94.6581
330	1.0318e-06	-132.55
340	1.0318e-06	-101.206
350	1.0318e-06	-105.737
360	1.0318e-06	-139.765
370	1.0318e-06	-86.8229
380	1.0318e-06	-96.0673
390	1.0318e-06	-153.148
400	1.0318e-06	-93.909
410	1.0318e-06	-95.2023
420	1.0318e-06	-97.0017
430	1.0318e-06	-120.721
440	1.0318e-06	-91.9776
450	1.0318e-06	-116.472
460	1.0318e-06	-99.9852
470	1.0318e-06	-93.4105
480	1.0318e-06	-103.048
490	1.0318e-06	-108.633
500	1.0318e-06	-98.9711
510	1.0318e-06	-128.55
520	1.0318e-06	-100.751
530	1.0318e-06	-100.333
540	1.0318e-06	-106.09
550	1.0318e-06	-108.452
560	1.0318e-06	-104.87
570	1.0318e-06	-92.8061
580	1.0318e-06	-88.4192
590	1.0318e-06	-101.117
600	1.0318e-06	-101.897
610	1.0318e-06	-85.9389
620	1.0318e-06	-83.2202
630	1.0318e-06	-96.6217
640	1.0318e-06	-114.68
650	1.0318e-06	-96.2394
660	1.0318e-06	-103.234
670	1.0318e-06	-97.9433
680	1.0318e-06	-90.0629
690	1.0318e-06	-89.7031
700	1.0318e-06	-94.2709
710	1.0318e-06	-95.6197
720	1.0318e-06	-92.9955
730	1.0318e-06	-91.8567
740	1.0318e-06	-91.6007
750	1.0318e-06	-96.5803
760	1.0318e-06	-101.069
770	1.0318e-06	-89.857
780	1.0318e-06	-100.352
790	1.0318e-06	-105.474
800	1.0318e-06	-97.7526
810	1.0318e-06	-81.8893
820	1.0318e-06	-98.5269
830	1.0318e-06	-111.433
840	1.0318e-06	-116.496
850	1.0318e-06	-105.271
860	1.0318e-06	-93.9849
870	1.0318e-06	-92.3746
880	1.0318e-06	-98.094
890	1.0318e-06	-102.411
900	1.0318e-06	-96.8717
910	1.0318e-06	-98.5142
920	1.0318e-06	-115.237
930	1.0318e-06	-95.5891
940	1.0318e-06	-96.7911
950	1.0318e-06	-88.0013
960	1.0318e-06	-103.229
970	1.0318e-06	-89.8563
980	1.0318e-06	-90.9961
990	1.0318e-06	-107.679
1000	1.0318e-06	-101.893
