Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-350.8056	-371.1425	20.33692	0	1	1	1	0.002922505	0.0163543	0.002185166	0.002185166	0.001316179	0.001316179	0.0008937306	0.0008937306	0.305156	0.104472	0.409414	0.180958
1	-313.9165	-345.0192	31.1027	0	0	0	0	0.003583614	0.0163543	0.003589294	0.007164985	0.003762473	0.008793761	0.0005635224	0.009169205	0.277889	0.0951368	0.462185	0.164789
2	-312.5174	-337.1276	24.61028	0	0	1	0	0.003583614	0.03262055	0.00782351	0.007164985	0.003920178	0.003920178	0.0005927995	0.009169205	0.277889	0.0951368	0.462185	0.164789
3	-308.0847	-330.3755	22.29079	0	1	0	0	0.003583614	0.04440758	0.01104477	0.01104477	0.003920178	0.009928774	0.001133603	0.008160444	0.271788	0.115563	0.49798	0.11467
4	-305.3417	-324.6703	19.32867	0	1	1	0	0.004516676	0.03688117	0.01146958	0.01146958	0.004645891	0.004645891	0.001133603	0.009088561	0.341997	0.206582	0.246434	0.204987
5	-293.6115	-310.2553	16.64381	0	1	1	0	0.00642997	0.05468482	0.01203651	0.01203651	0.006326632	0.006326632	0.0009427434	0.007344729	0.39866	0.188793	0.225213	0.187335
6	-275.709	-294.5495	18.84042	0	0	1	0	0.01200325	0.0551793	0.0112069	0.01358612	0.006326632	0.006326632	0.0009079394	0.00870962	0.365813	0.173237	0.28905	0.171899
7	-272.5502	-291.0804	18.5302	0	0	0	1	0.0127677	0.05961665	0.008331536	0.01734055	0.006326632	0.003864847	0.001986172	0.001986172	0.338188	0.160155	0.342739	0.158918
8	-259.7427	-273.9032	14.16052	0	0	1	0	0.02581871	0.06593736	0.006810812	0.02739217	0.007493978	0.007493978	0.001865191	0.007515093	0.261683	0.350146	0.265204	0.122968
9	-261.1275	-279.8874	18.75984	0	0	1	0	0.02635376	0.02673823	0.009173026	0.02739217	0.007486296	0.007486296	0.001360784	0.01001664	0.234371	0.371429	0.269323	0.124878
10	-263.2424	-281.1468	17.90441	1	1	0	0	0.03893639	0.03893639	0.01217441	0.01217441	0.009067691	0.007159747	0.001006042	0.01001664	0.564813	0.304482	0.0892991	0.0414054
11	-262.6906	-280.6459	17.95529	1	1	0	0	0.03893639	0.03893639	0.01173189	0.01173189	0.0105196	0.007457474	0.000973205	0.008362775	0.491219	0.425573	0.0776636	0.00554429
12	-262.0147	-280.4075	18.3928	1	1	0	0	0.04269487	0.04269487	0.01430052	0.01430052	0.0105196	0.0002804035	0.001293131	0.005628883	0.378611	0.42542	0.182911	0.0130577
13	-259.6934	-276.0434	16.35004	1	1	0	0	0.04946994	0.04946994	0.012938	0.012938	0.01402413	0.003667619	0.002463098	0.007394205	0.435756	0.253225	0.306894	0.00412526
14	-259.1895	-273.5909	14.40146	1	1	0	0	0.04946994	0.04946994	0.012938	0.012938	0.01515251	0.01087502	0.003978525	0.01208	0.19234	0.5338	0.265163	0.00869608
15	-266.5835	-274.087	7.503493	1	1	1	1	0.04946994	0.04946994	0.012938	0.012938	0.01648496	0.01648496	0.003978525	0.003978525	0.187522	0.520429	0.281572	0.0104764
16	-253.4101	-262.6489	9.238852	1	1	0	1	0.04946994	0.04946994	0.01459682	0.01459682	0.03391874	0.0005973153	0.007884069	0.007884069	0.0835707	0.373572	0.508191	0.034666
17	-254.0593	-263.5262	9.466922	1	1	1	0	0.04106894	0.04106894	0.01610416	0.01610416	0.03391874	0.03391874	0.007884069	0.005789511	0.0835707	0.373572	0.508191	0.034666
18	-249.8928	-254.2812	4.388346	1	1	1	1	0.03102819	0.03102819	0.0154691	0.0154691	0.0471164	0.0471164	0.0124977	0.0124977	0.154495	0.690612	0.0908069	0.0640861
19	-241.8579	-245.4805	3.622571	1	1	1	0	0.02088365	0.02088365	0.00729701	0.00729701	0.06881957	0.06881957	0.02044192	0.03092392	0.213052	0.569703	0.0292598	0.187985
20	-239.95	-246.7563	6.806308	0	1	1	0	0.01451322	0.002987828	0.007065235	0.007065235	0.08225419	0.08225419	0.02421004	0.03012568	0.470435	0.150597	0.0646078	0.314361
21	-240.0862	-243.4804	3.394179	1	1	0	1	0.01451322	0.01451322	0.01492279	0.01492279	0.09220791	0.002374734	0.02605131	0.02605131	0.241982	0.215564	0.0924794	0.449975
22	-240.4583	-237.6076	-2.850743	1	1	1	1	0.03112562	0.03112562	0.01073239	0.01073239	0.09220791	0.09220791	0.02605131	0.02605131	0.0733923	0.313378	0.0280487	0.585181
23	-240.6675	-235.7685	-4.899039	1	1	1	1	0.03112562	0.03112562	0.01306428	0.01306428	0.1051569	0.1051569	0.02605131	0.02605131	0.14416	0.0541571	0.117498	0.684185
24	-237.5906	-233.4286	-4.161938	1	1	0	1	0.04039725	0.04039725	0.007971531	0.007971531	0.1271988	0.002439136	0.02843417	0.02843417	0.13561	0.110251	0.11053	0.643609
25	-234.9778	-226.9815	-7.996324	1	0	1	1	0.04285274	0.04285274	0.005087025	0.01765947	0.1410132	0.1410132	0.02843417	0.02843417	0.226803	0.0522079	0.665592	0.0553974
26	-230.9205	-225.7743	-5.146257	1	0	1	1	0.04285274	0.04285274	0.003519157	0.0371378	0.1089431	0.1089431	0.02133149	0.02133149	0.156153	0.697981	0.126628	0.0192384
27	-230.6032	-225.6177	-4.985508	1	0	1	1	0.04285274	0.04285274	0.003411588	0.03452378	0.1089431	0.1089431	0.02285384	0.02285384	0.163525	0.730931	0.0594	0.0461444
28	-229.405	-224.4444	-4.960576	1	0	1	1	0.02338895	0.02338895	0.002829356	0.03452378	0.1089431	0.1089431	0.04271385	0.04271385	0.392914	0.353486	0.142725	0.110875
29	-232.3783	-223.048	-9.330279	0	0	1	1	0.02697538	0.04797509	0.003399946	0.01881262	0.1089431	0.1089431	0.07543402	0.07543402	0.436031	0.298206	0.172227	0.0935356
