state	power	likelihood
260	1.0318e-06	-111.001
270	1.0318e-06	-87.514
280	1.0318e-06	-88.2226
290	1.0318e-06	-103.677
300	1.0318e-06	-87.2958
310	1.0318e-06	-113.592
320	1.0318e-06	-93.2893
330	1.0318e-06	-109.945
340	1.0318e-06	-89.0749
350	1.0318e-06	-89.2689
360	1.0318e-06	-130.703
370	1.0318e-06	-101.373
380	1.0318e-06	-94.3219
390	1.0318e-06	-90.6604
400	1.0318e-06	-103.158
410	1.0318e-06	-90.7375
420	1.0318e-06	-102.095
430	1.0318e-06	-103.975
440	1.0318e-06	-88.1102
450	1.0318e-06	-87.9194
460	1.0318e-06	-108.55
470	1.0318e-06	-89.2727
480	1.0318e-06	-108.43
490	1.0318e-06	-93.849
500	1.0318e-06	-167.624
510	1.0318e-06	-96.3898
520	1.0318e-06	-103.945
530	1.0318e-06	-87.2494
540	1.0318e-06	-98.2718
550	1.0318e-06	-87.3854
560	1.0318e-06	-98.4057
570	1.0318e-06	-87.5946
580	1.0318e-06	-93.5394
590	1.0318e-06	-121.774
600	1.0318e-06	-106.116
610	1.0318e-06	-161.809
620	1.0318e-06	-88.1828
630	1.0318e-06	-87.0414
640	1.0318e-06	-87.2955
650	1.0318e-06	-86.9265
660	1.0318e-06	-120.267
670	1.0318e-06	-96.2614
680	1.0318e-06	-98.2125
690	1.0318e-06	-142.888
700	1.0318e-06	-101.741
710	1.0318e-06	-151.617
720	1.0318e-06	-88.0019
730	1.0318e-06	-105.48
740	1.0318e-06	-96.9739
750	1.0318e-06	-132.998
760	1.0318e-06	-88.8661
770	1.0318e-06	-109.504
780	1.0318e-06	-88.3531
790	1.0318e-06	-107.637
800	1.0318e-06	-147.077
810	1.0318e-06	-91.5574
820	1.0318e-06	-103.881
830	1.0318e-06	-97.0525
840	1.0318e-06	-93.4149
850	1.0318e-06	-87.525
860	1.0318e-06	-92.3898
870	1.0318e-06	-86.7993
880	1.0318e-06	-90.2994
890	1.0318e-06	-123.08
900	1.0318e-06	-89.0829
910	1.0318e-06	-130.608
920	1.0318e-06	-139.975
930	1.0318e-06	-90.9808
940	1.0318e-06	-99.7004
950	1.0318e-06	-125.899
960	1.0318e-06	-124.163
970	1.0318e-06	-102.559
980	1.0318e-06	-105.238
990	1.0318e-06	-95.2984
1000	1.0318e-06	-117.846
