Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
72	0	-78.5747	-79.32631	0.7516092	0.0147711	0.0527052	0.618414	0.381586
73	1	-79.95913	-81.72547	1.766341	0.00698905	0.0529171	0.444371	0.555629
74	0	-78.51021	-79.4274	0.9171939	0.0135358	0.0527052	0.251169	0.748831
75	1	-79.60259	-82.13343	2.530838	0.00753318	0.0466695	0.852953	0.147047
76	0	-78.60955	-78.41423	-0.1953169	0.0135358	0.0610049	0.173198	0.826802
77	1	-78.45292	-80.50475	2.05183	0.0111067	0.0466695	0.852953	0.147047
78	0	-78.46423	-79.58696	1.122729	0.0135358	0.0511719	0.509883	0.490117
79	1	-78.72561	-77.78845	-0.9371622	0.0133783	0.0666967	0.896935	0.103065
80	0	-78.66219	-80.6664	2.004214	0.0104109	0.0477206	0.355901	0.644099
81	1	-79.4821	-79.19624	-0.2858602	0.00851942	0.0666967	0.0908345	0.909166
82	0	-79.45218	-82.76366	3.311481	0.0156512	0.0327277	0.486209	0.513791
83	1	-79.68415	-76.63287	-3.051278	0.012586	0.083261	0.0908345	0.909166
84	0	-78.99814	-82.61162	3.613477	0.0124274	0.0336985	0.519838	0.480162
85	1	-79.3285	-76.95386	-2.374638	0.012586	0.0782131	0.830023	0.169977
86	0	-80.01165	-81.62475	1.613102	0.00695964	0.0540897	0.0584826	0.941517
87	1	-78.70308	-78.42167	-0.2814103	0.0111159	0.064067	0.843561	0.156439
88	0	-81.13926	-85.34289	4.203633	0.00657188	0.0351513	0.0830258	0.916974
89	1	-78.97167	-78.00617	-0.9654985	0.0162194	0.064067	0.931716	0.0682836
90	0	-79.69582	-83.37711	3.681291	0.014154	0.031466	0.0184959	0.981504
91	1	-78.62518	-78.02638	-0.5987973	0.0134837	0.064067	0.981573	0.0184266
92	0	-79.19213	-82.51935	3.327218	0.0105513	0.0377102	0.0184518	0.981548
93	1	-78.57058	-80.88099	2.310417	0.0103663	0.0454808	0.880744	0.119256
94	0	-79.13334	-82.34813	3.214784	0.0105513	0.038549	0.0184518	0.981548
95	1	-79.94216	-84.7759	4.833739	0.0133267	0.0236957	0.540894	0.459106
96	0	-78.76658	-81.21634	2.449765	0.0105513	0.0442562	0.205481	0.794519
97	1	-79.45745	-82.66272	3.205278	0.0165439	0.0326273	0.860244	0.139756
98	0	-78.4293	-79.77505	1.345755	0.0122719	0.0507719	0.506524	0.493476
99	1	-79.08405	-82.91388	3.829831	0.0118845	0.0326273	0.522222	0.477778
100	0	-78.56808	-79.62876	1.060687	0.0143986	0.0507719	0.418206	0.581794
101	1	-78.55621	-78.74174	0.1855381	0.0118845	0.0598149	0.315567	0.684433
102	0	-78.79416	-81.45809	2.663925	0.0143986	0.0388113	0.643843	0.356157
103	1	-78.61694	-80.82078	2.203838	0.0135277	0.0431145	0.441546	0.558454
104	0	-79.33632	-80.64309	1.306775	0.0174626	0.045872	0.16159	0.83841
105	1	-81.54386	-82.41002	0.8661683	0.0235072	0.0431145	0.720895	0.279105
106	0	-79.92072	-76.7684	-3.152325	0.0174626	0.0791382	0.107915	0.892085
107	1	-80.04324	-80.8966	0.8533586	0.0201019	0.0466153	0.58977	0.41023
108	0	-78.71272	-82.02064	3.307918	0.011943	0.0364624	0.772668	0.227332
109	1	-79.56542	-77.62526	-1.940154	0.0179399	0.0696178	0.521896	0.478104
110	0	-79.23684	-82.49951	3.262678	0.0145741	0.0341688	0.353072	0.646928
111	1	-78.96874	-77.38381	-1.584935	0.0142869	0.0706208	0.675236	0.324764
112	0	-78.72604	-81.26073	2.534689	0.0145741	0.0395998	0.798246	0.201754
113	1	-78.66737	-79.02291	0.3555357	0.0154169	0.0550142	0.738315	0.261685
114	0	-79.25508	-82.9249	3.669814	0.0145741	0.0311315	0.677511	0.322489
115	1	-78.68033	-79.03587	0.3555357	0.0154169	0.0550142	0.649706	0.350294
116	0	-81.40485	-81.54223	0.1373835	0.0235216	0.048537	0.456821	0.543179
117	1	-78.94286	-77.81849	-1.124368	0.0154169	0.0660548	0.316973	0.683027
118	0	-80.59173	-81.11083	0.5190927	0.0217042	0.0475067	0.795454	0.204546
119	1	-78.90415	-77.81677	-1.087377	0.0151409	0.0660548	0.296639	0.703361
120	0	-80.50946	-79.70438	-0.8050771	0.0217042	0.0573855	0.575826	0.424174
121	1	-78.86628	-77.77891	-1.087377	0.0151409	0.0660548	0.847653	0.152347
122	0	-80.59678	-80.66279	0.06601745	0.0217042	0.0508868	0.37414	0.62586
123	1	-78.58966	-78.49395	-0.09570608	0.0141129	0.0596846	0.522015	0.477985
124	0	-79.90876	-78.459	-1.449766	0.0196491	0.0642502	0.173935	0.826065
125	1	-78.58697	-78.50117	-0.08579571	0.0141129	0.0596107	0.53273	0.46727
126	0	-80.37658	-77.14746	-3.229121	0.0196491	0.0775247	0.200965	0.799035
127	1	-80.36055	-80.17857	-0.1819771	0.0212111	0.05323	0.43426	0.56574
128	0	-79.92827	-78.38236	-1.545914	0.0196491	0.0649675	0.116504	0.883496
129	1	-79.33241	-78.25091	-1.081501	0.0177008	0.063451	0.31271	0.68729
130	0	-79.87905	-78.33314	-1.545914	0.0196491	0.0649675	0.790711	0.209289
131	1	-78.61071	-78.34042	-0.2702916	0.013999	0.061101	0.528728	0.471272
132	0	-80.97707	-77.11511	-3.86196	0.0211011	0.0807939	0.211906	0.788094
133	1	-79.46644	-83.3395	3.873062	0.0131853	0.0310041	0.215588	0.784412
134	0	-79.41738	-76.74182	-2.675562	0.0137419	0.0793021	0.584349	0.415651
135	1	-79.69393	-83.39775	3.703819	0.014369	0.0310829	0.0867423	0.913258
136	0	-79.50924	-77.78793	-1.721317	0.0179946	0.0679305	0.680103	0.319897
137	1	-79.41188	-78.82101	-0.5908747	0.00889792	0.0685937	0.666108	0.333892
138	0	-80.06764	-76.58569	-3.481947	0.0176068	0.0814531	0.918123	0.0818771
139	1	-80.63625	-81.35949	0.7232388	0.0062415	0.0614465	0.526468	0.473532
140	0	-79.60411	-76.90877	-2.695341	0.0117385	0.0814531	0.0230534	0.976947
141	1	-80.50143	-82.98732	2.485896	0.0062415	0.0482965	0.978305	0.0216953
142	0	-78.62813	-78.62285	-0.005279008	0.0140428	0.0590801	0.0302258	0.969774
143	1	-78.44365	-79.85692	1.413269	0.0142436	0.0482965	0.994406	0.0055939
144	0	-78.57205	-79.67242	1.100372	0.0140428	0.0508316	0.20763	0.79237
145	1	-78.71199	-79.9027	1.190711	0.015904	0.0482965	0.994406	0.0055939
146	0	-79.25644	-81.11365	1.857207	0.00839656	0.0508316	0.124477	0.875523
147	1	-79.08764	-79.15553	0.06788976	0.0175253	0.0550517	0.994135	0.00586458
148	0	-78.76804	-81.57214	2.804104	0.0125856	0.0395785	0.312474	0.687526
149	1	-79.25418	-79.23974	-0.01443949	0.0181395	0.0550517	0.994135	0.00586458
150	0	-78.43179	-79.24639	0.8146007	0.0125856	0.0544208	0.534932	0.465068
151	1	-80.86196	-76.43806	-4.423901	0.0195907	0.0864966	0.983029	0.0169715
152	0	-79.75713	-78.0585	-1.698632	0.0189535	0.0668023	0.266142	0.733858
153	1	-79.71054	-79.2809	-0.4296476	0.0195907	0.0566982	0.968371	0.0316295
154	0	-80.61872	-80.0433	-0.5754289	0.0220906	0.0552858	0.939389	0.060611
155	1	-80.05728	-81.72685	1.669568	0.0195907	0.0410374	0.594482	0.405518
156	0	-78.69468	-78.09091	-0.6037686	0.0146497	0.0629381	0.903186	0.0968136
157	1	-80.34517	-82.35912	2.013941	0.0195907	0.0384683	0.217397	0.782603
158	0	-78.90189	-78.11567	-0.7862266	0.0160109	0.0629381	0.901506	0.0984943
159	1	-79.94638	-80.87762	0.9312466	0.0195907	0.0465455	0.257054	0.742946
160	0	-79.84138	-78.5737	-1.267675	0.0196027	0.0629381	0.508748	0.491252
161	1	-82.74368	-75.42958	-7.314099	0.0205013	0.107148	0.274691	0.725309
162	0	-79.11068	-80.38185	1.271166	0.0171661	0.0464342	0.651309	0.348691
163	1	-79.6695	-77.6373	-2.032196	0.0182257	0.0700186	0.193352	0.806648
164	0	-78.85672	-81.60946	2.752745	0.0134273	0.03912	0.250358	0.749642
165	1	-78.92943	-77.50653	-1.422891	0.0136801	0.0700186	0.0164436	0.983556
166	0	-78.47885	-80.24106	1.762206	0.0139552	0.0459817	0.812191	0.187809
167	1	-78.39166	-79.59648	1.204819	0.0117395	0.0523557	0.830416	0.169584
168	0	-78.87173	-81.13147	2.259744	0.0148503	0.0413748	0.345545	0.654455
169	1	-79.08522	-80.86398	1.778763	0.0169227	0.0428908	0.836379	0.163621
170	0	-79.60843	-84.04408	4.435653	0.0114107	0.0285815	0.349383	0.650617
171	1	-78.75574	-81.55508	2.799332	0.0132616	0.038938	0.459921	0.540079
172	0	-79.71167	-84.14732	4.435653	0.0114107	0.0285815	0.249559	0.750441
173	1	-78.79501	-82.1049	3.309887	0.0100803	0.0383105	0.945199	0.0548014
174	0	-79.35809	-82.52098	3.162899	0.0150391	0.0344482	0.249559	0.750441
175	1	-78.51612	-81.11193	2.595804	0.0108949	0.0428231	0.945199	0.0548014
176	0	-78.76542	-82.33758	3.572161	0.0119859	0.0344482	0.874996	0.125004
177	1	-79.85065	-76.78404	-3.066613	0.017389	0.0785724	0.92441	0.0755903
178	0	-79.92032	-82.74321	2.822886	0.0175757	0.0344482	0.309007	0.690993
179	1	-78.35758	-79.64881	1.291222	0.0124425	0.0510081	0.869996	0.130004
180	0	-78.62523	-79.49698	0.8717498	0.0107501	0.0558299	0.11678	0.88322
181	1	-79.15854	-77.45989	-1.69865	0.0114426	0.0743134	0.869996	0.130004
182	0	-79.1817	-81.81682	2.635124	0.0165289	0.0368958	0.926832	0.0731677
183	1	-78.4386	-80.07485	1.63625	0.0114426	0.0494341	0.67907	0.32093
184	0	-78.91163	-78.79417	-0.1174593	0.0165289	0.0574309	0.706803	0.293197
185	1	-79.29241	-78.98904	-0.3033652	0.00895393	0.0663928	0.67907	0.32093
186	0	-80.82918	-79.91976	-0.9094254	0.0224373	0.0574309	0.280692	0.719308
187	1	-78.78597	-77.79259	-0.993385	0.0141017	0.0663928	0.489192	0.510808
188	0	-81.18823	-77.81474	-3.373488	0.0224373	0.0758135	0.461563	0.538437
189	1	-79.79648	-83.23579	3.439307	0.0153253	0.0321	0.0279907	0.972009
190	0	-79.20436	-77.19087	-2.013497	0.0122913	0.0758135	0.220529	0.779471
191	1	-79.23386	-77.66911	-1.564748	0.0165438	0.0682132	0.00881483	0.991185
192	0	-79.3947	-77.62941	-1.765296	0.0104397	0.0758135	0.890695	0.109305
193	1	-79.4272	-78.71142	-0.7157795	0.0181842	0.0602393	0.0475486	0.952451
194	0	-79.40647	-76.78769	-2.618782	0.0133446	0.0792758	0.380996	0.619004
195	1	-81.77564	-79.60304	-2.172608	0.0246342	0.0646577	0.168129	0.831871
196	0	-78.58683	-78.58051	-0.006324663	0.0113577	0.061773	0.989794	0.0102064
197	1	-81.66652	-81.38633	-0.2801894	0.0242695	0.0509044	0.513297	0.486703
198	0	-78.52145	-79.10345	0.5819947	0.0113577	0.057384	0.534197	0.465803
199	1	-84.39688	-75.7173	-8.679576	0.0242695	0.113566	0.640085	0.359915
200	0	-78.57162	-78.7995	0.2278801	0.0139995	0.057384	0.263922	0.736078
201	1	-80.92146	-80.53799	-0.3834643	0.0225941	0.0533502	0.329337	0.670663
202	0	-79.41388	-76.73024	-2.683642	0.0139995	0.0791048	0.779107	0.220893
203	1	-78.57864	-79.75191	1.173268	0.0109804	0.0533502	0.148167	0.851833
204	0	-79.6558	-76.57036	-3.085442	0.0153711	0.0807308	0.313087	0.686913
205	1	-80.44756	-78.4226	-2.024963	0.00804661	0.0801438	0.242621	0.757379
206	0	-83.39795	-75.20073	-8.197218	0.012989	0.121248	0.340174	0.659826
207	1	-79.00704	-79.68924	0.682198	0.00916905	0.0588251	0.232969	0.767031
208	0	-83.83518	-74.8442	-8.990985	0.0189107	0.121248	0.661635	0.338365
209	1	-78.60304	-78.65542	0.05238012	0.0138677	0.0588251	0.0795876	0.920412
210	0	-83.55058	-74.81412	-8.736465	0.0170119	0.121248	0.354745	0.645255
211	1	-79.23484	-77.02549	-2.209348	0.013105	0.0764609	0.144674	0.855326
212	0	-80.76214	-76.16832	-4.593819	0.0185122	0.0888426	0.721614	0.278386
213	1	-79.36237	-77.44717	-1.915195	0.0109106	0.0764609	0.489324	0.510676
214	0	-81.24346	-77.03437	-4.209087	0.0216228	0.0828618	0.721614	0.278386
215	1	-78.98954	-82.14207	3.152529	0.0109639	0.0386009	0.157087	0.842913
216	0	-84.80624	-78.1691	-6.637137	0.0294033	0.0931953	0.857599	0.142401
217	1	-79.37498	-82.74729	3.372309	0.00932422	0.0386009	0.0981198	0.90188
218	0	-83.78498	-80.50785	-3.277136	0.0290048	0.0685271	0.909011	0.0909886
219	1	-78.67462	-78.14976	-0.5248592	0.0129147	0.0640845	0.0795009	0.920499
220	0	-81.79166	-79.10882	-2.682836	0.0245712	0.0685271	0.459312	0.540688
221	1	-79.54869	-76.64613	-2.902567	0.0133692	0.0813684	0.181428	0.818572
222	0	-80.60803	-83.19878	2.590751	0.0198724	0.0338834	0.557624	0.442376
223	1	-78.38079	-79.76565	1.384855	0.0133692	0.0493829	0.89638	0.10362
224	0	-78.90318	-78.21473	-0.6884563	0.0160158	0.0622038	0.671345	0.328655
225	1	-78.65534	-81.41446	2.759113	0.0133692	0.0391305	0.690802	0.309198
226	0	-79.09302	-77.62021	-1.472816	0.0160158	0.0680554	0.615946	0.384054
227	1	-78.79488	-82.01289	3.218001	0.00994572	0.0391305	0.947849	0.0521511
228	0	-79.22504	-77.39528	-1.829761	0.0160158	0.0707183	0.157735	0.842265
229	1	-78.93858	-80.79802	1.859438	0.0158629	0.0433486	0.469276	0.530724
230	0	-78.63471	-78.83499	0.2002787	0.0143479	0.0572415	0.0466956	0.953304
231	1	-78.87967	-79.1978	0.3181315	0.0164381	0.0542721	0.60993	0.39007
232	0	-78.95639	-77.68623	-1.270157	0.011841	0.0707183	0.154737	0.845263
233	1	-78.45079	-79.20771	0.7569205	0.0131646	0.0542721	0.498448	0.501552
234	0	-78.48151	-78.84801	0.3664988	0.0130638	0.0572855	0.487436	0.512564
235	1	-78.82816	-82.29597	3.467811	0.0107262	0.0364864	0.768312	0.231688
236	0	-79.00877	-78.8686	-0.1401765	0.0168438	0.0572855	0.475756	0.524244
237	1	-78.65941	-81.44381	2.784399	0.0107262	0.0415848	0.679507	0.320493
238	0	-78.76833	-79.41117	0.6428363	0.0155907	0.0526971	0.269815	0.730185
239	1	-79.43365	-81.01493	1.581288	0.00781146	0.0534752	0.827533	0.172467
240	0	-79.11629	-77.46085	-1.655439	0.0155907	0.0698429	0.22219	0.77781
241	1	-78.50018	-78.60671	0.1065292	0.0123415	0.0599473	0.745341	0.254659
242	0	-78.87292	-80.58007	1.707155	0.0155907	0.044757	0.368824	0.631176
243	1	-78.69647	-80.76825	2.071782	0.0106282	0.0469992	0.144572	0.855428
244	0	-79.0851	-79.25885	0.173751	0.0174953	0.054292	0.924755	0.0752449
245	1	-78.87024	-78.42866	-0.4415847	0.0106282	0.0657497	0.244541	0.755459
246	0	-79.15841	-78.68285	-0.4755597	0.017335	0.0592963	0.390676	0.609324
247	1	-78.52984	-79.33566	0.8058187	0.0118585	0.0552134	0.033741	0.966259
248	0	-81.98836	-75.41615	-6.572208	0.0132182	0.108896	0.557172	0.442828
249	1	-79.4902	-76.8464	-2.643794	0.0124243	0.0803828	0.0454412	0.954559
250	0	-80.65857	-76.11423	-4.544348	0.0120971	0.0948887	0.361488	0.638512
251	1	-79.51232	-76.65649	-2.85583	0.0140061	0.0803828	0.0454412	0.954559
252	0	-80.73193	-76.28278	-4.449148	0.0113868	0.0948887	0.542498	0.457502
253	1	-79.59078	-76.60685	-2.983934	0.0149618	0.0803828	0.11378	0.88622
254	0	-80.7324	-76.28325	-4.449148	0.0113868	0.0948887	0.801	0.199
255	1	-81.0203	-81.31659	0.2962953	0.0224261	0.0484469	0.0464985	0.953501
256	0	-80.61014	-75.90654	-4.703605	0.0132852	0.0948887	0.764057	0.235943
257	1	-80.84952	-81.07992	0.2303972	0.0224261	0.0489386	0.831246	0.168754
258	0	-80.61491	-75.95114	-4.663764	0.0129879	0.0948887	0.426072	0.573928
259	1	-80.85604	-81.08644	0.2303972	0.0224261	0.0489386	0.795616	0.204384
260	0	-80.82851	-76.46496	-4.363549	0.0107483	0.0948887	0.0464448	0.953555
261	1	-81.13512	-77.89659	-3.238529	0.0224261	0.0748178	0.739409	0.260591
262	0	-81.36483	-75.87728	-5.487554	0.0191337	0.0948887	0.239231	0.760769
263	1	-83.40478	-75.27741	-8.127366	0.0210701	0.112646	0.749657	0.250343
264	0	-79.33509	-78.5905	-0.7445905	0.0179592	0.0606792	0.413575	0.586425
265	1	-78.51989	-78.41007	-0.1098203	0.0131844	0.0607184	0.838423	0.161577
266	0	-81.15889	-81.18808	0.0291877	0.0231117	0.0497541	0.635334	0.364666
267	1	-78.55209	-78.71097	0.1588877	0.0140649	0.0578333	0.514618	0.485382
268	0	-79.13831	-82.82071	3.682405	0.0142857	0.031326	0.777679	0.222321
