state	power	likelihood
260	0.10318	-92.4439
270	0.10318	-90.5505
280	0.10318	-86.4726
290	0.10318	-105.277
300	0.10318	-90.7061
310	0.10318	-113.214
320	0.10318	-94.3634
330	0.10318	-91.6259
340	0.10318	-84.6833
350	0.10318	-91.1951
360	0.10318	-98.3407
370	0.10318	-92.2947
380	0.10318	-88.952
390	0.10318	-102.669
400	0.10318	-89.0767
410	0.10318	-89.511
420	0.10318	-97.1746
430	0.10318	-99.1949
440	0.10318	-91.1086
450	0.10318	-86.9747
460	0.10318	-105.227
470	0.10318	-92.0807
480	0.10318	-105.928
490	0.10318	-87.3992
500	0.10318	-91.8027
510	0.10318	-95.3386
520	0.10318	-94.9711
530	0.10318	-87.8145
540	0.10318	-89.2745
550	0.10318	-82.8277
560	0.10318	-85.7711
570	0.10318	-86.4039
580	0.10318	-95.7834
590	0.10318	-98.9379
600	0.10318	-101.402
610	0.10318	-96.7197
620	0.10318	-99.6683
630	0.10318	-110.547
640	0.10318	-90.2374
650	0.10318	-91.5536
660	0.10318	-90.425
670	0.10318	-92.0864
680	0.10318	-99.2709
690	0.10318	-96.8916
700	0.10318	-93.4286
710	0.10318	-95.7573
720	0.10318	-86.1436
730	0.10318	-88.0333
740	0.10318	-91.8116
750	0.10318	-80.9667
760	0.10318	-109.844
770	0.10318	-94.9079
780	0.10318	-96.1108
790	0.10318	-93.2044
800	0.10318	-95.7264
810	0.10318	-84.8392
820	0.10318	-95.9372
830	0.10318	-89.0486
840	0.10318	-92.2763
850	0.10318	-97.3051
860	0.10318	-84.3384
870	0.10318	-101.76
880	0.10318	-92.4073
890	0.10318	-86.0205
900	0.10318	-96.2112
910	0.10318	-94.6854
920	0.10318	-86.5814
930	0.10318	-98.7771
940	0.10318	-87.8037
950	0.10318	-103.928
960	0.10318	-96.8169
970	0.10318	-92.6696
980	0.10318	-97.0347
990	0.10318	-96.0172
1000	0.10318	-89.0404
