state	power	likelihood
260	0.185935	-85.1674
270	0.185935	-104.803
280	0.185935	-99.0737
290	0.185935	-91.9768
300	0.185935	-84.8829
310	0.185935	-97.1989
320	0.185935	-80.2569
330	0.185935	-88.1365
340	0.185935	-88.2854
350	0.185935	-96.7795
360	0.185935	-86.4617
370	0.185935	-83.6687
380	0.185935	-88.5885
390	0.185935	-98.1612
400	0.185935	-81.5357
410	0.185935	-91.8585
420	0.185935	-108.061
430	0.185935	-90.425
440	0.185935	-94.494
450	0.185935	-95.9515
460	0.185935	-93.9295
470	0.185935	-88.8617
480	0.185935	-87.2358
490	0.185935	-84.354
500	0.185935	-83.0965
510	0.185935	-99.3978
520	0.185935	-101.12
530	0.185935	-86.6679
540	0.185935	-93.2924
550	0.185935	-87.9287
560	0.185935	-89.589
570	0.185935	-94.614
580	0.185935	-85.1726
590	0.185935	-86.4909
600	0.185935	-90.0935
610	0.185935	-89.0437
620	0.185935	-95.3688
630	0.185935	-91.0265
640	0.185935	-85.1726
650	0.185935	-79.6002
660	0.185935	-85.0755
670	0.185935	-90.8843
680	0.185935	-80.7495
690	0.185935	-93.1013
700	0.185935	-89.0068
710	0.185935	-96.1538
720	0.185935	-87.5306
730	0.185935	-92.975
740	0.185935	-87.7441
750	0.185935	-87.9836
760	0.185935	-96.5273
770	0.185935	-87.7641
780	0.185935	-92.5338
790	0.185935	-88.3351
800	0.185935	-78.5795
810	0.185935	-81.8098
820	0.185935	-96.3501
830	0.185935	-86.8659
840	0.185935	-91.0882
850	0.185935	-81.2371
860	0.185935	-88.2069
870	0.185935	-90.0365
880	0.185935	-87.1411
890	0.185935	-96.0713
900	0.185935	-100.54
910	0.185935	-86.0094
920	0.185935	-91.2412
930	0.185935	-97.2039
940	0.185935	-89.0435
950	0.185935	-92.3192
960	0.185935	-89.7289
970	0.185935	-96.0403
980	0.185935	-93.5148
990	0.185935	-94.4377
1000	0.185935	-102.493
