state	power	likelihood
260	0.166173	-87.4337
270	0.166173	-92.8791
280	0.166173	-90.8189
290	0.166173	-87.4751
300	0.166173	-87.1474
310	0.166173	-103.069
320	0.166173	-88.226
330	0.166173	-92.617
340	0.166173	-89.8803
350	0.166173	-96.5315
360	0.166173	-87.1367
370	0.166173	-89.9932
380	0.166173	-89.5952
390	0.166173	-87.2815
400	0.166173	-92.175
410	0.166173	-87.1895
420	0.166173	-88.1786
430	0.166173	-92.4778
440	0.166173	-86.7939
450	0.166173	-90.9925
460	0.166173	-88.9058
470	0.166173	-86.7733
480	0.166173	-89.9798
490	0.166173	-91.1708
500	0.166173	-94.0565
510	0.166173	-87.233
520	0.166173	-97.2098
530	0.166173	-87.8812
540	0.166173	-87.9174
550	0.166173	-89.8611
560	0.166173	-95.7593
570	0.166173	-92.4301
580	0.166173	-90.6569
590	0.166173	-96.8675
600	0.166173	-87.7246
610	0.166173	-87.3797
620	0.166173	-86.8289
630	0.166173	-88.0652
640	0.166173	-94.6565
650	0.166173	-87.1409
660	0.166173	-88.7408
670	0.166173	-86.881
680	0.166173	-86.7766
690	0.166173	-87.1716
700	0.166173	-87.4403
710	0.166173	-89.4029
720	0.166173	-96.4667
730	0.166173	-89.7507
740	0.166173	-87.2324
750	0.166173	-88.9264
760	0.166173	-87.4888
770	0.166173	-93.4024
780	0.166173	-94.6871
790	0.166173	-87.0679
800	0.166173	-103.385
810	0.166173	-91.6396
820	0.166173	-86.9819
830	0.166173	-102.252
840	0.166173	-92.5753
850	0.166173	-94.0463
860	0.166173	-87.6403
870	0.166173	-87.198
880	0.166173	-95.6946
890	0.166173	-87.9163
900	0.166173	-86.9989
910	0.166173	-92.2686
920	0.166173	-86.8041
930	0.166173	-87.2571
940	0.166173	-87.5274
950	0.166173	-98.9123
960	0.166173	-88.0947
970	0.166173	-93.9035
980	0.166173	-86.8259
990	0.166173	-88.6755
1000	0.166173	-96.811
