state	power	likelihood
260	0.0529221	-94.7176
270	0.0529221	-99.7578
280	0.0529221	-89.9559
290	0.0529221	-86.8974
300	0.0529221	-93.4062
310	0.0529221	-94.8109
320	0.0529221	-95.5941
330	0.0529221	-92.1769
340	0.0529221	-95.8346
350	0.0529221	-118.241
360	0.0529221	-100.995
370	0.0529221	-90.1315
380	0.0529221	-102.153
390	0.0529221	-93.6853
400	0.0529221	-101.088
410	0.0529221	-93.6452
420	0.0529221	-86.1275
430	0.0529221	-92.4135
440	0.0529221	-97.7767
450	0.0529221	-94.5189
460	0.0529221	-123.707
470	0.0529221	-95.1204
480	0.0529221	-89.4526
490	0.0529221	-92.7417
500	0.0529221	-95.2931
510	0.0529221	-100.586
520	0.0529221	-96.1696
530	0.0529221	-88.6697
540	0.0529221	-93.7196
550	0.0529221	-90.4394
560	0.0529221	-94.7476
570	0.0529221	-97.3355
580	0.0529221	-99.0508
590	0.0529221	-98.9637
600	0.0529221	-92.6288
610	0.0529221	-97.9969
620	0.0529221	-93.216
630	0.0529221	-101.076
640	0.0529221	-112.135
650	0.0529221	-91.8854
660	0.0529221	-100.7
670	0.0529221	-95.6542
680	0.0529221	-84.9755
690	0.0529221	-97.9164
700	0.0529221	-98.5959
710	0.0529221	-93.091
720	0.0529221	-90.3527
730	0.0529221	-110.867
740	0.0529221	-88.7625
750	0.0529221	-94.9474
760	0.0529221	-86.5662
770	0.0529221	-96.5913
780	0.0529221	-106.715
790	0.0529221	-87.5325
800	0.0529221	-109.687
810	0.0529221	-89.1056
820	0.0529221	-90.04
830	0.0529221	-88.5883
840	0.0529221	-90.6327
850	0.0529221	-91.8424
860	0.0529221	-90.879
870	0.0529221	-89.3044
880	0.0529221	-99.3803
890	0.0529221	-104.346
900	0.0529221	-85.5932
910	0.0529221	-98.499
920	0.0529221	-95.9848
930	0.0529221	-93.3025
940	0.0529221	-108.001
950	0.0529221	-91.4083
960	0.0529221	-98.0372
970	0.0529221	-100.482
980	0.0529221	-87.3542
990	0.0529221	-97.5152
1000	0.0529221	-90.7812
