state	power	likelihood
260	0.783526	-88.8739
270	0.783526	-86.8379
280	0.783526	-87.0556
290	0.783526	-86.976
300	0.783526	-86.9207
310	0.783526	-86.8246
320	0.783526	-87.21
330	0.783526	-87.1051
340	0.783526	-86.7897
350	0.783526	-88.0859
360	0.783526	-86.8378
370	0.783526	-87.3679
380	0.783526	-86.7781
390	0.783526	-86.7999
400	0.783526	-86.7901
410	0.783526	-86.7732
420	0.783526	-88.6156
430	0.783526	-87.3849
440	0.783526	-91.1961
450	0.783526	-86.8094
460	0.783526	-89.2941
470	0.783526	-86.9646
480	0.783526	-86.9122
490	0.783526	-88.4826
500	0.783526	-87.9201
510	0.783526	-87.9939
520	0.783526	-86.9059
530	0.783526	-86.9416
540	0.783526	-88.3226
550	0.783526	-86.8099
560	0.783526	-86.773
570	0.783526	-87.141
580	0.783526	-86.7741
590	0.783526	-86.8094
600	0.783526	-87.9669
610	0.783526	-87.0927
620	0.783526	-90.9794
630	0.783526	-90.349
640	0.783526	-87.8137
650	0.783526	-87.1405
660	0.783526	-88.0451
670	0.783526	-86.8083
680	0.783526	-86.8528
690	0.783526	-88.1026
700	0.783526	-87.0804
710	0.783526	-88.4906
720	0.783526	-86.8983
730	0.783526	-87.0043
740	0.783526	-86.9005
750	0.783526	-87.3114
760	0.783526	-87.0479
770	0.783526	-88.9051
780	0.783526	-86.9414
790	0.783526	-87.6796
800	0.783526	-87.088
810	0.783526	-86.7756
820	0.783526	-87.0895
830	0.783526	-89.285
840	0.783526	-86.7962
850	0.783526	-86.785
860	0.783526	-86.773
870	0.783526	-86.8043
880	0.783526	-88.1057
890	0.783526	-86.7753
900	0.783526	-87.6803
910	0.783526	-91.8736
920	0.783526	-87.7417
930	0.783526	-86.8564
940	0.783526	-87.0477
950	0.783526	-86.9199
960	0.783526	-91.108
970	0.783526	-86.8805
980	0.783526	-87.1517
990	0.783526	-89.5444
1000	0.783526	-86.8335
