Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
0	-95.52686	-104.5464	9.019542	0.00499777	0.000797213	0.857111	0.142889
1	-91.92274	-100.5127	8.589959	0.00823949	0.000760316	0.716439	0.283561
2	-92.388	-101.1853	8.797305	0.00632093	0.00113201	0.743457	0.256543
3	-89.77364	-98.33903	8.565388	0.00760128	0.00158183	0.879882	0.120118
4	-90.84035	-99.56124	8.720894	0.00644116	0.00158183	0.966616	0.0333841
5	-90.61749	-99.31305	8.695565	0.00663012	0.00158183	0.96926	0.0307398
6	-91.26372	-100.0206	8.756891	0.0061277	0.00162674	0.854144	0.145856
7	-88.92305	-97.44921	8.526152	0.0061277	0.00334812	0.726802	0.273198
8	-88.84161	-97.37552	8.533906	0.00606985	0.00334812	0.850447	0.149553
9	-87.80856	-96.21398	8.405413	0.0062757	0.00410088	0.912012	0.0879881
10	-87.81923	-96.22465	8.405413	0.0062757	0.00410088	0.902297	0.0977031
11	-87.06488	-94.9018	7.836916	0.0062757	0.00834204	0.153739	0.846261
12	-84.86019	-91.98535	7.125154	0.00521843	0.0147093	0.984616	0.0153844
13	-84.50863	-91.56993	7.061292	0.00569486	0.0147093	0.677484	0.322516
14	-84.29616	-91.35745	7.061292	0.00569486	0.0147093	0.860612	0.139388
15	-84.55821	-91.71166	7.153451	0.00569486	0.0140217	0.768261	0.231739
16	-80.35553	-85.79898	5.443458	0.00846131	0.0240124	0.9685	0.0314996
17	-80.08041	-85.27721	5.196799	0.00894274	0.0253711	0.853427	0.146573
18	-81.33568	-87.839	6.503316	0.00894274	0.0156241	0.967327	0.0326733
19	-83.41222	-90.08255	6.670331	0.00769676	0.0156241	0.155381	0.844619
20	-80.56459	-85.37035	4.805768	0.0159288	0.0213023	0.655642	0.344358
21	-79.6913	-83.00422	3.312916	0.0159288	0.0324394	0.260358	0.739642
22	-78.40676	-79.11089	0.7041356	0.0129315	0.0548989	0.771461	0.228539
23	-78.58363	-81.17095	2.587319	0.0138347	0.0399467	0.905254	0.0947458
24	-79.11922	-81.33818	2.218962	0.0160282	0.0405012	0.375276	0.624724
25	-80.73818	-80.03198	-0.7062039	0.0222237	0.0561284	0.375331	0.624669
26	-80.76522	-80.25813	-0.5070896	0.0222237	0.0546429	0.25882	0.74118
27	-80.70586	-80.19877	-0.5070896	0.0222237	0.0546429	0.696044	0.303956
28	-81.27914	-84.18877	2.909629	0.021127	0.0302499	0.831713	0.168287
29	-80.42146	-86.32741	5.905945	0.0100245	0.0189989	0.946279	0.0537211
30	-80.0165	-85.26004	5.243541	0.00917884	0.0247863	0.896328	0.103672
31	-80.7278	-86.35397	5.626172	0.00917884	0.0219317	0.511419	0.488581
32	-79.64635	-84.25871	4.612359	0.0103326	0.0283413	0.509112	0.490888
33	-79.35429	-83.95461	4.600326	0.0102631	0.0285006	0.901417	0.0985835
34	-80.14586	-83.71075	3.56489	0.00698905	0.0394993	0.901417	0.0985835
35	-80.51887	-84.28029	3.761417	0.00698905	0.0380332	0.17894	0.82106
36	-79.95913	-81.72547	1.766341	0.00698905	0.0529171	0.444371	0.555629
37	-79.60259	-82.13343	2.530838	0.00753318	0.0466695	0.852953	0.147047
38	-78.45292	-80.50475	2.05183	0.0111067	0.0466695	0.852953	0.147047
39	-78.72561	-77.78845	-0.9371622	0.0133783	0.0666967	0.896935	0.103065
40	-79.4821	-79.19624	-0.2858602	0.00851942	0.0666967	0.0908345	0.909166
41	-79.68415	-76.63287	-3.051278	0.012586	0.083261	0.0908345	0.909166
42	-79.3285	-76.95386	-2.374638	0.012586	0.0782131	0.830023	0.169977
43	-78.70308	-78.42167	-0.2814103	0.0111159	0.064067	0.843561	0.156439
44	-78.97167	-78.00617	-0.9654985	0.0162194	0.064067	0.931716	0.0682836
45	-78.62518	-78.02638	-0.5987973	0.0134837	0.064067	0.981573	0.0184266
46	-78.57058	-80.88099	2.310417	0.0103663	0.0454808	0.880744	0.119256
