Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
30	0	-266.5835	-274.087	7.503493	1	1	1	1	0.04946994	0.04946994	0.012938	0.012938	0.01648496	0.01648496	0.003978525	0.003978525	0.187522	0.520429	0.281572	0.0104764
31	1	-229.7235	-224.5104	-5.21314	1	0	1	1	0.02495518	0.02495518	0.004532848	0.0391889	0.1028256	0.1028256	0.04278063	0.04278063	0.464165	0.416898	0.0750685	0.0438684
32	0	-253.4101	-262.6489	9.238852	1	1	0	1	0.04946994	0.04946994	0.01459682	0.01459682	0.03391874	0.0005973153	0.007884069	0.007884069	0.0835707	0.373572	0.508191	0.034666
33	1	-230.554	-228.3335	-2.220475	1	0	1	1	0.02495518	0.02495518	0.004880238	0.02736659	0.07788042	0.07788042	0.05687458	0.05687458	0.588202	0.307771	0.0602198	0.0438076
34	0	-254.0593	-263.5262	9.466922	1	1	1	0	0.04106894	0.04106894	0.01610416	0.01610416	0.03391874	0.03391874	0.007884069	0.005789511	0.0835707	0.373572	0.508191	0.034666
35	1	-234.8231	-225.4924	-9.330702	1	0	1	1	0.03616448	0.03616448	0.002475769	0.02767886	0.07788042	0.07788042	0.100802	0.100802	0.628026	0.260903	0.064297	0.0467737
36	0	-249.8928	-254.2812	4.388346	1	1	1	1	0.03102819	0.03102819	0.0154691	0.0154691	0.0471164	0.0471164	0.0124977	0.0124977	0.154495	0.690612	0.0908069	0.0640861
37	1	-234.017	-220.5911	-13.42588	1	0	1	1	0.03073206	0.03073206	0.001615122	0.04323274	0.0979001	0.0979001	0.1020728	0.1020728	0.443797	0.0605376	0.0927163	0.402949
38	0	-241.8579	-245.4805	3.622571	1	1	1	0	0.02088365	0.02088365	0.00729701	0.00729701	0.06881957	0.06881957	0.02044192	0.03092392	0.213052	0.569703	0.0292598	0.187985
39	1	-231.3763	-221.4651	-9.911216	1	0	1	1	0.03073206	0.03073206	0.001615122	0.04323274	0.0979001	0.0979001	0.07585229	0.07585229	0.351204	0.0758229	0.116127	0.456847
