state	power	likelihood
260	0.231093	-87.7952
270	0.231093	-86.5682
280	0.231093	-94.3086
290	0.231093	-91.8412
300	0.231093	-85.1769
310	0.231093	-91.3529
320	0.231093	-87.9308
330	0.231093	-90.7321
340	0.231093	-90.9533
350	0.231093	-89.184
360	0.231093	-89.2585
370	0.231093	-88.5791
380	0.231093	-87.7427
390	0.231093	-97.2993
400	0.231093	-85.314
410	0.231093	-93.2454
420	0.231093	-87.5024
430	0.231093	-92.1614
440	0.231093	-89.7878
450	0.231093	-91.8319
460	0.231093	-99.2885
470	0.231093	-88.2456
480	0.231093	-90.5032
490	0.231093	-86.1261
500	0.231093	-100.543
510	0.231093	-86.2263
520	0.231093	-90.9536
530	0.231093	-93.1479
540	0.231093	-92.4822
550	0.231093	-93.6079
560	0.231093	-100.972
570	0.231093	-93.9281
580	0.231093	-89.2689
590	0.231093	-87.1245
600	0.231093	-91.1721
610	0.231093	-87.511
620	0.231093	-96.0584
630	0.231093	-86.3935
640	0.231093	-94.1719
650	0.231093	-85.9521
660	0.231093	-93.6206
670	0.231093	-89.4832
680	0.231093	-85.8735
690	0.231093	-88.7306
700	0.231093	-91.8879
710	0.231093	-107.208
720	0.231093	-117.712
730	0.231093	-84.4217
740	0.231093	-84.3422
750	0.231093	-87.7894
760	0.231093	-87.8343
770	0.231093	-89.9833
780	0.231093	-91.6067
790	0.231093	-90.2011
800	0.231093	-90.421
810	0.231093	-88.7453
820	0.231093	-92.591
830	0.231093	-82.1267
840	0.231093	-90.1188
850	0.231093	-90.0016
860	0.231093	-89.8309
870	0.231093	-80.7969
880	0.231093	-83.4617
890	0.231093	-89.7454
900	0.231093	-90.6509
910	0.231093	-90.8002
920	0.231093	-86.3646
930	0.231093	-81.2434
940	0.231093	-87.3727
950	0.231093	-93.4625
960	0.231093	-85.3439
970	0.231093	-88.4997
980	0.231093	-91.979
990	0.231093	-88.883
1000	0.231093	-88.9915
