state	power	likelihood
260	5.9499e-05	-89.1388
270	5.9499e-05	-107.178
280	5.9499e-05	-91.1629
290	5.9499e-05	-112.13
300	5.9499e-05	-96.358
310	5.9499e-05	-107.324
320	5.9499e-05	-100.075
330	5.9499e-05	-98.3914
340	5.9499e-05	-101.397
350	5.9499e-05	-97.6431
360	5.9499e-05	-92.9863
370	5.9499e-05	-108.852
380	5.9499e-05	-81.0068
390	5.9499e-05	-127.114
400	5.9499e-05	-97.6015
410	5.9499e-05	-102.833
420	5.9499e-05	-95.7461
430	5.9499e-05	-110.111
440	5.9499e-05	-126.755
450	5.9499e-05	-92.7662
460	5.9499e-05	-97.4175
470	5.9499e-05	-98.3395
480	5.9499e-05	-121.883
490	5.9499e-05	-94.2966
500	5.9499e-05	-90.401
510	5.9499e-05	-100.621
520	5.9499e-05	-88.825
530	5.9499e-05	-191.025
540	5.9499e-05	-86.6125
550	5.9499e-05	-106.925
560	5.9499e-05	-109.364
570	5.9499e-05	-107.955
580	5.9499e-05	-101.555
590	5.9499e-05	-100.593
600	5.9499e-05	-109.068
610	5.9499e-05	-120.237
620	5.9499e-05	-110.619
630	5.9499e-05	-108.801
640	5.9499e-05	-99.2893
650	5.9499e-05	-102.728
660	5.9499e-05	-95.3304
670	5.9499e-05	-94.27
680	5.9499e-05	-103.778
690	5.9499e-05	-105.233
700	5.9499e-05	-140.769
710	5.9499e-05	-98.1326
720	5.9499e-05	-100.037
730	5.9499e-05	-83.3408
740	5.9499e-05	-100.994
750	5.9499e-05	-121.166
760	5.9499e-05	-95.0689
770	5.9499e-05	-100.738
780	5.9499e-05	-92.632
790	5.9499e-05	-98.863
800	5.9499e-05	-93.35
810	5.9499e-05	-111.466
820	5.9499e-05	-107.561
830	5.9499e-05	-109.809
840	5.9499e-05	-93.4096
850	5.9499e-05	-97.4014
860	5.9499e-05	-95.4364
870	5.9499e-05	-102.083
880	5.9499e-05	-101.277
890	5.9499e-05	-99.4888
900	5.9499e-05	-140.122
910	5.9499e-05	-113.483
920	5.9499e-05	-101.045
930	5.9499e-05	-124.161
940	5.9499e-05	-101.675
950	5.9499e-05	-92.4194
960	5.9499e-05	-100.779
970	5.9499e-05	-94.4102
980	5.9499e-05	-90.3339
990	5.9499e-05	-88.0017
1000	5.9499e-05	-91.9284
