Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]
9327	1	-84.41865	-87.18268	2.764025	0.01592129	0.0159213	0.0159213
9328	0	-84.38892	-86.86836	2.479438	0.0180444	0.0180444	0.0180444
9329	1	-85.01116	-86.87121	1.860053	0.0226652	0.0226652	0.0226652
9330	0	-85.25619	-86.97055	1.714357	0.02375214	0.0237521	0.0237521
9331	1	-85.01116	-86.87121	1.860053	0.0226652	0.0226652	0.0226652
9332	0	-85.25619	-86.97055	1.714357	0.02375214	0.0237521	0.0237521
9333	1	-84.37276	-86.92841	2.555657	0.01747578	0.0174758	0.0174758
9334	0	-84.97846	-86.85949	1.88103	0.02250871	0.0225087	0.0225087
9335	1	-84.37698	-86.9037	2.526722	0.01769165	0.0176916	0.0176916
9336	0	-84.54199	-86.77519	2.233204	0.01988138	0.0198814	0.0198814
9337	1	-84.65501	-87.64951	2.994496	0.01420191	0.0142019	0.0142019
9338	0	-84.54199	-86.77519	2.233204	0.01988138	0.0198814	0.0198814
9339	1	-85.16437	-86.93124	1.766872	0.02336036	0.0233604	0.0233604
9340	0	-84.72163	-86.78724	2.06561	0.02113169	0.0211317	0.0211317
9341	1	-84.46444	-87.29458	2.830144	0.01542803	0.015428	0.015428
9342	0	-84.72163	-86.78724	2.06561	0.02113169	0.0211317	0.0211317
9343	1	-84.38221	-86.88518	2.502971	0.01786884	0.0178688	0.0178688
9344	0	-84.47821	-86.78929	2.311084	0.01930037	0.0193004	0.0193004
9345	1	-84.39628	-86.85438	2.458099	0.0182036	0.0182036	0.0182036
9346	0	-84.47821	-86.78929	2.311084	0.01930037	0.0193004	0.0193004
9347	1	-84.39628	-86.85438	2.458099	0.0182036	0.0182036	0.0182036
9348	0	-85.54607	-88.8962	3.350135	0.01154874	0.0115487	0.0115487
9349	1	-85.19011	-86.94204	1.751927	0.02347185	0.0234719	0.0234719
9350	0	-84.42574	-86.81928	2.393541	0.01868522	0.0186852	0.0186852
9351	1	-84.67147	-87.67659	3.00512	0.01412265	0.0141226	0.0141226
9352	0	-85.25585	-86.9704	1.714549	0.02375071	0.0237507	0.0237507
9353	1	-84.37321	-86.92473	2.551511	0.01750671	0.0175067	0.0175067
9354	0	-85.25585	-86.9704	1.714549	0.02375071	0.0237507	0.0237507
9355	1	-84.37321	-86.92473	2.551511	0.01750671	0.0175067	0.0175067
9356	0	-85.25585	-86.9704	1.714549	0.02375071	0.0237507	0.0237507
9357	1	-85.58505	-87.12604	1.54099	0.02504551	0.0250455	0.0250455
9358	0	-84.41706	-86.82741	2.410348	0.01855983	0.0185598	0.0185598
9359	1	-84.37348	-87.00584	2.632353	0.0169036	0.0169036	0.0169036
9360	0	-84.41706	-86.82741	2.410348	0.01855983	0.0185598	0.0185598
9361	1	-85.84741	-87.26206	1.414652	0.02598803	0.025988	0.025988
9362	0	-84.40239	-86.84498	2.442589	0.01831931	0.0183193	0.0183193
9363	1	-84.67105	-86.77905	2.108003	0.02081542	0.0208154	0.0208154
9364	0	-84.84209	-86.81598	1.973896	0.0218159	0.0218159	0.0218159
9365	1	-84.67105	-86.77905	2.108003	0.02081542	0.0208154	0.0208154
9366	0	-84.40106	-87.13049	2.729424	0.01617943	0.0161794	0.0161794
9367	1	-84.67105	-86.77905	2.108003	0.02081542	0.0208154	0.0208154
9368	0	-86.74187	-87.77335	1.031489	0.02884655	0.0288465	0.0288465
9369	1	-84.40773	-86.83789	2.430167	0.01841198	0.018412	0.018412
9370	0	-86.74187	-87.77335	1.031489	0.02884655	0.0288465	0.0288465
9371	1	-84.40773	-86.83789	2.430167	0.01841198	0.018412	0.018412
9372	0	-84.8733	-87.98765	3.114352	0.01330774	0.0133077	0.0133077
9373	1	-84.40773	-86.83789	2.430167	0.01841198	0.018412	0.018412
9374	0	-84.88534	-86.82873	1.943389	0.02204349	0.0220435	0.0220435
9375	1	-84.80751	-86.80662	1.999112	0.02162778	0.0216278	0.0216278
9376	0	-84.53806	-86.77564	2.23758	0.01984874	0.0198487	0.0198487
9377	1	-84.42135	-86.82322	2.401863	0.01862314	0.0186231	0.0186231
9378	0	-84.51817	-87.40591	2.887739	0.01499835	0.0149984	0.0149984
9379	1	-84.43447	-87.22415	2.789678	0.01572992	0.0157299	0.0157299
9380	0	-84.51817	-87.40591	2.887739	0.01499835	0.0149984	0.0149984
9381	1	-84.38554	-87.07376	2.68822	0.01648683	0.0164868	0.0164868
9382	0	-84.51817	-87.40591	2.887739	0.01499835	0.0149984	0.0149984
9383	1	-85.7122	-89.10581	3.393614	0.01122436	0.0112244	0.0112244
9384	0	-85.939	-89.38643	3.447434	0.01082286	0.0108229	0.0108229
9385	1	-85.7122	-89.10581	3.393614	0.01122436	0.0112244	0.0112244
9386	0	-85.27266	-86.97782	1.705162	0.02382074	0.0238207	0.0238207
9387	1	-85.08222	-88.28421	3.201992	0.01265393	0.0126539	0.0126539
9388	0	-84.50077	-87.37136	2.870592	0.01512627	0.0151263	0.0151263
9389	1	-84.37115	-86.94919	2.578037	0.01730882	0.0173088	0.0173088
9390	0	-84.50077	-87.37136	2.870592	0.01512627	0.0151263	0.0151263
9391	1	-84.37115	-86.94919	2.578037	0.01730882	0.0173088	0.0173088
9392	0	-84.4369	-86.81058	2.37368	0.01883339	0.0188334	0.0188334
9393	1	-84.38969	-86.86672	2.477027	0.01806239	0.0180624	0.0180624
9394	0	-84.54931	-86.77448	2.225169	0.01994133	0.0199413	0.0199413
9395	1	-85.21203	-86.95137	1.739343	0.02356574	0.0235657	0.0235657
9396	0	-84.97836	-86.85946	1.881096	0.02250822	0.0225082	0.0225082
9397	1	-86.27177	-89.78915	3.517372	0.01030109	0.0103011	0.0103011
9398	0	-84.37188	-86.93722	2.565338	0.01740356	0.0174036	0.0174036
9399	1	-85.34473	-88.63631	3.291579	0.01198558	0.0119856	0.0119856
9400	0	-84.37188	-86.93722	2.565338	0.01740356	0.0174036	0.0174036
9401	1	-85.72215	-89.11825	3.3961	0.01120582	0.0112058	0.0112058
9402	0	-84.40455	-86.842	2.437456	0.0183576	0.0183576	0.0183576
9403	1	-85.88742	-89.32311	3.435689	0.01091047	0.0109105	0.0109105
9404	0	-84.38449	-87.06921	2.684719	0.01651294	0.0165129	0.0165129
9405	1	-85.29432	-88.57001	3.275696	0.01210407	0.0121041	0.0121041
9406	0	-85.70426	-87.18677	1.482505	0.02548183	0.0254818	0.0254818
9407	1	-86.92989	-87.8872	0.957309	0.02939995	0.0294	0.0294
9408	0	-85.70426	-87.18677	1.482505	0.02548183	0.0254818	0.0254818
9409	1	-84.371	-86.97041	2.599419	0.01714931	0.0171493	0.0171493
9410	0	-84.4044	-86.8422	2.437804	0.018355	0.018355	0.018355
9411	1	-84.48919	-86.78561	2.29642	0.01940977	0.0194098	0.0194098
9412	0	-84.4044	-86.8422	2.437804	0.018355	0.018355	0.018355
9413	1	-84.45522	-86.7994	2.344179	0.01905348	0.0190535	0.0190535
9414	0	-84.41308	-86.83162	2.418531	0.01849879	0.0184988	0.0184988
9415	1	-84.45522	-86.7994	2.344179	0.01905348	0.0190535	0.0190535
9416	0	-84.41308	-86.83162	2.418531	0.01849879	0.0184988	0.0184988
9417	1	-84.99936	-88.16879	3.16943	0.01289685	0.0128968	0.0128968
9418	0	-84.86413	-86.82234	1.958216	0.02193288	0.0219329	0.0219329
9419	1	-85.39014	-87.03143	1.641286	0.02429727	0.0242973	0.0242973
9420	0	-88.06139	-88.60106	0.5396784	0.03251561	0.0325156	0.0325156
9421	1	-87.65541	-88.34016	0.6847594	0.03143326	0.0314333	0.0314333
9422	0	-88.5841	-88.94294	0.3588387	0.03386473	0.0338647	0.0338647
9423	1	-84.53327	-86.77624	2.242964	0.01980857	0.0198086	0.0198086
9424	0	-85.48198	-87.07521	1.593236	0.02465574	0.0246557	0.0246557
9425	1	-84.5289	-86.77685	2.247944	0.01977141	0.0197714	0.0197714
9426	0	-85.09471	-86.90299	1.808283	0.02305142	0.0230514	0.0230514
9427	1	-84.5289	-86.77685	2.247944	0.01977141	0.0197714	0.0197714
9428	0	-84.43574	-86.81141	2.37567	0.01881854	0.0188185	0.0188185
9429	1	-84.38184	-87.05709	2.675248	0.0165836	0.0165836	0.0165836
9430	0	-84.37664	-87.02898	2.652337	0.01675452	0.0167545	0.0167545
9431	1	-84.38184	-87.05709	2.675248	0.0165836	0.0165836	0.0165836
9432	0	-84.47648	-86.78993	2.313453	0.0192827	0.0192827	0.0192827
9433	1	-84.38184	-87.05709	2.675248	0.0165836	0.0165836	0.0165836
9434	0	-84.47648	-86.78993	2.313453	0.0192827	0.0192827	0.0192827
9435	1	-85.5626	-87.11483	1.552228	0.02496167	0.0249617	0.0249617
9436	0	-88.87308	-89.13434	0.261265	0.03459266	0.0345927	0.0345927
9437	1	-84.3777	-86.9007	2.522999	0.01771942	0.0177194	0.0177194
9438	0	-84.96527	-86.85489	1.889621	0.02244462	0.0224446	0.0224446
9439	1	-84.3777	-86.9007	2.522999	0.01771942	0.0177194	0.0177194
9440	0	-84.96527	-86.85489	1.889621	0.02244462	0.0224446	0.0224446
9441	1	-84.40291	-87.1364	2.733487	0.01614911	0.0161491	0.0161491
9442	0	-84.56734	-87.49816	2.930823	0.01467693	0.0146769	0.0146769
9443	1	-84.40291	-87.1364	2.733487	0.01614911	0.0161491	0.0161491
9444	0	-86.00474	-87.34738	1.34264	0.02652526	0.0265253	0.0265253
9445	1	-84.40291	-87.1364	2.733487	0.01614911	0.0161491	0.0161491
9446	0	-86.00474	-87.34738	1.34264	0.02652526	0.0265253	0.0265253
9447	1	-84.65722	-86.77733	2.120116	0.02072505	0.0207251	0.0207251
9448	0	-86.04333	-87.36867	1.325343	0.02665431	0.0266543	0.0266543
9449	1	-84.65722	-86.77733	2.120116	0.02072505	0.0207251	0.0207251
9450	0	-87.69581	-88.36592	0.670112	0.03154253	0.0315425	0.0315425
9451	1	-85.11869	-86.91255	1.793859	0.02315903	0.023159	0.023159
9452	0	-89.40476	-89.49021	0.085455	0.03590425	0.0359043	0.0359043
9453	1	-85.77871	-87.22563	1.446917	0.02574732	0.0257473	0.0257473
9454	0	-84.37248	-86.99588	2.623403	0.01697037	0.0169704	0.0169704
9455	1	-84.37652	-86.90576	2.529241	0.01767286	0.0176729	0.0176729
9456	0	-85.19103	-86.94243	1.751396	0.02347582	0.0234758	0.0234758
9457	1	-84.6511	-87.64301	2.991914	0.01422117	0.0142212	0.0142212
9458	0	-84.42517	-87.20023	2.775067	0.01583892	0.0158389	0.0158389
9459	1	-84.6511	-87.64301	2.991914	0.01422117	0.0142212	0.0142212
9460	0	-84.42517	-87.20023	2.775067	0.01583892	0.0158389	0.0158389
9461	1	-84.42965	-86.81604	2.386392	0.01873855	0.0187386	0.0187386
9462	0	-84.42517	-87.20023	2.775067	0.01583892	0.0158389	0.0158389
9463	1	-85.08773	-86.90025	1.812516	0.02301984	0.0230198	0.0230198
9464	0	-84.42517	-87.20023	2.775067	0.01583892	0.0158389	0.0158389
9465	1	-85.29629	-86.98837	1.692074	0.02391838	0.0239184	0.0239184
9466	0	-84.60521	-86.7733	2.168087	0.02036718	0.0203672	0.0203672
9467	1	-85.29629	-86.98837	1.692074	0.02391838	0.0239184	0.0239184
9468	0	-84.95019	-86.84972	1.89953	0.02237069	0.0223707	0.0223707
9469	1	-85.10805	-88.31971	3.211656	0.01258183	0.0125818	0.0125818
9470	0	-84.95019	-86.84972	1.89953	0.02237069	0.0223707	0.0223707
9471	1	-85.10805	-88.31971	3.211656	0.01258183	0.0125818	0.0125818
9472	0	-84.38592	-87.07535	2.689435	0.01647776	0.0164778	0.0164778
9473	1	-85.10805	-88.31971	3.211656	0.01258183	0.0125818	0.0125818
9474	0	-85.35558	-87.01536	1.65978	0.02415931	0.0241593	0.0241593
9475	1	-84.74287	-87.79055	3.04768	0.01380514	0.0138051	0.0138051
9476	0	-85.35558	-87.01536	1.65978	0.02415931	0.0241593	0.0241593
9477	1	-84.74287	-87.79055	3.04768	0.01380514	0.0138051	0.0138051
9478	0	-85.27254	-88.54121	3.268664	0.01215653	0.0121565	0.0121565
9479	1	-84.49099	-87.35137	2.860386	0.01520241	0.0152024	0.0152024
9480	0	-85.27254	-88.54121	3.268664	0.01215653	0.0121565	0.0121565
9481	1	-84.52392	-86.77762	2.253705	0.01972844	0.0197284	0.0197284
9482	0	-84.4111	-86.83386	2.422757	0.01846726	0.0184673	0.0184673
9483	1	-84.52392	-86.77762	2.253705	0.01972844	0.0197284	0.0197284
9484	0	-84.38856	-87.08614	2.697575	0.01641703	0.016417	0.016417
9485	1	-85.07061	-86.89358	1.822965	0.02294189	0.0229419	0.0229419
9486	0	-84.44174	-86.80729	2.365545	0.01889408	0.0188941	0.0188941
9487	1	-85.07061	-86.89358	1.822965	0.02294189	0.0229419	0.0229419
9488	0	-84.78141	-87.85007	3.068662	0.01364861	0.0136486	0.0136486
9489	1	-85.26342	-86.97373	1.710312	0.02378232	0.0237823	0.0237823
9490	0	-84.78141	-87.85007	3.068662	0.01364861	0.0136486	0.0136486
9491	1	-84.58276	-87.52581	2.943053	0.01458569	0.0145857	0.0145857
9492	0	-84.78141	-87.85007	3.068662	0.01364861	0.0136486	0.0136486
9493	1	-84.77727	-86.79912	2.021854	0.02145812	0.0214581	0.0214581
9494	0	-84.38906	-86.86806	2.478998	0.01804769	0.0180477	0.0180477
9495	1	-84.82188	-87.91134	3.089468	0.01349339	0.0134934	0.0134934
9496	0	-84.37981	-87.04698	2.66717	0.01664386	0.0166439	0.0166439
9497	1	-86.39003	-89.93016	3.540127	0.01013134	0.0101313	0.0101313
9498	0	-84.37211	-86.93459	2.562474	0.01742493	0.0174249	0.0174249
9499	1	-85.77986	-87.22623	1.446374	0.02575138	0.0257514	0.0257514
9500	0	-84.48418	-87.3372	2.853018	0.01525738	0.0152574	0.0152574
9501	1	-84.55796	-87.48107	2.923114	0.01473444	0.0147344	0.0147344
9502	0	-84.48418	-87.3372	2.853018	0.01525738	0.0152574	0.0152574
9503	1	-84.55796	-87.48107	2.923114	0.01473444	0.0147344	0.0147344
9504	0	-86.29531	-89.81729	3.52198	0.01026672	0.0102667	0.0102667
9505	1	-84.55796	-87.48107	2.923114	0.01473444	0.0147344	0.0147344
9506	0	-84.72303	-86.78751	2.064474	0.02114016	0.0211402	0.0211402
9507	1	-84.55796	-87.48107	2.923114	0.01473444	0.0147344	0.0147344
9508	0	-86.6636	-90.2529	3.589294	0.00976453	0.00976453	0.00976453
9509	1	-84.55796	-87.48107	2.923114	0.01473444	0.0147344	0.0147344
9510	0	-85.51212	-88.85287	3.340751	0.01161874	0.0116187	0.0116187
9511	1	-84.38055	-87.05075	2.670201	0.01662125	0.0166212	0.0166212
9512	0	-84.9235	-86.84083	1.91733	0.0222379	0.0222379	0.0222379
9513	1	-84.38055	-87.05075	2.670201	0.01662125	0.0166212	0.0166212
9514	0	-84.39549	-86.85574	2.46025	0.01818755	0.0181875	0.0181875
9515	1	-84.38055	-87.05075	2.670201	0.01662125	0.0166212	0.0166212
9516	0	-84.53487	-86.77603	2.241162	0.01982202	0.019822	0.019822
9517	1	-84.38055	-87.05075	2.670201	0.01662125	0.0166212	0.0166212
9518	0	-84.41967	-86.82482	2.405148	0.01859863	0.0185986	0.0185986
9519	1	-84.37312	-87.00254	2.629412	0.01692555	0.0169255	0.0169255
9520	0	-84.38188	-86.88617	2.504286	0.01785903	0.017859	0.017859
9521	1	-84.37312	-87.00254	2.629412	0.01692555	0.0169255	0.0169255
9522	0	-84.93072	-88.07109	3.140377	0.01311359	0.0131136	0.0131136
9523	1	-85.45524	-88.77985	3.324609	0.01173917	0.0117392	0.0117392
9524	0	-85.40636	-88.71665	3.310285	0.01184603	0.011846	0.011846
9525	1	-85.8833	-89.31803	3.434737	0.01091757	0.0109176	0.0109176
9526	0	-84.38863	-86.86899	2.480358	0.01803754	0.0180375	0.0180375
9527	1	-86.42237	-89.96855	3.546181	0.01008617	0.0100862	0.0100862
9528	0	-84.38863	-86.86899	2.480358	0.01803754	0.0180375	0.0180375
9529	1	-85.76975	-89.17758	3.407827	0.01111833	0.0111183	0.0111183
9530	0	-84.38863	-86.86899	2.480358	0.01803754	0.0180375	0.0180375
9531	1	-86.63266	-90.21662	3.583955	0.009804361	0.00980436	0.00980436
9532	0	-84.78452	-87.85482	3.070301	0.01363638	0.0136364	0.0136364
9533	1	-86.63266	-90.21662	3.583955	0.009804361	0.00980436	0.00980436
9534	0	-84.621	-87.59236	2.971351	0.01437458	0.0143746	0.0143746
9535	1	-85.14226	-86.92212	1.779858	0.02326349	0.0232635	0.0232635
9536	0	-84.37994	-87.04762	2.667684	0.01664003	0.01664	0.01664
9537	1	-84.3789	-86.89605	2.517148	0.01776307	0.0177631	0.0177631
9538	0	-84.87092	-86.82436	1.953441	0.0219685	0.0219685	0.0219685
9539	1	-85.48005	-87.07428	1.594227	0.02464835	0.0246483	0.0246483
9540	0	-84.59815	-87.55292	2.954766	0.01449831	0.0144983	0.0144983
9541	1	-85.48005	-87.07428	1.594227	0.02464835	0.0246483	0.0246483
9542	0	-84.50166	-87.37316	2.871501	0.01511949	0.0151195	0.0151195
9543	1	-84.4869	-87.34289	2.85599	0.01523521	0.0152352	0.0152352
9544	0	-85.63045	-87.14894	1.51849	0.02521337	0.0252134	0.0252134
9545	1	-85.8073	-87.24073	1.433424	0.02584799	0.025848	0.025848
9546	0	-84.38194	-87.05754	2.675607	0.01658092	0.0165809	0.0165809
9547	1	-85.8073	-87.24073	1.433424	0.02584799	0.025848	0.025848
9548	0	-84.57716	-86.77304	2.195886	0.02015979	0.0201598	0.0201598
9549	1	-85.30259	-88.58093	3.278341	0.01208434	0.0120843	0.0120843
9550	0	-84.54636	-86.77475	2.228393	0.01991727	0.0199173	0.0199173
9551	1	-84.39455	-86.85737	2.462823	0.01816835	0.0181684	0.0181684
9552	0	-84.52149	-86.77803	2.256534	0.01970733	0.0197073	0.0197073
9553	1	-84.37123	-86.9773	2.606071	0.01709968	0.0170997	0.0170997
9554	0	-84.61339	-87.57932	2.965926	0.01441505	0.014415	0.014415
9555	1	-84.37123	-86.9773	2.606071	0.01709968	0.0170997	0.0170997
9556	0	-84.39154	-86.86297	2.471425	0.01810418	0.0181042	0.0181042
9557	1	-84.37123	-86.9773	2.606071	0.01709968	0.0170997	0.0170997
9558	0	-84.89992	-88.02655	3.126631	0.01321614	0.0132161	0.0132161
9559	1	-84.37789	-87.03645	2.658563	0.01670808	0.0167081	0.0167081
9560	0	-84.89992	-88.02655	3.126631	0.01321614	0.0132161	0.0132161
9561	1	-84.37669	-87.02931	2.652613	0.01675246	0.0167525	0.0167525
9562	0	-86.43049	-87.58896	1.158471	0.02789922	0.0278992	0.0278992
9563	1	-84.40431	-87.1408	2.736491	0.0161267	0.0161267	0.0161267
9564	0	-84.43561	-87.22699	2.791379	0.01571722	0.0157172	0.0157172
9565	1	-84.40431	-87.1408	2.736491	0.0161267	0.0161267	0.0161267
9566	0	-84.73036	-86.78892	2.058562	0.02118426	0.0211843	0.0211843
9567	1	-86.25251	-89.76608	3.51357	0.01032946	0.0103295	0.0103295
9568	0	-85.01006	-86.87081	1.860751	0.02265999	0.02266	0.02266
9569	1	-86.25251	-89.76608	3.51357	0.01032946	0.0103295	0.0103295
9570	0	-85.33171	-88.61924	3.287528	0.0120158	0.0120158	0.0120158
9571	1	-84.88234	-86.82781	1.945472	0.02202795	0.022028	0.022028
9572	0	-84.76395	-86.79604	2.032087	0.02138177	0.0213818	0.0213818
9573	1	-85.80906	-87.24166	1.432597	0.02585415	0.0258542	0.0258542
9574	0	-84.76395	-86.79604	2.032087	0.02138177	0.0213818	0.0213818
9575	1	-84.85092	-87.95464	3.103721	0.01338706	0.0133871	0.0133871
9576	0	-84.93357	-86.84415	1.910574	0.0222883	0.0222883	0.0222883
9577	1	-84.37848	-86.8976	2.519119	0.01774837	0.0177484	0.0177484
9578	0	-84.42744	-86.81784	2.390403	0.01870863	0.0187086	0.0187086
9579	1	-84.37848	-86.8976	2.519119	0.01774837	0.0177484	0.0177484
9580	0	-84.56448	-87.49297	2.928493	0.01469431	0.0146943	0.0146943
9581	1	-84.65319	-87.64648	2.993294	0.01421088	0.0142109	0.0142109
9582	0	-85.27874	-88.54942	3.270677	0.01214151	0.0121415	0.0121415
9583	1	-84.38428	-87.06829	2.684006	0.01651826	0.0165183	0.0165183
9584	0	-84.69194	-87.70982	3.017876	0.01402749	0.0140275	0.0140275
9585	1	-85.07581	-88.27538	3.199563	0.01267205	0.012672	0.012672
9586	0	-85.16336	-86.93082	1.767462	0.02335596	0.023356	0.023356
9587	1	-84.50748	-86.78079	2.273312	0.01958217	0.0195822	0.0195822
9588	0	-85.16336	-86.93082	1.767462	0.02335596	0.023356	0.023356
9589	1	-84.50748	-86.78079	2.273312	0.01958217	0.0195822	0.0195822
9590	0	-84.37579	-87.02347	2.647676	0.01678929	0.0167893	0.0167893
9591	1	-84.59914	-86.77311	2.173972	0.02032327	0.0203233	0.0203233
9592	0	-84.38333	-87.06403	2.680698	0.01654294	0.0165429	0.0165429
9593	1	-84.3731	-87.00229	2.629192	0.01692719	0.0169272	0.0169272
9594	0	-84.38333	-87.06403	2.680698	0.01654294	0.0165429	0.0165429
9595	1	-84.49687	-86.7834	2.286539	0.01948348	0.0194835	0.0194835
9596	0	-84.38693	-87.07955	2.692624	0.01645396	0.016454	0.016454
9597	1	-84.58039	-86.77299	2.192598	0.02018432	0.0201843	0.0201843
9598	0	-88.31382	-88.76541	0.4515917	0.03317276	0.0331728	0.0331728
9599	1	-84.58039	-86.77299	2.192598	0.02018432	0.0201843	0.0201843
9600	0	-86.05863	-87.37715	1.318521	0.0267052	0.0267052	0.0267052
9601	1	-84.58039	-86.77299	2.192598	0.02018432	0.0201843	0.0201843
9602	0	-84.47302	-87.3134	2.840379	0.01535167	0.0153517	0.0153517
9603	1	-84.37599	-87.02479	2.648802	0.01678089	0.0167809	0.0167809
9604	0	-85.60711	-88.97368	3.366564	0.01142617	0.0114262	0.0114262
9605	1	-84.37599	-87.02479	2.648802	0.01678089	0.0167809	0.0167809
9606	0	-85.60711	-88.97368	3.366564	0.01142617	0.0114262	0.0114262
9607	1	-84.39485	-86.85685	2.461997	0.01817451	0.0181745	0.0181745
9608	0	-84.59991	-87.55598	2.956074	0.01448855	0.0144885	0.0144885
9609	1	-85.10165	-86.90574	1.804092	0.02308269	0.0230827	0.0230827
9610	0	-84.37362	-87.00708	2.633458	0.01689536	0.0168954	0.0168954
9611	1	-84.46669	-87.29957	2.832877	0.01540764	0.0154076	0.0154076
9612	0	-84.37096	-86.96866	2.597702	0.01716211	0.0171621	0.0171621
9613	1	-85.05281	-88.24353	3.190721	0.01273801	0.012738	0.012738
9614	0	-84.37096	-86.96866	2.597702	0.01716211	0.0171621	0.0171621
9615	1	-85.05281	-88.24353	3.190721	0.01273801	0.012738	0.012738
9616	0	-84.37096	-86.96866	2.597702	0.01716211	0.0171621	0.0171621
9617	1	-84.58971	-86.77296	2.183256	0.02025401	0.020254	0.020254
9618	0	-86.44698	-87.59858	1.1516	0.02795048	0.0279505	0.0279505
9619	1	-84.74642	-87.79608	3.04966	0.01379037	0.0137904	0.0137904
9620	0	-85.30185	-88.57996	3.278106	0.01208609	0.0120861	0.0120861
9621	1	-84.73038	-87.77098	3.040603	0.01385794	0.0138579	0.0138579
9622	0	-84.50952	-87.38887	2.879359	0.01506087	0.0150609	0.0150609
9623	1	-84.38669	-86.87339	2.486699	0.01799023	0.0179902	0.0179902
9624	0	-85.22973	-88.48424	3.254511	0.01226212	0.0122621	0.0122621
9625	1	-84.38669	-86.87339	2.486699	0.01799023	0.0179902	0.0179902
9626	0	-85.22973	-88.48424	3.254511	0.01226212	0.0122621	0.0122621
9627	1	-84.38669	-86.87339	2.486699	0.01799023	0.0179902	0.0179902
9628	0	-85.1613	-86.92997	1.76867	0.02334695	0.023347	0.023347
9629	1	-84.94264	-86.84717	1.904536	0.02233334	0.0223333	0.0223333
9630	0	-84.45314	-86.80051	2.347363	0.01902972	0.0190297	0.0190297
9631	1	-85.22819	-86.95833	1.730145	0.02363436	0.0236344	0.0236344
9632	0	-84.45314	-86.80051	2.347363	0.01902972	0.0190297	0.0190297
9633	1	-85.94969	-87.31725	1.367557	0.02633937	0.0263394	0.0263394
9634	0	-84.56933	-86.77326	2.203931	0.02009977	0.0200998	0.0200998
9635	1	-85.5878	-88.94923	3.361426	0.0114645	0.0114645	0.0114645
9636	0	-84.56933	-86.77326	2.203931	0.02009977	0.0200998	0.0200998
9637	1	-84.40011	-86.84831	2.448203	0.01827742	0.0182774	0.0182774
9638	0	-84.56933	-86.77326	2.203931	0.02009977	0.0200998	0.0200998
9639	1	-84.43726	-87.23108	2.793823	0.01569899	0.015699	0.015699
9640	0	-84.56933	-86.77326	2.203931	0.02009977	0.0200998	0.0200998
9641	1	-84.43726	-87.23108	2.793823	0.01569899	0.015699	0.015699
9642	0	-84.56933	-86.77326	2.203931	0.02009977	0.0200998	0.0200998
9643	1	-84.88981	-86.83011	1.940298	0.02206655	0.0220665	0.0220665
9644	0	-84.56933	-86.77326	2.203931	0.02009977	0.0200998	0.0200998
9645	1	-87.24312	-90.9237	3.680582	0.009083499	0.0090835	0.0090835
9646	0	-84.56933	-86.77326	2.203931	0.02009977	0.0200998	0.0200998
9647	1	-84.47014	-86.79243	2.32229	0.01921678	0.0192168	0.0192168
9648	0	-84.42867	-87.2094	2.780721	0.01579673	0.0157967	0.0157967
9649	1	-84.47014	-86.79243	2.32229	0.01921678	0.0192168	0.0192168
9650	0	-84.56956	-87.50217	2.932615	0.01466356	0.0146636	0.0146636
9651	1	-84.47014	-86.79243	2.32229	0.01921678	0.0192168	0.0192168
9652	0	-84.56956	-87.50217	2.932615	0.01466356	0.0146636	0.0146636
9653	1	-84.47014	-86.79243	2.32229	0.01921678	0.0192168	0.0192168
9654	0	-84.56956	-87.50217	2.932615	0.01466356	0.0146636	0.0146636
9655	1	-84.47014	-86.79243	2.32229	0.01921678	0.0192168	0.0192168
9656	0	-84.56956	-87.50217	2.932615	0.01466356	0.0146636	0.0146636
9657	1	-84.626	-87.60086	2.974862	0.01434839	0.0143484	0.0143484
9658	0	-85.83694	-87.25648	1.419536	0.0259516	0.0259516	0.0259516
9659	1	-84.626	-87.60086	2.974862	0.01434839	0.0143484	0.0143484
9660	0	-85.23011	-86.95916	1.729056	0.02364249	0.0236425	0.0236425
9661	1	-84.37542	-87.02096	2.645532	0.01680529	0.0168053	0.0168053
9662	0	-84.5588	-86.77378	2.214978	0.02001736	0.0200174	0.0200174
9663	1	-84.64986	-87.64095	2.991092	0.0142273	0.0142273	0.0142273
9664	0	-84.84013	-86.81543	1.975301	0.02180542	0.0218054	0.0218054
9665	1	-85.18736	-86.94088	1.753516	0.02346	0.02346	0.02346
9666	0	-84.84013	-86.81543	1.975301	0.02180542	0.0218054	0.0218054
9667	1	-85.18736	-86.94088	1.753516	0.02346	0.02346	0.02346
9668	0	-84.84013	-86.81543	1.975301	0.02180542	0.0218054	0.0218054
9669	1	-87.64148	-88.3313	0.6898187	0.03139551	0.0313955	0.0313955
9670	0	-84.84013	-86.81543	1.975301	0.02180542	0.0218054	0.0218054
9671	1	-84.38349	-86.88155	2.498063	0.01790545	0.0179054	0.0179054
9672	0	-84.84013	-86.81543	1.975301	0.02180542	0.0218054	0.0218054
9673	1	-84.38349	-86.88155	2.498063	0.01790545	0.0179054	0.0179054
9674	0	-84.79584	-86.80365	2.007812	0.02156288	0.0215629	0.0215629
9675	1	-84.52098	-87.41138	2.890403	0.01497848	0.0149785	0.0149785
9676	0	-84.37196	-86.93633	2.564372	0.01741077	0.0174108	0.0174108
