Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
76	-79.75713	-78.0585	-1.698632	0.0189535	0.0668023	0.266142	0.733858
77	-80.61872	-80.0433	-0.5754289	0.0220906	0.0552858	0.939389	0.060611
78	-78.69468	-78.09091	-0.6037686	0.0146497	0.0629381	0.903186	0.0968136
79	-78.90189	-78.11567	-0.7862266	0.0160109	0.0629381	0.901506	0.0984943
80	-79.84138	-78.5737	-1.267675	0.0196027	0.0629381	0.508748	0.491252
81	-79.11068	-80.38185	1.271166	0.0171661	0.0464342	0.651309	0.348691
82	-78.85672	-81.60946	2.752745	0.0134273	0.03912	0.250358	0.749642
83	-78.47885	-80.24106	1.762206	0.0139552	0.0459817	0.812191	0.187809
84	-78.87173	-81.13147	2.259744	0.0148503	0.0413748	0.345545	0.654455
85	-79.60843	-84.04408	4.435653	0.0114107	0.0285815	0.349383	0.650617
86	-79.71167	-84.14732	4.435653	0.0114107	0.0285815	0.249559	0.750441
87	-79.35809	-82.52098	3.162899	0.0150391	0.0344482	0.249559	0.750441
88	-78.76542	-82.33758	3.572161	0.0119859	0.0344482	0.874996	0.125004
89	-79.92032	-82.74321	2.822886	0.0175757	0.0344482	0.309007	0.690993
90	-78.62523	-79.49698	0.8717498	0.0107501	0.0558299	0.11678	0.88322
91	-79.1817	-81.81682	2.635124	0.0165289	0.0368958	0.926832	0.0731677
92	-78.91163	-78.79417	-0.1174593	0.0165289	0.0574309	0.706803	0.293197
93	-80.82918	-79.91976	-0.9094254	0.0224373	0.0574309	0.280692	0.719308
94	-81.18823	-77.81474	-3.373488	0.0224373	0.0758135	0.461563	0.538437
95	-79.20436	-77.19087	-2.013497	0.0122913	0.0758135	0.220529	0.779471
96	-79.3947	-77.62941	-1.765296	0.0104397	0.0758135	0.890695	0.109305
97	-79.40647	-76.78769	-2.618782	0.0133446	0.0792758	0.380996	0.619004
98	-78.58683	-78.58051	-0.006324663	0.0113577	0.061773	0.989794	0.0102064
99	-78.52145	-79.10345	0.5819947	0.0113577	0.057384	0.534197	0.465803
100	-78.57162	-78.7995	0.2278801	0.0139995	0.057384	0.263922	0.736078
101	-79.41388	-76.73024	-2.683642	0.0139995	0.0791048	0.779107	0.220893
102	-79.6558	-76.57036	-3.085442	0.0153711	0.0807308	0.313087	0.686913
103	-83.39795	-75.20073	-8.197218	0.012989	0.121248	0.340174	0.659826
104	-83.83518	-74.8442	-8.990985	0.0189107	0.121248	0.661635	0.338365
105	-83.55058	-74.81412	-8.736465	0.0170119	0.121248	0.354745	0.645255
106	-80.76214	-76.16832	-4.593819	0.0185122	0.0888426	0.721614	0.278386
107	-81.24346	-77.03437	-4.209087	0.0216228	0.0828618	0.721614	0.278386
108	-84.80624	-78.1691	-6.637137	0.0294033	0.0931953	0.857599	0.142401
109	-83.78498	-80.50785	-3.277136	0.0290048	0.0685271	0.909011	0.0909886
110	-81.79166	-79.10882	-2.682836	0.0245712	0.0685271	0.459312	0.540688
111	-80.60803	-83.19878	2.590751	0.0198724	0.0338834	0.557624	0.442376
112	-78.90318	-78.21473	-0.6884563	0.0160158	0.0622038	0.671345	0.328655
113	-79.09302	-77.62021	-1.472816	0.0160158	0.0680554	0.615946	0.384054
114	-79.22504	-77.39528	-1.829761	0.0160158	0.0707183	0.157735	0.842265
115	-78.63471	-78.83499	0.2002787	0.0143479	0.0572415	0.0466956	0.953304
116	-78.95639	-77.68623	-1.270157	0.011841	0.0707183	0.154737	0.845263
117	-78.48151	-78.84801	0.3664988	0.0130638	0.0572855	0.487436	0.512564
118	-79.00877	-78.8686	-0.1401765	0.0168438	0.0572855	0.475756	0.524244
