Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]
0	-103.1143	-107.6511	4.536801	0.002695841	0.00269584	0.00269584
1	-100.3808	-104.8504	4.46956	0.003197474	0.00319747	0.00319747
2	-100.3808	-104.8504	4.46956	0.003197474	0.00319747	0.00319747
3	-101.4355	-105.9327	4.497212	0.002991188	0.00299119	0.00299119
4	-91.39486	-95.47934	4.084483	0.006070274	0.00607027	0.00607027
5	-85.13427	-88.35552	3.221248	0.01251027	0.0125103	0.0125103
6	-84.37402	-86.91916	2.545139	0.01755425	0.0175542	0.0175542
7	-84.37402	-86.91916	2.545139	0.01755425	0.0175542	0.0175542
8	-84.38011	-87.04851	2.668399	0.01663469	0.0166347	0.0166347
9	-84.38011	-87.04851	2.668399	0.01663469	0.0166347	0.0166347
10	-84.37348	-86.92277	2.549294	0.01752325	0.0175233	0.0175233
11	-84.60076	-87.55746	2.956705	0.01448384	0.0144838	0.0144838
12	-84.46828	-86.79321	2.324937	0.01919702	0.019197	0.019197
13	-84.77838	-87.84543	3.067055	0.0136606	0.0136606	0.0136606
14	-84.95743	-88.10936	3.151931	0.0130274	0.0130274	0.0130274
15	-84.3711	-86.97398	2.602882	0.01712347	0.0171235	0.0171235
16	-84.37361	-87.00698	2.633366	0.01689605	0.0168961	0.0168961
17	-84.37527	-86.91189	2.536617	0.01761783	0.0176178	0.0176178
18	-84.58156	-87.52368	2.942118	0.01459266	0.0145927	0.0145927
19	-84.57955	-87.52011	2.940553	0.01460434	0.0146043	0.0146043
20	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
21	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
22	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
23	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
24	-84.76158	-86.7955	2.033923	0.02136808	0.0213681	0.0213681
25	-84.37705	-87.03152	2.654464	0.01673865	0.0167387	0.0167387
26	-85.82953	-87.25253	1.422998	0.02592577	0.0259258	0.0259258
27	-84.63572	-86.77517	2.139447	0.02058084	0.0205808	0.0205808
28	-84.4511	-86.80163	2.350535	0.01900606	0.0190061	0.0190061
29	-85.26657	-86.97512	1.708556	0.02379542	0.0237954	0.0237954
30	-84.506	-86.78113	2.275129	0.01956861	0.0195686	0.0195686
31	-84.64512	-86.77603	2.130914	0.0206445	0.0206445	0.0206445
32	-84.73783	-87.78267	3.044838	0.01382634	0.0138263	0.0138263
33	-84.55652	-87.47844	2.921916	0.01474338	0.0147434	0.0147434
34	-84.67259	-86.77926	2.10667	0.02082536	0.0208254	0.0208254
35	-84.63302	-86.77494	2.141923	0.02056237	0.0205624	0.0205624
36	-84.62379	-87.5971	2.973311	0.01435995	0.01436	0.01436
37	-84.54992	-87.46625	2.916333	0.01478503	0.014785	0.014785
38	-84.5783	-86.77302	2.194721	0.02016847	0.0201685	0.0201685
39	-85.57106	-87.11904	1.547986	0.02499332	0.0249933	0.0249933
40	-84.41491	-87.17223	2.757323	0.01597129	0.0159713	0.0159713
41	-84.70107	-86.78358	2.082511	0.0210056	0.0210056	0.0210056
42	-84.45487	-86.79959	2.344719	0.01904945	0.0190494	0.0190494
43	-84.45487	-86.79959	2.344719	0.01904945	0.0190494	0.0190494
44	-84.42604	-86.81902	2.392979	0.01868941	0.0186894	0.0186894
45	-84.39103	-86.86398	2.472945	0.01809284	0.0180928	0.0180928
46	-85.11584	-86.91141	1.795564	0.02314631	0.0231463	0.0231463
47	-84.42436	-86.82048	2.396122	0.01866596	0.018666	0.018666
48	-85.36739	-88.66593	3.298543	0.01193362	0.0119336	0.0119336
49	-86.11975	-89.60634	3.486588	0.01053075	0.0105307	0.0105307
50	-87.40726	-91.11112	3.703865	0.008909795	0.00890979	0.00890979
51	-84.45484	-86.7996	2.344758	0.01904915	0.0190492	0.0190492
52	-85.93558	-87.30957	1.373993	0.02629136	0.0262914	0.0262914
53	-84.38406	-87.0673	2.683246	0.01652393	0.0165239	0.0165239
54	-84.68532	-86.78108	2.095754	0.0209068	0.0209068	0.0209068
55	-84.48507	-87.33906	2.853991	0.01525012	0.0152501	0.0152501
56	-85.12469	-86.91497	1.790283	0.02318571	0.0231857	0.0231857
57	-84.58107	-86.77298	2.191913	0.02018943	0.0201894	0.0201894
58	-84.38025	-86.89133	2.511085	0.0178083	0.0178083	0.0178083
59	-84.39293	-87.10266	2.709733	0.01632633	0.0163263	0.0163263
60	-85.50237	-88.84039	3.338023	0.01163909	0.0116391	0.0116391
61	-84.65785	-87.6542	2.996353	0.01418805	0.0141881	0.0141881
62	-85.26045	-86.97243	1.71197	0.02376995	0.0237699	0.0237699
63	-86.48057	-87.61823	1.13766	0.02805448	0.0280545	0.0280545
64	-85.07847	-86.89663	1.818156	0.02297777	0.0229778	0.0229778
65	-84.37148	-86.98228	2.610801	0.01706439	0.0170644	0.0170644
66	-84.74009	-86.79088	2.050792	0.02124223	0.0212422	0.0212422
67	-84.59048	-86.77297	2.18249	0.02025973	0.0202597	0.0202597
68	-84.83026	-86.81269	1.982434	0.0217522	0.0217522	0.0217522
69	-87.56766	-88.2844	0.7167373	0.03119469	0.0311947	0.0311947
70	-84.78644	-86.80132	2.014882	0.02151013	0.0215101	0.0215101
71	-86.4707	-87.61245	1.141749	0.02802397	0.028024	0.028024
72	-86.28658	-87.50577	1.219195	0.0274462	0.0274462	0.0274462
73	-86.28658	-87.50577	1.219195	0.0274462	0.0274462	0.0274462
74	-85.34931	-87.01247	1.663162	0.02413407	0.0241341	0.0241341
75	-84.97931	-86.85979	1.88048	0.02251281	0.0225128	0.0225128
76	-84.53166	-86.77645	2.244792	0.01979493	0.0197949	0.0197949
77	-84.37359	-86.922	2.548415	0.01752981	0.0175298	0.0175298
78	-84.37347	-87.00577	2.632291	0.01690407	0.0169041	0.0169041
79	-84.87077	-87.98393	3.113165	0.0133166	0.0133166	0.0133166
80	-84.37887	-87.04195	2.663084	0.01667434	0.0166743	0.0166743
81	-84.37616	-86.90744	2.531278	0.01765766	0.0176577	0.0176577
82	-84.57529	-86.77308	2.197789	0.02014559	0.0201456	0.0201456
83	-84.46721	-86.79367	2.326459	0.01918567	0.0191857	0.0191857
84	-84.69674	-86.78286	2.086119	0.02097868	0.0209787	0.0209787
85	-84.46746	-86.79356	2.326101	0.01918834	0.0191883	0.0191883
86	-84.47529	-86.79038	2.315093	0.01927046	0.0192705	0.0192705
87	-84.8162	-86.8089	1.992705	0.02167558	0.0216756	0.0216756
88	-84.8162	-86.8089	1.992705	0.02167558	0.0216756	0.0216756
89	-84.8162	-86.8089	1.992705	0.02167558	0.0216756	0.0216756
90	-84.37132	-86.9792	2.607883	0.01708616	0.0170862	0.0170862
91	-84.6007	-87.55737	2.956664	0.01448415	0.0144841	0.0144841
92	-84.8511	-86.81855	1.967449	0.02186399	0.021864	0.021864
93	-84.383	-86.8829	2.499905	0.01789171	0.0178917	0.0178917
94	-84.383	-86.8829	2.499905	0.01789171	0.0178917	0.0178917
95	-84.383	-86.8829	2.499905	0.01789171	0.0178917	0.0178917
96	-85.47949	-87.074	1.594518	0.02464618	0.0246462	0.0246462
97	-85.19323	-86.94336	1.75013	0.02348526	0.0234853	0.0234853
98	-84.38662	-87.07829	2.691668	0.0164611	0.0164611	0.0164611
99	-85.44673	-88.76887	3.322144	0.01175755	0.0117576	0.0117576
100	-85.49266	-88.82795	3.335289	0.01165949	0.0116595	0.0116595
101	-84.87586	-87.99141	3.115551	0.01329881	0.0132988	0.0132988
102	-84.87586	-87.99141	3.115551	0.01329881	0.0132988	0.0132988
103	-84.65414	-86.77698	2.122848	0.02070468	0.0207047	0.0207047
104	-84.44562	-86.80484	2.359226	0.01894122	0.0189412	0.0189412
105	-85.64889	-87.15832	1.509428	0.02528097	0.025281	0.025281
106	-85.33002	-87.00363	1.67361	0.02405613	0.0240561	0.0240561
107	-84.55455	-87.47481	2.920261	0.01475572	0.0147557	0.0147557
108	-84.37311	-86.92554	2.552434	0.01749983	0.0174998	0.0174998
109	-84.73697	-87.78132	3.044353	0.01382996	0.01383	0.01383
110	-84.97502	-86.85829	1.883263	0.02249205	0.022492	0.022492
111	-86.51733	-87.63982	1.122486	0.02816768	0.0281677	0.0281677
112	-86.51733	-87.63982	1.122486	0.02816768	0.0281677	0.0281677
113	-86.37704	-87.5579	1.180858	0.02773221	0.0277322	0.0277322
114	-87.15943	-88.02835	0.8689244	0.03005933	0.0300593	0.0300593
115	-86.27699	-87.50028	1.223289	0.02741566	0.0274157	0.0274157
116	-85.54774	-87.10745	1.559713	0.02490584	0.0249058	0.0249058
117	-84.79571	-87.87186	3.07615	0.01359274	0.0135927	0.0135927
118	-84.68662	-87.70124	3.014611	0.01405185	0.0140518	0.0140518
119	-85.37953	-88.68176	3.302232	0.0119061	0.0119061	0.0119061
120	-84.50007	-87.36994	2.869873	0.01513164	0.0151316	0.0151316
121	-84.55661	-86.77392	2.217315	0.01999992	0.0199999	0.0199999
122	-84.51982	-87.40913	2.889307	0.01498665	0.0149867	0.0149867
123	-84.80067	-86.80487	2.004198	0.02158984	0.0215898	0.0215898
124	-84.38851	-87.08592	2.697415	0.01641823	0.0164182	0.0164182
125	-85.00279	-86.86817	1.865384	0.02262543	0.0226254	0.0226254
