state	power	likelihood
260	0.207533	-95.7309
270	0.207533	-86.0027
280	0.207533	-83.1167
290	0.207533	-94.7392
300	0.207533	-91.1652
310	0.207533	-86.3132
320	0.207533	-81.9797
330	0.207533	-86.2874
340	0.207533	-91.0493
350	0.207533	-84.6813
360	0.207533	-96.7571
370	0.207533	-91.2973
380	0.207533	-85.5996
390	0.207533	-100.724
400	0.207533	-96.8087
410	0.207533	-85.0857
420	0.207533	-86.5649
430	0.207533	-96.5358
440	0.207533	-90.9582
450	0.207533	-97.6252
460	0.207533	-90.6957
470	0.207533	-89.6251
480	0.207533	-85.6659
490	0.207533	-95.0107
500	0.207533	-88.1894
510	0.207533	-85.9872
520	0.207533	-92.3523
530	0.207533	-84.9445
540	0.207533	-90.9623
550	0.207533	-86.9114
560	0.207533	-85.912
570	0.207533	-98.7319
580	0.207533	-88.6781
590	0.207533	-85.3692
600	0.207533	-93.1588
610	0.207533	-95.3695
620	0.207533	-88.2945
630	0.207533	-87.8005
640	0.207533	-88.3262
650	0.207533	-84.2615
660	0.207533	-90.798
670	0.207533	-93.9571
680	0.207533	-91.2698
690	0.207533	-88.9164
700	0.207533	-96.3856
710	0.207533	-86.2741
720	0.207533	-92.26
730	0.207533	-86.5266
740	0.207533	-102.165
750	0.207533	-93.9994
760	0.207533	-88.515
770	0.207533	-93.7397
780	0.207533	-86.0833
790	0.207533	-88.0631
800	0.207533	-83.2154
810	0.207533	-89.2511
820	0.207533	-99.8063
830	0.207533	-93.3488
840	0.207533	-86.0669
850	0.207533	-91.8674
860	0.207533	-79.8916
870	0.207533	-89.852
880	0.207533	-86.7642
890	0.207533	-85.3953
900	0.207533	-88.2488
910	0.207533	-89.204
920	0.207533	-94.9256
930	0.207533	-90.9033
940	0.207533	-91.4175
950	0.207533	-92.8111
960	0.207533	-83.6476
970	0.207533	-89.374
980	0.207533	-90.6356
990	0.207533	-96.6353
1000	0.207533	-82.3618
