state	power	likelihood
260	0.0909118	-97.6785
270	0.0909118	-87.2765
280	0.0909118	-88.5537
290	0.0909118	-91.9014
300	0.0909118	-90.741
310	0.0909118	-101.576
320	0.0909118	-98.3913
330	0.0909118	-91.4535
340	0.0909118	-102.858
350	0.0909118	-87.7738
360	0.0909118	-87.1287
370	0.0909118	-86.7735
380	0.0909118	-90.1042
390	0.0909118	-86.8318
400	0.0909118	-88.2211
410	0.0909118	-86.9298
420	0.0909118	-96.8646
430	0.0909118	-92.659
440	0.0909118	-87.8652
450	0.0909118	-103.324
460	0.0909118	-105.564
470	0.0909118	-86.8193
480	0.0909118	-98.1497
490	0.0909118	-107.167
500	0.0909118	-92.536
510	0.0909118	-100.585
520	0.0909118	-86.8152
530	0.0909118	-88.5404
540	0.0909118	-86.7805
550	0.0909118	-94.572
560	0.0909118	-87.3774
570	0.0909118	-97.9643
580	0.0909118	-87.4025
590	0.0909118	-96.2763
600	0.0909118	-112.867
610	0.0909118	-103.575
620	0.0909118	-86.8372
630	0.0909118	-88.2398
640	0.0909118	-86.7804
650	0.0909118	-87.8909
660	0.0909118	-87.6094
670	0.0909118	-91.536
680	0.0909118	-100.941
690	0.0909118	-87.3716
700	0.0909118	-98.0971
710	0.0909118	-90.8299
720	0.0909118	-88.5549
730	0.0909118	-90.0928
740	0.0909118	-95.1594
750	0.0909118	-90.2256
760	0.0909118	-87.055
770	0.0909118	-91.2418
780	0.0909118	-87.5184
790	0.0909118	-92.6192
800	0.0909118	-88.7635
810	0.0909118	-86.9254
820	0.0909118	-88.8638
830	0.0909118	-90.5071
840	0.0909118	-92.8293
850	0.0909118	-107.864
860	0.0909118	-90.7581
870	0.0909118	-98.2554
880	0.0909118	-88.1155
890	0.0909118	-92.2958
900	0.0909118	-92.4118
910	0.0909118	-104.265
920	0.0909118	-91.0871
930	0.0909118	-95.2744
940	0.0909118	-86.9776
950	0.0909118	-88.8151
960	0.0909118	-87.2108
970	0.0909118	-103.077
980	0.0909118	-88.2548
990	0.0909118	-86.8636
1000	0.0909118	-89.326
